Check,Card # ,Card Name ,Type ,Rarity ,Value,Attribute ,Sub Type ,Level ,ATK ,DEF ,Card Text 
,ABPF-EN000 ,Gravekeeper's Priestess ,Effect Monster ,Super Rare ,,Dark ,Spellcaster ,3,1000,1500,"The field is treated as ""Necrovalley"". If there is a face-up Field Spell Card, this effect is not applied. All face-up ""Gravekeeper's"" Monsters gain 200 ATK and DEF. "
,ABPF-EN001 ,Unicycular ,Normal Monster ,Common ,,Earth ,Machine ,1,100,100,"The third of the brothers, following Tricular and Bicular. "
,ABPF-EN002 ,Bicular ,Effect Monster ,Common ,,Earth ,Machine ,2,200,200,"When this card is destroyed by battle, you can Special Summon 1 ""Unicycular"" from your hand or Deck. "
,ABPF-EN003 ,Tricular ,Effect Monster ,Common ,,Earth ,Machine ,3,300,300,"When this card is destroyed by battle, you can Special Summon 1 ""Bicular"" from your hand or Deck. "
,ABPF-EN004 ,Drill Synchron ,Tuner Monster ,Rare ,,Earth ,Machine ,3,800,300,"While you control this face-up card, during each battle between a Warrior-Type attacking monster you control and a Defense Position monster whose DEF is lower than the ATK of the attacking monster, inflict the difference as Battle Damage to your opponent. Once per turn, when you inflict battle damage to your opponent with this effect, you can draw 1 card. "
,ABPF-EN005 ,Ogre of the Scarlet Sorrow ,Effect Monster ,Super Rare ,,Dark ,Fiend ,4,0,0,"During your opponent's turn, when your opponent declares a second direct attack during the same Battle Phase, you can Special Summon this card from your hand. When you do, this card's ATK and DEF becomes equal to the ATK and DEF of the first monster that attacked directly this turn, if it is still face-up on the field. The turn this card is Special Summoned with this effect, your opponent cannot select monsters other than this card as an attack target while this card is face-up on the field. "
,ABPF-EN006 ,Battle Fader ,Effect Monster ,Ultra Rare ,,Dark ,Fiend ,1,0,0,"When an opponent's monster declares a direct attack, you can Special Summon this card from your hand and end the Battle Phase. If you Special Summon this card with this effect, this card is removed from play when it is removed from the field. "
,ABPF-EN007 ,Power Supplier ,Effect Monster ,Common ,,Earth ,Spellcaster ,2,400,400,"Once per turn, you can select 1 face-up monster you control. It gains 400 ATK while you control this face-up card. (A monster cannot gain more than 400 ATK from this card's effect.) "
,ABPF-EN008 ,Magic Hole Golem ,Effect Monster ,Common ,,Dark ,Rock ,3,0,2000,"Once per turn, you can select 1 face-up monster you control. Its ATK is halved until the End Phase, and it can attack your opponent directly this turn. During the turn you activate this effect, only the selected monster can attack. "
,ABPF-EN009 ,Power Invader ,Effect Monster ,Common ,,Dark ,Fiend ,5,2200,0,"If your opponent controls 2 or more monsters, you can Normal Summon this card without Tributing. "
