Check,Card # ,Card Name ,Type ,Rarity ,Value,Attribute ,Sub Type ,Level ,ATK ,DEF ,Card Text 
,ANPR-EN000 ,XX-Saber Gardestrike ,Effect Monster ,Secret Rare ,,Earth ,Beast-Warrior ,5,2100,1400,"If you have 2 or more ""X-Saber"" monsters in your Graveyard and you control no monsters, you can Special Summon this card from your hand. "
,ANPR-EN001 ,Kuribon ,Effect Monster ,Rare ,,Light ,Fairy ,1,300,200,"If this card was selected as an attack target by your opponent's monster, you can activate this effect during damage calculation. You take no Battle Damage from this battle, your opponent gains Life Points equal to the attacking monster's ATK, and then you return this card to your hand. "
,ANPR-EN002 ,Sunny Pixie ,Tuner Monster ,Common ,,Light ,Spellcaster ,1,300,400,"If this card is sent to the Graveyard for the Synchro Summon of a LIGHT Synchro Monster, gain 1000 Life Points. "
,ANPR-EN003 ,Sunlight Unicorn ,Effect Monster ,Common ,,Light ,Beast ,4,1800,1000,"Once per turn, during your Main Phase, you can reveal the top card of your Deck. If it is an equip Spell card, add it to your hand, if its not, place it on the bottom of your Deck. "
,ANPR-EN004 ,Blackwing - Mistral the Silver Shield ,Tuner Monster ,Common ,,Dark ,Winged Beast ,2,100,1800,"If this card on the field is destroyed and sent to the Graveyard, reduce the battle damage you take from the next attack this turn to 0. "
,ANPR-EN005 ,Blackwing - Vayu the Emblem of Honor ,Tuner Monster ,Ultra Rare ,,Dark ,Winged Beast ,1,800,0,"IF this card is face-up on the field, you cannot use it for a Synchro Summon. If this card is in your Graveyard, you can remove from play this card plus 1 non-Tuner ""Blackwing"" monster in your Graveyard, and Special Summon 1 ""Blackwing"" Synchro Monster from your Extra Deck whose Level equals the total Levels of the removed monsters. The effect(s) of that Synchro Monster is negated. "
,ANPR-EN006 ,Blackwing - Fane the Steel Chain ,Effect Monster ,Common ,,Dark ,Winged Beast ,2,500,800,"This card can attack your opponent directly. When this card attacks your opponent directly and inflicts battle damage to your opponent, change 1 Attack Position monster your opponent controls to Defense Position. "
,ANPR-EN007 ,Morphtronic Magnen Bar ,Effect Monster ,Common ,,Earth ,Thunder ,1,100,100,"While in Attack Position: Once per turn, if you control exactly 2 other face-up Attack Position monsters, and no additional monsters, this card gains the combined ATK of the other two monsters you control until the End Phase. The other two monsters cannot attack the turn you activate this effect.
While in Defense Position: Monsters you control cannot attack. "
,ANPR-EN008 ,Jester Lord ,Effect Monster ,Rare ,,Dark ,Spellcaster ,1,0,0,"While this card is the only monster on the field, it gains 1000 ATK for each card in the Spell & Trap Card Zones. "
,ANPR-EN009 ,Jester Confit ,Effect Monster ,Super Rare ,,Dark ,Spellcaster ,1,0,0,"You can Special Summon this card from your hand in face-up Attack Position. If you do, return this card and 1 face-up monster your opponent controls to the hand during the End Phase of your opponent's next turn. You can only control 1 face-up ""Jester Confit."" "
