Check,Card # ,Card Name ,Type ,Rarity ,Value,Attribute ,Sub Type ,Level ,ATK ,DEF ,Card Text 
,CRMS-EN000 ,Colossal Fighter/Assault Mode ,Effect Monster ,Secret Rare ,,Dark ,Warrior ,10,3300,1500,"This card can not be Normal Summoned or Set. This card can not be Special Summoned except with ""Assault Mode Activate"". When this card is Special Summoned, you can send up to 2 Warrior-Type monsters from your deck to the graveyard. All monsters your opponent controls lose 100 ATK for every Warrior-Type monster in your graveyard. When this card on the field is destroyed, you can Special Summon 1 ""Colossal Fighter"" from your graveyard. "
,CRMS-EN001 ,Turret Warrior ,Effect Monster ,Super Rare ,,Earth ,Warrior ,5,1200,2000,"You can Special Summon this card by Tributing 1 Warrior-Type monster. If this card is Special Summoned this way, this card gains ATK equal to the original ATK of that Warrior-Type monster. "
,CRMS-EN002 ,Debris Dragon ,Tuner Monster ,Rare ,,Wind ,Dragon ,4,1000,2000,"When this card is successfully Normal Summoned, you can Special Summon 1 monster with 500 ATK or less from your Graveyard in face-up Attack Position. The effect(s) of the monster Special Summoned this way are negated. This card can only be used as a Synchro Material Monster for the Synchro Summon of a Dragon-Type Synchro Monster, and the other Synchro Material Monster(s) for this Synchro Summon must be of a Level other than 4. "
,CRMS-EN003 ,Hyper Synchron ,Tuner Monster ,Rare ,,Light ,Machine ,4,1600,800,"If this card is sent to the Graveyard for the Synchro Summon of a Dragon-Type Monster, that Synchro Monster gains 800 ATK, and it is Removed from Play during the End Phase. "
,CRMS-EN004 ,Red Dragon Archfiend/Assault Mode ,Effect Monster ,Ultra Rare ,,Dark ,Dragon ,10,3500,2500,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by the effect of ""Assault Mode Activate"". If this card attacks, destroy all other monsters on the field after damage calculation. If this card on the field is destroyed, Special Summon 1 ""Red Dragon Archfiend"" from your Graveyard. "
,CRMS-EN005 ,Trap Eater ,Tuner Monster ,Common ,,Dark ,Fiend ,4,1900,1600,This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by sending 1 face-up Trap Card your opponent controls to the Graveyard. 
,CRMS-EN006 ,Twin-Sword Marauder ,Effect Monster ,Common ,,Dark ,Warrior ,4,1600,1000,"Once per turn, after this card attacks a Defense Position monster, it can attack once more. During battle between this attacking card and a Defense Position monster whose DEF is lower than the ATK of this card, inflict the difference as Battle Damage to your opponent. "
,CRMS-EN007 ,Dark Tinker ,Tuner Monster ,Common ,,Dark ,Fiend ,2,1000,1300,"When this card you control is sent to the Graveyard, look at the top card of your Deck. Return that card to either the top or the bottom of the Deck. "
,CRMS-EN008 ,Blackwing - Gale the Whirlwind ,Tuner Monster ,Rare ,,Dark ,Winged Beast ,3,1300,400,"If you control a ""Blackwing"" monster other than ""Blackwing - Gale the Whirlwind"", you can Special Summon this card from your hand. Once per turn, you can halve the ATK and DEF of 1 face-up monster your opponent controls. "
,CRMS-EN009 ,Blackwing - Bora the Spear ,Effect Monster ,Common ,,Dark ,Winged Beast ,4,1700,800,"If you control a ""Blackwing"" monster other than ""Blackwing - Bora the Spear"", you can Special Summon this card from your hand. During battle between this attacking card and a Defense Position monster whose DEF is lower than the ATK of this card, inflict the difference as Battle Damage to your opponent. "
,CRMS-EN010 ,Blackwing - Sirocco the Dawn ,Effect Monster ,Common ,,Dark ,Winged Beast ,5,2000,900,"If your opponent controls a monster and you control no monsters, you can Normal Summon or Set this card without Tributing. Once per turn, you can select 1 face-up ""Blackwing"" monster you control. It gains ATK equal to the total ATK of all face-up ""Blackwing"" monsters on the field except itself. Monsters other than the selected monster cannot attack the turn you activate this effect. "
,CRMS-EN011 ,Twilight Rose Knight ,Tuner Monster ,Super Rare ,,Dark ,Warrior ,3,1000,1000,"Your opponent cannot select a face-up Plant-Type monster as an attack target. When this card is Normal Summoned, you can Special Summon 1 Level 4 or lower Plant-Type monster from your hand. "
,CRMS-EN012 ,Summon Reactor · SK ,Effect Monster ,Common ,,Dark ,Machine ,5,2000,1400,"The first time a monster(s) is Summoned to your opponent's side of the field each turn, inflict 800 damage to your opponent. During the Battle Phase of the turn this effect is activated, you can negate the attack of 1 monster your opponent controls. You can send 1 face-up ""Trap Reactor · Y FI"", 1 face-up ""Spell Reactor · RE"" and this face-up card you control to the Graveyard to Special Summon 1 ""Flying Fortress SKY FIRE"" from your hand, Deck, or Graveyard. "
