Check,Card # ,Card Name ,Type ,Rarity ,Value,Attribute ,Sub Type ,Level ,ATK ,DEF ,Card Text 
,CSOC-EN000 ,"Rose, Warrior of Revenge ",Effect Monster ,Ultra Rare ,,Fire ,Warrior ,4,1600,600,"When this card inflicts Battle Damage to your opponent, inflict 300 damage to your opponent. "
,CSOC-EN001 ,Healing Wave Generator ,Effect Monster ,Common ,,Light ,Machine ,4,800,1600,"Once per turn, you can select another face-up monster you control to gain Life Points equal to that monster's Level x 100. "
,CSOC-EN002 ,Turbo Synchron ,Tuner Monster ,Rare ,,Wind ,Machine ,1,100,500,"When this card declares an attack, you can change the attack target to Defense Position. When you take Battle Damage while this card is attacking, you can Special Summon 1 monster from your hand with ATK equal to or less than the Battle Damage you took. "
,CSOC-EN003 ,Mad Archfiend ,Effect Monster ,Rare ,,Dark ,Fiend ,4,1800,0,"During battle between this attacking card and a Defense Position monster whose DEF is lower than the ATK of this card, inflict the difference as Battle Damage to your opponent. When this face-up Attack Position card is selected as an attack target, change it to Defense Position. "
,CSOC-EN004 ,Wall of Ivy ,Effect Monster ,Common ,,Earth ,Plant ,2,300,1200,"FLIP: Special Summon 1 ""Ivy Token"" (Plant-Type/EARTH/Level 1/ATK 0/DEF 0) to your opponent's side of the field. When this Token is destroyed, its controller takes 300 damage. "
,CSOC-EN005 ,Copy Plant ,Tuner Monster ,Common ,,Wind ,Plant ,1,0,0,"Once per turn, you can select 1 face-up Plant-Type monster on the field to have this card's Level become equal to the selected monster's Level, until the End Phase. "
,CSOC-EN006 ,Morphtronic Celfon ,Effect Monster ,Common ,,Earth ,Machine ,1,100,100,"While in Attack Position: Once per turn, you can roll a six-sided die. Reveal cards from top of your Deck equal to the roll and Special Summon 1 Level 4 or lower ""Morphtronic"" monster from among them, ignoring the Summoning conditions. Shuffle the rest into the Deck.
While in Defense Position: Once per turn, you can roll a six-sided die. Look at cards from top of your Deck equal to the roll, then return them in the same order. "
,CSOC-EN007 ,Morphtronic Magnen ,Effect Monster ,Common ,,Earth ,Thunder ,3,800,800,"While in Attack Position: If your opponent controls a face-up monster, this card can only select their highest ATK monster as an attack target.
While in Defense Position: Your opponent cannot select another monster as an attack target. "
,CSOC-EN008 ,Morphtronic Datatron ,Effect Monster ,Common ,,Fire ,Pyro ,3,1200,600,"While in Attack Position: Once per turn, you can Tribute 1 monster to inflict 600 damage to your opponent.
While in Defense Position: Once per turn, you can inflict 300 damage to your opponent. "
,CSOC-EN009 ,Morphtronic Boomboxen ,Effect Monster ,Rare ,,Earth ,Machine ,4,1200,400,"While in Attack Position: This card can attack twice during each Battle Phase.
While in Defense Position: Once per turn, when a face-up ""Morphtronic"" monster you control is selected as an attack target, you can negate the attack. "
,CSOC-EN010 ,Morphtronic Cameran ,Effect Monster ,Common ,,Light ,Machine ,2,800,600,"While in Attack Position: When this card is destroyed by battle, you can Special Summon 1 Level 4 or lower ""Morphtronic"" monster from your hand or Graveyard, except ""Morphtronic Cameran"".
While in Defense Position: ""Morphtronic"" monsters on the field cannot be targeted by effects. "
,CSOC-EN011 ,Morphtronic Radion ,Effect Monster ,Rare ,,Light ,Thunder ,4,1000,900,"While in Attack Position: ""Morphtronic"" monsters you control gain 800 ATK.
While in Defense Position: ""Morphtronic"" monsters you control gain 1000 DEF. "
