Check,Card # ,Card Name ,Type ,Rarity ,Value,Attribute ,Sub Type ,Level ,ATK ,DEF ,Card Text 
,CDIP-EN001 ,Cyberdark Horn ,Effect Monster ,Super Rare ,,Dark ,Machine ,4,800,800,"When this card is Normal Summoned, select 1 Level 3 or lower Dragon-Type monster in your Graveyard and equip it to this card. This card gains ATK equal to the equipped card's ATK. During battle between this attacking card and a Defense Position monster whose DEF is lower than the ATK of this card, inflict the difference as Battle Damage to your opponent. If this card would be destroyed by battle, the equipped monster is destroyed instead. "
,CDIP-EN002 ,Cyberdark Edge ,Effect Monster ,Super Rare ,,Dark ,Machine ,4,800,800,"When this card is Normal Summoned, select 1 Level 3 or lower Dragon-Type monster in your Graveyard and equip it to this card. This card gains ATK equal to the equipped card's ATK. This card can attack your opponent directly. If it attacks using this effect, the Battle Damage it inflicts to your opponent is halved. If this card would be destroyed by battle, the equipped monster is destroyed instead. "
,CDIP-EN003 ,Cyberdark Keel ,Effect Monster ,Super Rare ,,Dark ,Machine ,4,800,800,"When this card is Normal Summoned, select 1 Level 3 or lower Dragon-Type monster in your Graveyard and equip it to this card. This card gains ATK equal to the equipped card's ATK. When this card destroys an opponent's monster by battle, inflict 300 damage to your opponent. If this card would be destroyed by battle, the equipped monster is destroyed instead. "
,CDIP-EN004 ,Cyber Ogre ,Effect Monster ,Common ,,Earth ,Machine ,5,1900,1200,"By discarding this card from your hand to the Graveyard, negate 1 battle involving a ""Cyber Ogre"" on your side of the field, and it gains 2000 ATK until the end of its next battle. This effect can be activated during either player's turn. "
,CDIP-EN005 ,Cyber Esper ,Effect Monster ,Super Rare ,,Fire ,Machine ,4,1200,1800,"While this card is in face-up Attack Position, you can look at every card your opponent draws. "
,CDIP-EN006 ,Allure Queen LV3 ,Effect Monster ,Common ,,Dark ,Spellcaster ,3,500,500,"Once per turn, during your Main Phase, you can select 1 Level 3 or lower monster on your opponent's side of the field and equip it to this card. (Only 1 card at a time can be equipped due to this effect.) If this card would be destroyed by battle, the equipped monster is destroyed instead. During your Standby Phase, by sending this card to the Graveyard while it's equipped due to its effect, Special Summon 1 ""Allure Queen LV5"" from your hand or Deck. "
,CDIP-EN007 ,Allure Queen LV5 ,Effect Monster ,Rare ,,Dark ,Spellcaster ,5,1000,1000,"Once per turn, during your Main Phase, if this card was Special Summoned by the effect of ""Allure Queen LV3"", you can select 1 Level 5 or lower monster on your opponent's side of the field and equip it to this card. (Only 1 card at a time can be equipped due to this effect.) If this card would be destroyed by battle, the equipped monster is destroyed instead. During your Standby Phase, by sending this card to the Graveyard while it's equipped due to its effect, Special Summon 1 ""Allure Queen LV7"" from your hand or Deck. "
,CDIP-EN008 ,Allure Queen LV7 ,Effect Monster ,Ultra Rare ,,Dark ,Spellcaster ,7,1500,1500,"Once per turn, during your Main Phase, if this card was Special Summoned by the effect of ""Allure Queen LV5"", you can select 1 monster on your opponent's side of the field and equip it to this card. (Only 1 card at a time can be equipped due to this effect.) If this card would be destroyed by battle, the equipped monster is destroyed instead. "
,CDIP-EN009 ,Dark Lucius LV4 ,Effect Monster ,Common ,,Earth ,Fiend ,4,1000,300,"The effects of your opponent's monsters that this card destroys by battle are negated. During your next Standby Phase after this card destroys a monster by battle, by sending this card to the Graveyard, Special Summon 1 ""Dark Lucius LV6"" from your hand or Deck. "
,CDIP-EN010 ,Dark Lucius LV6 ,Effect Monster ,Rare ,,Earth ,Fiend ,6,1700,600,"If this card was Special Summoned by the effect of ""Dark Lucius LV4"", the effects of your opponent's monsters that this card destroys by battle are negated. During your next Standby Phase after this card has negated your opponent's monster effect, by sending this card to the Graveyard, Special Summon 1 ""Dark Lucius LV8"" from your hand or Deck. "
