Check,Card # ,Card Name ,Type ,Rarity ,Value,Attribute ,Sub Type ,Level ,ATK ,DEF ,Card Text 
,CRV-EN001 ,Cycroid ,Normal Monster ,Common ,,Earth ,Machine ,3,800,1000,The most lovable and friendly of all the Vehicroids. It can arm itself with training wheels! 
,CRV-EN002 ,Soitsu ,Normal Monster ,Common ,,Wind ,Fairy ,3,0,0,"""Apparently totally unreliable, he wonders if he has incredible potential."" "
,CRV-EN003 ,Mad Lobster ,Normal Monster ,Common ,,Water ,Aqua ,3,1700,1000,A gourmet food renowned by the Dark World upper crust. It has sensational flavor. 
,CRV-EN004 ,Jerry Beans Man ,Normal Monster ,Common ,,Earth ,Plant ,3,1750,0,"""Jerry, a bean soldier, believes he is the strongest warrior in the world, but his true abilities are still untested."" "
,CRV-EN005 ,Winged Kuriboh LV10 ,Effect Monster ,Ultra Rare ,,Light ,Fairy ,10,300,200,"""This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by the effect of ""Transcendent Wings"". By Tributing this face-up card on your side of the field, destroy all face-up Attack Position monsters on your opponent's side of the field and inflict damage to your opponent's Life Points equal to the combined original ATK of those destroyed monster(s). You can only activate this effect during your opponent's Battle Phase."" "
,CRV-EN006 ,Patroid ,Effect Monster ,Common ,,Earth ,Machine ,4,1200,1200,"""Pick up and look at 1 Set card on your opponent's side of the field, then return it to its original position. You can only activate this effect once per turn, during your Main Phase."" "
,CRV-EN007 ,Gyroid ,Effect Monster ,Common ,,Wind ,Machine ,3,1000,1000,"""Once per turn, if this card would be destroyed as a result of battle, it is not destroyed. (Damage calculation is applied normally)."" "
,CRV-EN008 ,Steamroid ,Effect Monster ,Common ,,Earth ,Machine ,4,1800,1800,"""If this card attacks your opponent's monster, increase the ATK of this card by 500 points during the Damage Step only. If this card is attacked by your opponent's monster, decrease the ATK of this card by 500 points during the Damage Step only."" "
,CRV-EN009 ,Drillroid ,Effect Monster ,Common ,,Earth ,Machine ,4,1600,1600,"""If this card attacks a Defense Position monster, destroy the monster with this card's effect without applying damage calculation."" "
,CRV-EN010 ,UFOroid ,Effect Monster ,Super Rare ,,Light ,Machine ,6,1200,1200,"""When this card is destroyed as a result of battle and sent to the Graveyard, you can Special Summon from your Deck 1 Machine-Type monster with an ATK of 1500 or less in face-up Attack Position. Then shuffle your Deck."" "
,CRV-EN011 ,Jetroid ,Effect Monster ,Common ,,Wind ,Machine ,4,1200,1800,"""At the time this card is selected as an attack target by your opponent's monster, the controller of this card can activate Trap Card(s) from their hand."" "
,CRV-EN012 ,Wroughtweiler ,Effect Monster ,Rare ,,Earth ,Beast ,3,800,1200,"""When this card is destroyed as a result of battle and sent to the Graveyard, add from your Graveyard to your hand 1 card that includes ""Elemental Hero"" in its card name, and 1 ""Polymerization""."" "
,CRV-EN013 ,Dark Catapulter ,Effect Monster ,Rare ,,Earth ,Machine ,4,1000,1500,"""During your Standby Phase, if this card is in Defense Position, put 1 counter on this card. By removing from play a number of card(s) in your Graveyard equal to the number of counters on this card, destroy that same number of Spell or Trap Card(s) on the field. Then remove all counter(s) from this card."" "
,CRV-EN014 ,Elemental Hero Bubbleman ,Effect Monster ,Rare ,,Water ,Warrior ,3,800,1200,"""If this is the only card in your hand, you can Special Summon this card from your hand. When this card is Normal Summoned, Flip Summoned or Special Summoned successfully, if there are no other cards on your side of the field and in your hand, you can draw 2 cards from your Deck."" "
,CRV-EN015 ,Cyber Dragon ,Effect Monster ,Super Rare ,,Light ,Machine ,5,2100,1600,"""If there is a monster on your opponent's side of the field and there are no monsters on your side of the field, you can Special Summon this card from your hand."" "
