Check,Card # ,Card Name ,Type ,Rarity ,Value,Attribute ,Sub Type ,Level ,ATK ,DEF ,Card Text 
,DREV-EN000 ,Scrap Archfiend ,Synchro Monster ,Super Rare ,,Earth ,Fiend ,7,2700,1800,1 Tuner + 1 or more non-Tuner Monsters 
,DREV-EN001 ,Earthquake Giant ,Effect Monster ,Common ,,Earth ,Rock ,5,1600,2100,"Once per turn, when the battle position of this card is changed, you can select 1 monster your opponent controls and change its battle position. "
,DREV-EN002 ,Effect Veiler ,Tuner Monster ,Ultimate Rare ,,Light ,Spellcaster ,1,0,0,"During your opponent's Main Phase, you can send this card from your hand to the Graveyard to select 1 face-up Effect Monster your opponent controls. Negate the effect(s) of that monster until the End Phase. "
,DREV-EN003 ,Dash Warrior ,Effect Monster ,Common ,,Wind ,Warrior ,3,600,1200,"If this card attacks, it gains 1200 ATK during the Damage Step only. "
,DREV-EN004 ,Damage Eater ,Effect Monster ,Common ,,Dark ,Fiend ,2,100,800,"During your opponent's turn, when your opponent activates a card or effect that would inflict damage, you can remove from play this card in your Graveyard to change that effect so it increases Life Points by the same amount instead. "
,DREV-EN005 ,A/D Changer ,Effect Monster ,Common ,,Light ,Warrior ,1,100,100,You can remove from play this card in your Graveyard to select 1 monster on the field. Change its battle position. 
,DREV-EN006 ,Stronghold Guardian ,Effect Monster ,Common ,,Earth ,Warrior ,4,0,1500,"If a Defense Position monster you control is attacked, during the Damage Step, you can send this card from your hand to the Graveyard to have that monster gain 1500 DEF until the End Phase. "
,DREV-EN007 ,Playful Possum ,Effect Monster ,Rare ,,Earth ,Beast ,2,800,600,"During your Main Phase, if your opponent controls a face-up monster with a higher ATK than the ATK of this card, you can destroy this card on the field. During your Standby Phase, if this card is destroyed by this effect, you can Special Summon this card from the Graveyard. "
,DREV-EN008 ,Egotistical Ape ,Tuner Monster ,Rare ,,Earth ,Beast ,5,1200,1200,"This card cannot be Normal Summoned or Set. This card can only be Special Summoned by sending 1 Beast-Type monster from your hand to the Graveyard. When this card is Special Summoned this way, you can activate 1 of these effects: 
Increase the Level of this card by the Level of the Beast-Type monster. 
Decrease the Level of this card by the Level of the Beast-Type monster. "
,DREV-EN009 ,Uni-Horned Familiar ,Tuner Monster ,Common ,,Light ,Beast ,2,0,1000,"When this face-up Defense Position card is selected as an attack target, you can remove from play 1 monster you control other than this card to remove this card from play. The attacking monster must attack. During your next Standby Phase, If this card was removed from play by this effect, this card returns to the field. "
,DREV-EN010 ,Monoceros ,Effect Monster ,Common ,,Light ,Beast ,3,1000,1000,"This card cannot be Normal Summoned or Set. This card can only be Special Summoned by removing from play 1 Spell Card from your hand. When you Synchro Summon using this card and a Beast-Type Tuner monster as the Synchro Material Monsters, you can select 1 Beast-Type Tuner monster used for the Synchro Summon and Special Summon it from the Graveyard. "
,DREV-EN011 ,D.D. Unicorn Knight ,Effect Monster ,Rare ,,Light ,Warrior ,4,1800,900,"This card cannot be Normal Summoned or Set. This card can only be Special Summoned if your opponent controls a monster(s) and you control a face-up Tuner monster(s). When this card is Special Summoned this way, you can select 1 of your removed from play Level 3 or lower non-Tuner monsters and Special Summon it. Its effect(s) are negated. You cannot Normal Summon or Set the turn you Special Summon this card. "
,DREV-EN012 ,Unibird ,Effect Monster ,Super Rare ,,Wind ,Winged Beast ,2,100,600,"You can remove from play this face-up card, and 1 face-up monster you control, to select 1 Synchro Monster in your Graveyard with a Level less than or equal to the combined original Levels of the other 2 monsters. Special Summon that Synchro Monster. "
,DREV-EN013 ,Bicorn Re'em ,Effect Monster ,Common ,,Dark ,Beast ,4,800,1600,"If this card is sent to the Graveyard as a Synchro Material Monster for a Synchro Summon, send the top 2 cards from your opponent's Deck to the Graveyard. "
,DREV-EN014 ,Mine Mole ,Effect Monster ,Common ,,Earth ,Beast ,3,1000,1200,"Once per turn, this card cannot be destroyed by battle. If this card is sent to the Graveyard as a Synchro Material Monster of a Beast-Type monster, draw 1 card. If this card is removed from the field by your opponent's card effect, remove this card from play. "
,DREV-EN015 ,Trident Warrior ,Effect Monster ,Super Rare ,,Light ,Warrior ,4,1800,1200,"When this card is Normal Summoned, you can Special Summon 1 Level 3 monster from your hand. "
