Check,Card # ,Card Name ,Type ,Rarity ,Value,Attribute ,Sub Type ,Level ,ATK ,DEF ,Card Text 
,EEN-EN001 ,"Zure, Knight of Dark World ",Normal Monster ,Common ,,Dark ,Fiend ,4,1800,1500,The name of this illustrious knight is known by all residents of Dark World. He never oppresses the commoners. 
,EEN-EN002 ,V-Tiger Jet ,Normal Monster ,Common ,,Light ,Machine ,4,1600,1800,This ace fighter is unbeatable in a dogfight. It combines with other monsters to launch an array of encircling attacks. 
,EEN-EN003 ,Blade Skater ,Normal Monster ,Common ,,Earth ,Warrior ,4,1400,1500,"An image of beauty on the ice, this gorgeous warrior rips her opponents into pieces with her stylish Accel Slicer attack. "
,EEN-EN004 ,Queen's Knight ,Normal Monster ,Rare ,,Light ,Warrior ,4,1500,1600,"This knight catches her opponents off guard, dominating them with swift yet graceful attacks. "
,EEN-EN005 ,Jack's Knight ,Normal Monster ,Rare ,,Light ,Warrior ,5,1900,1000,"A strong master swordsman. His loyalty is to justice, his duty to protect the weak. "
,EEN-EN006 ,King's Knight ,Effect Monster ,Rare ,,Light ,Warrior ,4,1600,1400,"While ""Queen's Knight"" is on your side of the field, when this card is Normal Summoned, you can Special Summon 1 ""Jack's Knight"" from your Deck. "
,EEN-EN007 ,Elemental Hero Bladedge ,Effect Monster ,Super Rare ,,Earth ,Warrior ,7,2600,1800,"During battle between this attacking card and a Defense Position monster whose DEF is lower than the ATK of this card, inflict the difference as Battle Damage to your opponent's Life Points. "
,EEN-EN008 ,Elemental Hero Wildheart ,Effect Monster ,Common ,,Earth ,Warrior ,4,1500,1600,This card is unaffected by the effects of Trap Cards. 
,EEN-EN009 ,Reborn Zombie ,Effect Monster ,Common ,,Dark ,Zombie ,4,1000,1600,"While you have no cards in your hand, this card is not destroyed as a result of battle while in Attack Position. (Damage calculation is applied normally.) "
,EEN-EN010 ,Chthonian Soldier ,Effect Monster ,Rare ,,Dark ,Warrior ,4,1200,1400,"When this card is destroyed by your opponent's attacking monster and sent to the Graveyard, inflict the Battle Damage you took from this battle to your opponent's Life Points as well. "
,EEN-EN011 ,W-Wing Catapult ,Union Monster ,Common ,,Light ,Machine ,4,1300,1500,"Once per turn, during your Main Phase, if you control this card on the field, you can equip it to your ""V-Tiger Jet"" as an Equip Card, OR unequip the Union equipment and Special Summon this card in face-up Attack Position. While equipped to a monster by this card's effect, increase the ATK and DEF of the equipped monster by 400 points. (1 monster can only be equipped with 1 Union Monster at a time. If the equipped monster is destroyed as a result of battle, destroy this card instead.) "
,EEN-EN012 ,Infernal Incinerator ,Effect Monster ,Common ,,Fire ,Fiend ,6,2800,1800,"This card can only be Normal Summoned or Set by discarding all card(s) in your hand to the Graveyard except this card, as well as Tributing 1 card with ATK 2000 or higher from your side of the field. Increase the ATK of this monster by 200 points for each monster on your opponent's side of the field. Decrease the ATK of this card by 500 points for each monster on your side of the field, except this card. "
,EEN-EN013 ,Hydrogeddon ,Effect Monster ,Common ,,Water ,Dinosaur ,4,1600,1000,"When this card destroys an opponent's monster as a result of battle and sends it to the Graveyard, you can Special Summon 1 ""Hydrogeddon"" from your Deck. "
,EEN-EN014 ,Oxygeddon ,Effect Monster ,Common ,,Wind ,Dinosaur ,4,1800,800,"When this card is destroyed as a result of battle with a Pyro-Type monster and sent to the Graveyard, inflict 800 points of damage to both players' Life Points. "
,EEN-EN015 ,Water Dragon ,Effect Monster ,Super Rare ,,Water ,Sea Serpent ,8,2800,2600,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by the effect of ""Bonding - H2O"". While this card is face-up on the field, the ATK of FIRE monsters and Pyro-Type monsters become 0. When this card is destroyed and sent to the Graveyard, you can Special Summon 2 ""Hydrogeddon""s and 1 ""Oxygeddon"" from your Graveyard. "
,EEN-EN016 ,Etoile Cyber ,Effect Monster ,Common ,,Earth ,Warrior ,4,1200,1600,"If this card attacks your opponent's Life Points directly, increase the ATK of this card by 500 points during the Damage Step only. "
,EEN-EN017 ,B.E.S. Tetran ,Effect Monster ,Super Rare ,,Wind ,Machine ,6,1800,2300,"Put 3 counters on this card when you Normal Summon it. This card is not destroyed as a result of battle. If this card battles a monster, remove 1 counter from this card at the end of the Damage Step. If this card battles without a counter, destroy this card at the end of the Damage Step. Also, by removing 1 counter on this card, destroy 1 Spell or Trap Card on the field. You can only use this effect once per turn. "
,EEN-EN018 ,Nanobreaker ,Effect Monster ,Common ,,Earth ,Machine ,4,1500,1800,"If this card attacks a face-up Level 3 or lower monster, destroy the monster with this card's effect without applying Damage Calculation. "
,EEN-EN019 ,Rapid-Fire Magician ,Effect Monster ,Rare ,,Dark ,Spellcaster ,4,1600,1200,"While this card is face-up on the field, inflict 400 points of damage to your opponent's Life Points each time you activate 1 Normal Spell Card. "
,EEN-EN020 ,"Beiige, Vanguard of Dark World ",Effect Monster ,Common ,,Dark ,Fiend ,4,1600,1200,"If this card is discarded from the hand to the Graveyard by a card effect, Special Summon this card to your side of the field. "
,EEN-EN021 ,"Broww, Huntsman of Dark World ",Effect Monster ,Rare ,,Dark ,Fiend ,4,1600,1300,"If this card is discarded from the hand to the Graveyard by a card effect, draw 1 card from your Deck. If this card is discarded from the hand to the Graveyard by your opponent's card effect, draw 1 more card from your Deck. "
,EEN-EN022 ,"Brron, Mad King of Dark World ",Effect Monster ,Rare ,,Dark ,Fiend ,3,1400,800,"When this card inflicts Battle Damage to your opponent's Life Points, you can select 1 card in your hand and discard it to the Graveyard. "
,EEN-EN023 ,"Sillva, Warlord of Dark World ",Effect Monster ,Rare ,,Dark ,Fiend ,4,1800,400,"If this card is discarded from the hand to the Graveyard by a card effect, Special Summon this card to your side of the field. If this card is discarded from the hand to the Graveyard by your opponent's card effect, your opponent selects 2 cards in their hand, and returns them to the bottom of their Deck in any order. "
,EEN-EN024 ,"Goldd, Wu-Lord of Dark World ",Effect Monster ,Super Rare ,,Dark ,Fiend ,5,2300,1400,"If this card is discarded from the hand to the Graveyard by a card effect, Special Summon this card to your side of the field. If this card is discarded from the hand to the Graveyard by your opponent's card effect, you can select up to 2 cards on your opponent's side of the field and destroy them. "
,EEN-EN025 ,"Scarr, Scout of Dark World ",Effect Monster ,Common ,,Dark ,Fiend ,2,500,500,"When this card is destroyed as a result of battle and sent to the Graveyard, add 1 Level 4 or lower monster that includes ""Dark World"" in its card name from your Deck to your hand. "
