Check,Card # ,Card Name ,Type ,Rarity ,Value,Attribute ,Sub Type ,Level ,ATK ,DEF ,Card Text 
,EOJ-EN001 ,Destiny Hero - Doom Lord ,Effect Monster ,Common ,,Dark ,Warrior ,3,600,800,"Once per turn, if this card is in face-up Attack Position on your side of the field, you can remove from play 1 of your opponent's monsters. The player who used this effect cannot declare an attack this turn, and the removed monster will be returned to the opponent's side of the field in the same battle position during your second Standby Phase after activation. "
,EOJ-EN002 ,Destiny Hero - Captain Tenacious ,Effect Monster ,Common ,,Dark ,Warrior ,3,800,800,"Once per turn, while this card is face-up on your side of the field, if a monster on your side of the field that includes ""Destiny Hero"" in its card name (except this card) is destroyed as a result of battle and sent to the Graveyard, you can Special Summon that 1 monster to your side of the field during your next Standby Phase. "
,EOJ-EN003 ,Destiny Hero - Diamond Dude ,Effect Monster ,Rare ,,Dark ,Warrior ,4,1400,1600,"While this card is face-up on your side of the field, once per turn you can look at the top card of your Deck. If the card is a Normal Spell Card, send it to the Graveyard and you can activate the Normal Spell Card during the Main Phase of your next turn. If the card is not a Normal Spell Card, place it on the bottom of your Deck. "
,EOJ-EN004 ,Destiny Hero - Dreadmaster ,Effect Monster ,Ultra Rare ,,Dark ,Warrior ,8,-1,-1,"If this card was Special Summoned by the effect of ""Clock Tower Prison"", destroy all monsters on your side of the field except the ones that include ""Destiny Hero"" in their card names, then you can Special Summon up to 2 monsters from your Graveyard that include ""Destiny Hero"" in their card names. During the turn this card is Special Summoned, monsters on your side of the field that include ""Destiny Hero"" in their card names cannot be destroyed, and all Battle Damage inflicted to the controller of this card becomes 0 during battle involving monsters on your side of the field that include ""Destiny Hero"" in their card names. The ATK and DEF of this card are equal to the combined original ATK o "
,EOJ-EN005 ,Cyber Tutu ,Effect Monster ,Common ,,Earth ,Warrior ,3,1000,800,"If the ATK of each monster on your opponent's side of the field is higher than the ATK of this card, this card can attack your opponent's Life Points directly. "
,EOJ-EN006 ,Cyber Gymnast ,Effect Monster ,Common ,,Earth ,Warrior ,4,800,1800,"Once per turn, by discarding 1 card from your hand, destroy 1 face-up Attack Position monster on your opponent's side of the field. "
,EOJ-EN007 ,Cyber Prima ,Effect Monster ,Super Rare ,,Light ,Warrior ,6,2300,1600,"When this card is Tribute Summoned, destroy all face-up Spell Cards on the field. "
,EOJ-EN008 ,Cyber Kirin ,Effect Monster ,Common ,,Light ,Machine ,3,300,800,"By Tributing this card, until the end of this turn, any effect damage inflicted to the controller of this card becomes 0. "
,EOJ-EN009 ,Cyber Phoenix ,Effect Monster ,Super Rare ,,Fire ,Machine ,4,1200,1600,"While this card is in face-up Attack Position on your side of the field, negate the effects of any Spell or Trap Card that targets 1 Machine-Type monster on your side of the field. When this face-up card on the field attacks or is attacked, and it is destroyed as a result of battle and sent to the Graveyard, you can draw 1 card from your Deck. "
,EOJ-EN010 ,Searchlightman ,Effect Monster ,Common ,,Light ,Machine ,3,1000,1000,FLIP: Your opponent cannot Set (or flip face-down) any cards for the rest of this turn. 
,EOJ-EN011 ,Victory Viper XX03 ,Effect Monster ,Super Rare ,,Light ,Machine ,4,1200,1000,"When this card destroys an opponent's monster as a result of battle, select and activate 1 of the following effects:
Increase the ATK of this card by 400 points.
Destroy 1 face-up Spell or Trap Card on the field.
Special Summon 1 ""Option Token"" to your side of the field. It always has the same Type, Attribute, Level, ATK and DEF as this card. "
,EOJ-EN012 ,Swift Birdman Joe ,Effect Monster ,Common ,,Wind ,Winged Beast ,6,2300,1400,"If you Tribute Summon this card by Tributing a WIND monster, return all Spell and Trap Cards on the field to the owners' hands. "
,EOJ-EN013 ,Harpie's Pet Baby Dragon ,Effect Monster ,Rare ,,Wind ,Dragon ,4,1200,600,"This card accumulates effects according to the number of monsters on your side of the field that include ""Harpie"" in their names (other than ""Harpie's Pet Baby Dragon"" and ""Harpie’s Brother""). At least 1: While this card is face-up on the field, your opponent cannot select monsters on your side of the field as attack targets if they include ""Harpie"" in their card names (other than ""Harpie's Pet Baby Dragon"" and ""Harpie’s Brother""). At least 2: Double the original ATK and DEF of this card. At least 3: Once per turn, you can destroy 1 card on your opponent's side of the field. "
,EOJ-EN014 ,Majestic Mech - Senku ,Effect Monster ,Common ,,Light ,Fairy ,4,1000,500,"If this card attacks your opponent's Life Points directly, draw 1 card from your Deck. This card is sent to the Graveyard during the End Phase of the turn it was Normal Summoned, Flip Summoned or Special Summoned. "
,EOJ-EN015 ,Majestic Mech - Ohka ,Effect Monster ,Rare ,,Light ,Fairy ,6,2400,1400,"You can Normal Summon this card without Tributing a monster. If you Normal Summon it this way, it is sent to the Graveyard during the End Phase. "
,EOJ-EN016 ,Majestic Mech - Goryu ,Effect Monster ,Super Rare ,,Light ,Fairy ,8,2900,1800,"You can Normal Summon this card by Tributing 1 monster. If you Normal Summon it this way, it is sent to the Graveyard during the End Phase. During battle between this attacking card and a Defense Position monster whose DEF is lower than the ATK of this card, inflict the difference as Battle Damage to your opponent's Life Points. "
,EOJ-EN017 ,Royal Knight ,Effect Monster ,Common ,,Light ,Fairy ,3,1300,800,"When this card destroys a monster as a result of battle and sends it to the Graveyard, increase your Life Points by the DEF of the destroyed monster. "
,EOJ-EN018 ,Herald of Green Light ,Effect Monster ,Rare ,,Light ,Fairy ,2,300,500,Send this card and 1 other Fairy-Type monster from your hand to the Graveyard to activate this effect. Negate the activation of your opponent's Spell Card and destroy it. This effect can be activated during either player's turn. 
,EOJ-EN019 ,Herald of Purple Light ,Effect Monster ,Rare ,,Light ,Fairy ,2,300,500,Send this card and 1 other Fairy-Type monster from your hand to the Graveyard to activate this effect. Negate the activation of your opponent's Trap Card and destroy it. This effect can be activated during either player's turn. 
,EOJ-EN020 ,Bountiful Artemis ,Effect Monster ,Common ,,Light ,Fairy ,4,1600,1700,"While this card is face-up on the field, draw 1 card from your Deck each time a Counter Trap Card is activated. "
,EOJ-EN021 ,Layard the Liberator ,Effect Monster ,Common ,,Light ,Fairy ,4,1400,1500,"While this card is face-up on the field, add 2 of your removed from play Fairy-Type monsters to your hand each time a Counter Trap Card is activated. "
,EOJ-EN022 ,Banisher of the Radiance ,Effect Monster ,Rare ,,Light ,Fairy ,3,1600,0,"While this card is face-up on the field, any card sent to the Graveyard is removed from play instead. "
,EOJ-EN023 ,Voltanis the Adjudicator ,Effect Monster ,Ultra Rare ,,Light ,Fairy ,8,2800,1400,"After 1 of your Counter Trap Cards has been activated and has resolved, by Tributing all monsters on your side of the field, you can Special Summon this card. If this card is Special Summoned this way, you can destroy cards on your opponent's side of the field up to the number of Fairy-Type monsters you Tributed. "
,EOJ-EN024 ,Guard Dog ,Effect Monster ,Common ,,Earth ,Beast ,3,1500,500,FLIP: Your opponent cannot Special Summon for the rest of this turn. 
,EOJ-EN025 ,Whirlwind Weasel ,Effect Monster ,Common ,,Wind ,Beast ,3,500,1500,FLIP: Your opponent cannot activate any Spell or Trap Cards for the rest of this turn. 
,EOJ-EN026 ,Avalanching Aussa ,Effect Monster ,Common ,,Earth ,Spellcaster ,4,800,1500,"Once per turn, by Tributing 1 EARTH monster on your side of the field (except this card), Special Summon 1 EARTH monster from your hand. The monster Special Summoned by this effect is destroyed if ""Avalanching Aussa"" is removed from your side of the field. "
,EOJ-EN027 ,Raging Eria ,Effect Monster ,Common ,,Water ,Spellcaster ,4,800,1500,"Once per turn, by Tributing 1 WATER monster on your side of the field (except this card), Special Summon 1 WATER monster from your hand. The monster Special Summoned by this effect is destroyed if ""Raging Eria"" is removed from your side of the field. "
,EOJ-EN028 ,Blazing Hiita ,Effect Monster ,Common ,,Fire ,Spellcaster ,4,800,1500,"Once per turn, by Tributing 1 FIRE monster on your side of the field (except this card), Special Summon 1 FIRE monster from your hand. The monster Special Summoned by this effect is destroyed if ""Blazing Hiita"" is removed from your side of the field. "
,EOJ-EN029 ,Storming Wynn ,Effect Monster ,Common ,,Wind ,Spellcaster ,4,800,1500,"Once per turn, by Tributing 1 WIND monster on your side of the field (except this card), Special Summon 1 WIND monster from your hand. The monster Special Summoned by this effect is destroyed if ""Storming Wynn"" is removed from your side of the field. "
,EOJ-EN030 ,Batteryman D ,Effect Monster ,Common ,,Light ,Thunder ,1,0,1900,"While this card is face-up on your side of the field, your opponent cannot select a Thunder-Type monster on your side of the field as an attack target (except ""Batteryman D""). "
