Check,Card # ,Card Name ,Type ,Rarity ,Value,Attribute ,Sub Type ,Level ,ATK ,DEF ,Card Text 
,FET-EN001 ,Space Mambo ,Normal Monster ,Common ,,Water ,Fish ,4,1700,1000,A Space Mambo floating in the vast universe. This living relic was found in the ruins of a super civilization on Alphard 4. 
,FET-EN002 ,Divine Dragon Ragnarok ,Normal Monster ,Common ,,Light ,Dragon ,4,1500,1000,"""A legendary dragon sent by the gods as their instrument. Legends say that if provoked , the whole world will sink beneath the sea."" "
,FET-EN003 ,Chu-Ske The Mouse Fighter ,Normal Monster ,Common ,,Earth ,Beast ,3,1200,0,"""A fiery mouse, travelling the world to become the strongest fighter in the world of mice. Be careful not to touch him, or you will get burned."" "
,FET-EN004 ,Insect Knight ,Normal Monster ,Common ,,Earth ,Insect ,4,1900,1500,"""Of all Insect fighters, he is the paragon of the Indestructible Insect Invaders, which only the elite of the elite can join. We can no longer ignore their unmatched battle prowess."" "
,FET-EN005 ,Sacred Phoenix of Nephthys ,Effect Monster ,Ultra Rare/Ulti ,,Fire ,Winged Beast ,8,2400,1600,"""If this card is destroyed by a card effect, Special Summon this card during your next Standby Phase. If you Special Summon this card successfully in this way, destroy all Spell and Trap Cards on the field."" "
,FET-EN006 ,Hand of Nephthys ,Effect Monster ,Common ,,Wind ,Spellcaster ,2,600,600,"""Tribute 2 monsters on your side of the field, including this card, to Special Summon 1 ""Sacred Phoenix of Nephthys"" from your hand or Deck."" "
,FET-EN007 ,Ultimate Insect LV5 ,Effect Monster ,Rare/Ultimate R ,,Wind ,Insect ,5,2300,900,"""If this card was Special Summoned by the effect of ""Ultimate Insect LV3"", as long as this card remains on the field, decrease the ATK of all your opponent's monsters by 500 points. During your Standby Phase, send this face-up card to the Graveyard to Special Summon 1 ""Ultimate Insect LV7"" from your hand or Deck. (You cannot activate this effect the turn this card is Normal Summoned, Special Summoned, or flipped face-up.)"" "
,FET-EN008 ,Silent Swordsman LV5 ,Effect Monster ,Ultra Rare/Ulti ,,Light ,Warrior ,5,2300,1000,"""This card is unaffected by your opponent's Spell Cards. If this card successfully attacks your opponent's Life Points directly, during your next Standby Phase, send this face-up card to the Graveyard to Special Summon 1 ""Silent Swordsman LV7"" from your hand or Deck."" "
,FET-EN009 ,Granmarg the Rock Monarch ,Effect Monster ,Super Rare/Ulti ,,Earth ,Rock ,6,2400,1000,"""When this card is Tribute Summoned successfully, destroy 1 face-down card on the field."" "
,FET-EN010 ,Element Valkyrie ,Effect Monster ,Common ,,Light ,Fairy ,4,1500,1200,"This monster gets the following effect(s) while there is a monster(s) with the following Attribute(s) on the field:
-FIRE: Increase the ATK of this card by 500 points.
-WATER: Control of this card cannot switch. "
