Check,Card # ,Card Name ,Type ,Rarity ,Value,Attribute ,Sub Type ,Level ,ATK ,DEF ,Card Text 
,FOTB-EN001 ,Crystal Beast Ruby Carbuncle ,Effect Monster ,Common ,,Light ,Fairy ,3,300,300,"When this card is Special Summoned, you can Special Summon as many ""Crystal Beast"" cards as possible from your Spell & Trap Card Zone. If this card is destroyed while it is in a Monster Card Zone, you can place it face-up in your Spell & Trap Card Zone as a Continuous Spell Card instead of sending it to the Graveyard. "
,FOTB-EN002 ,Crystal Beast Amethyst Cat ,Effect Monster ,Common ,,Earth ,Beast ,3,1200,400,"This card can attack your opponent directly. When it does so using this effect, any Battle Damage it inflicts to your opponent is halved. If this card is destroyed while it is in a Monster Card Zone, you can place it face-up in your Spell & Trap Card Zone as a Continuous Spell Card instead of sending it to the Graveyard. "
,FOTB-EN003 ,Crystal Beast Emerald Tortoise ,Effect Monster ,Common ,,Water ,Aqua ,3,600,2000,"Once per turn, you can change 1 of your monsters that attacked this turn to Defense Position. If this card is destroyed while it is in a Monster Card Zone, you can place it face-up in your Spell & Trap Card Zone as a Continuous Spell Card instead of sending it to the Graveyard. "
,FOTB-EN004 ,Crystal Beast Topaz Tiger ,Effect Monster ,"Rare, Ultimate ",,Earth ,Beast ,4,1600,1000,"If this card attacks an opponent's monster, it gains 400 ATK during the Damage Step only. If this card is destroyed while it is in a Monster Card Zone, you can place it face-up in your Spell & Trap Card Zone as a Continuous Spell Card instead of sending it to the Graveyard. "
,FOTB-EN005 ,Crystal Beast Amber Mammoth ,Effect Monster ,Common ,,Earth ,Beast ,4,1700,1600,"When a face-up ""Crystal Beast"" monster you control is selected as an attack target, you can change the target to this card. If this card is destroyed while it is in a Monster Card Zone, you can place it face-up in your Spell & Trap Card Zone as a Continuous Spell Card instead of sending it to the Graveyard. "
,FOTB-EN006 ,Crystal Beast Cobalt Eagle ,Effect Monster ,Common ,,Wind ,Winged Beast ,4,1400,800,"Once per turn, you can return 1 face-up ""Crystal Beast"" card you control to the top of the owner's Deck. If this card is destroyed while it is in a Monster Card Zone, you can place it face-up in your Spell & Trap Card Zone as a Continuous Spell Card instead of sending it to the Graveyard. "
,FOTB-EN007 ,Crystal Beast Sapphire Pegasus ,Effect Monster ,"Ultra Rare, Ult ",,Wind ,Beast ,4,1800,1200,"While this card is Normal Summoned, Flip Summoned, or Special Summoned, you can place 1 ""Crystal Beast"" monster from your hand, deck, or Graveyard face-up in your Spell & Trap Card Zone; it is treated as a Continuous Spell Card. If this card if destroyed while its is in a Monster Card Zone, you can place it face-up in your Spell & Trap Card Zone as a Continuous Spell Card instead of sending it to the Graveyard. "
,FOTB-EN008 ,Volcanic Doomfire ,Effect Monster ,"Ultra Rare, Ult ",,Fire ,Pyro ,8,3000,1800,"This card cannot be Normal Summoned or Set. This card can only be Special Summoned by sending a face-up ""Tri-Blaze Accelerator"" you control to the Graveyard. During your opponent's Battle Phase, your opponent must attack this monster with any Attack Position monsters they control. When this card destroys a monster and sends it to the Graveyard, destroy all other monsters your opponent controls and inflict 500 damage to your opponent for each monster destroyed by this effect. "
,FOTB-EN009 ,Volcanic Shell ,Effect Monster ,"Rare, Ultimate ",,Fire ,Pyro ,1,100,0,"Once per turn, while this card is in the Graveyard, you can pay 500 Life Points to add 1 ""Volcanic Shell"" from your Deck to your hand. "
,FOTB-EN010 ,Volcanic Scattershot ,Effect Monster ,Common ,,Fire ,Pyro ,2,500,0,"When this card is sent to the Graveyard, inflict 500 damage to your opponent. If this card is sent to the Graveyard for the effect of a ""Blaze Accelerator"" card, you can send 2 ""Volcanic Scattershots"" from your hand / Deck to the Graveyard to destroy all monsters your opponent controls "
,FOTB-EN011 ,Volcanic Blaster ,Effect Monster ,Common ,,Fire ,Pyro ,3,1200,600,"When this card is destroyed and sent to the Graveyard by battle, you can place 1 ""Volcanic"" monster in your Deck on top of your Deck. "
,FOTB-EN012 ,Volcanic Slicer ,Effect Monster ,Rare ,,Fire ,Pyro ,4,1800,1200,"Once per turn, you can inflict 500 damage to your opponent. If you activate this effect, this card cannot attack during this turn. "
,FOTB-EN013 ,Volcanic Hammer ,Effect Monster ,Common ,,Fire ,Pyro ,5,2400,1500,"Once per turn, you can inflict damage to your opponent equal to the number of ""Volcanic"" monsters in your Graveyard x 200. If you activate this effect, this card cannot attack during this turn. "
,FOTB-EN014 ,Elemental Hero Captain Gold ,Effect Monster ,Ultra Rare ,,Light ,Warrior ,5,2100,800,"You can discard this card to the Graveyard to add 1 ""Skyscraper"" from your Deck to your hand. If this card is on the field and ""Skyscraper"" is not on the field, destroy this card. "
,FOTB-EN015 ,Gravekeeper's Commandant ,Effect Monster ,Rare ,,Earth ,Spellcaster ,4,1600,1500,"You can discard this card to the Graveyard to add 1 ""Necrovalley"" from your Deck to your hand. "
,FOTB-EN016 ,Warrior of Atlantis ,Effect Monster ,"Rare, Ultimate ",,Water ,Aqua ,4,1900,1200,"You can discard this card to the Graveyard to add 1 ""A Legendary Ocean"" from your Deck to your hand. "
,FOTB-EN017 ,Destroyersaurus ,Effect Monster ,"Rare, Ultimate ",,Earth ,Dinosaur ,4,1800,1100,"You can discard this card to the Graveyard to add 1 ""Jurassic World"" from your Deck to your hand. "
,FOTB-EN018 ,"Zeradias, Herald of Heaven ",Effect Monster ,"Rare, Ultimate ",,Light ,Fairy ,4,2100,800,"You can discard this card to the Graveyard to add 1 ""The Sanctuary in the Sky"" from your Deck to your hand. If this card is on the field and ""The Sanctuary in the Sky"" is not on the field, destroy this card. "
,FOTB-EN019 ,Archfiend General ,Effect Monster ,"Rare, Ultimate ",,Dark ,Fiend ,4,2100,800,"You can discard this card to the Graveyard to add 1 ""Pandemonium"" from your Deck to your hand. If this card is on the field and ""Pandemonium"" is not on the field, destroy this card. "
,FOTB-EN020 ,Harpie Queen ,Effect Monster ,"Rare, Ultimate ",,Wind ,Winged Beast ,4,1900,1200,"You can discard this card to the Graveyard to add 1 ""Harpies' Hunting Ground"" from your Deck to your hand. This card's name is treated as ""Harpie Lady"" while it is on the field or in the Graveyard. "
