Check,Card # ,Card Name ,Type ,Rarity ,Value,Attribute ,Sub Type ,Level ,ATK ,DEF ,Card Text 
,GLAS-EN000 ,Gladiator Beast Octavius ,Effect Monster ,SR ,,Light ,Winged Beast ,7,2500,1200,"When this card is Special Summoned by the effect of a ""Gladiator Beast"" monster, destroy 1 face-down Spell or Trap Card. At the end of your Battle Phase, if this card attacked or was attacked, return this card to the Deck unless you discard 1 card. "
,GLAS-EN001 ,Chamberlain of the Six Samurai ,Normal Monster ,Common ,,Earth ,Warrior ,3,200,2000,"The Six Samurai are supported from the shadows by this silent mysterious warrior. His past is unknown to them, but his scars are proof of his experience. "
,GLAS-EN002 ,Cloudian - Smoke Ball ,Normal Monster ,Common ,,Water ,Fairy ,1,200,600,"Smoke Balls are newly born Cloudians. They fear being alone, and would rather swing and sway in the sky with their friends. "
,GLAS-EN003 ,Evil Hero Malicious Edge ,Effect Monster ,SR ,,Earth ,Fiend ,7,2600,1800,"If your opponent controls a monster, you can Normal Summon this card with 1 Tribute. During battle between the attacking card and a Defense Position monster whose DEF is lower than the ATK of this card, inflict the difference as Battle Damage to your opponent. "
,GLAS-EN004 ,Evil Hero Infernal Gainer ,Effect Monster ,Rare ,,Earth ,Fiend ,4,1600,0,"During your Main Phase 1, you can remove this card from play and select 1 face-up Fiend Type monster you control. That monster can attack twice during each Battle Phase. Special Summon this card in face-up Attack Position during your second Standby Phase after you activate this effect. "
,GLAS-EN005 ,Cloudian - Eye of the Typhoon ,Effect Monster ,SR ,,Wind ,Aqua ,8,3000,1000,"This card cannot be destroyed by battle. If this card is in face-up Defense Position, destroy it. When this card declares an attack change the battle position of all face-up monsters, except ""Cloudian"" monsters. "
,GLAS-EN006 ,Cloudian - Ghost Fog ,Effect Monster ,Common ,,Water ,Fiend ,1,0,0,"This card cannot be Special Summoned. All Battle Damage to either player from a battle involving this monster becomes 0. If this card is destroyed by battle, distribute new Fog Counters equal to the Level of the monster that destroyed it among face-up monsters. "
,GLAS-EN007 ,Cloudian - Nimbusman ,Effect Monster ,Common ,,Water ,Fairy ,5,1000,1000,"This card cannot be destroyed by battle. If this card is in face-up Defense Position, destroy it. You can Tribute any number of WATER monsters for the Tribute Summon of this card. When this card is Tribute Summoned, place 1 Fog Counter on it for each WATER monster you Tributed. This card gains 500 ATK for each Fog Counter on the field. "
,GLAS-EN008 ,Cloudian - Sheep Cloud ,Effect Monster ,SR ,,Water ,Fairy ,1,0,0,"When this card is destroyed by battle and sent to the Graveyard, Special Summon 2 ""Cloudian Tokens"" (Fairy-Type/WATER/Level 1/ATK 0/DEF 0) in Defense Position. These tokens cannot be Tributed for a Tribute Summon, unless it is for a ""Cloudian"" monster. "
,GLAS-EN009 ,Cloudian - Poison Cloud ,Effect Monster ,Common ,,Water ,Fiend ,3,0,1000,"When this face-up card attacks or is attacked, and is destroyed by battle and sent to the Graveyard, destroy the monster that destroyed it, and then inflict 800 damage to your opponent. "
,GLAS-EN010 ,Cloudian - Acid Cloud ,Effect Monster ,Rare ,,Water ,Fairy ,4,500,0,"This card cannot be destroyed by battle. If this card is in face-up Defense Position, destroy it. When your Normal Summon this card place 1 Fog Counter on it for each ""Cloudian"" monster on the field. You can remove 2 Fog Counters from this card to destroy 1 Spell or Trap Card. "
,GLAS-EN011 ,Cloudian - Cirrostratus ,Effect Monster ,Rare ,,Water ,Fairy ,4,900,0,"This card cannot be destroyed by battle. If this card is in face-up Defense Position, destroy it. When you Normal Summon this card place 1 Fog Counter on it for each ""Cloudian"" monster on the field. You can remove 2 Fog Counters from this card to destroy 1 monster on the field. "
,GLAS-EN012 ,Cloudian - Altus  ,Effect Monster ,Rare ,,Water ,Fairy ,4,1300,0,"This card cannot be destroyed by battle. If this card is in face-up Defense Position, destroy it. When you Normal Summon this card, place 1 Fog Counter on it for each ""Cloudian"" monster on the field. You can remove 3 Fog Counters from anywhere on the field to discard 1 random card from your opponent's hand. "
,GLAS-EN013 ,Cloudian - Turbulence ,Effect Monster ,Common ,,Water ,Fairy ,4,800,0,"This card cannot be destroyed by battle. If this card is in face-up Defense Position, destroy it. When you Normal Summon this card, place 1 Fog Counter on it for each ""Cloudian"" monster on the field. You can remove 1 Fog Counter from this card to Special Summon 1 ""Cloudian - Smoke Ball"" from your Deck or from either player's Graveyard. "
,GLAS-EN014 ,Truckroid ,Effect Monster ,Common ,,Earth ,Machine ,4,1000,2000,"When this card destroys a monster your opponent controls by battle and sends it to the Graveyard, equip it to this card. This card gains ATK equal to the combined ATK of the equipped card(s). "
,GLAS-EN015 ,Stealthroid ,Effect Monster ,Common ,,Dark ,Machine ,4,1200,0,"If this card attacks, destroy 1 Spell or Trap Card at the end of the Battle Phase if you control another ""roid"" monster. "
,GLAS-EN016 ,Expressroid ,Effect Monster ,Rare ,,Earth ,Machine ,4,400,1600,"When you Summon this card, you can add 2 ""roid"" monsters from your Graveyard to your hand, except ""Expressroid"". "
,GLAS-EN017 ,Gladiator Beast Alexander ,Effect Monster ,SR ,,Light ,Beast ,6,2400,600,"This card cannot be Special Summoned except by the effect of ""Gladiator Beast Dimacari"". If this card was Special Summoned, it is unaffected by the effects of Spell Cards. At the end of the Battle Phase, if this card attacked or was attacked, you can return it to the Deck to Special Summon 1 ""Gladiator Beast"" monster from your Deck, except ""Gladiator Beast Alexander"". "
,GLAS-EN018 ,Gladiator Beast Spartacus ,Effect Monster ,Rare ,,Earth ,Dinosaur ,5,2200,1600,"This card cannot be Special Summoned except by the effect of ""Gladiator Beast Hoplomus"". When this card is Special Summoned, add 1 ""Gladiator Beast"" Equip Spell Card from your Deck to your hand. At the end of the Battle Phase, if this card attacked or was attacked you can return it to the Deck to Special Summon 1 ""Gladiator Beast"" monster from your Deck, except ""Gladiator Beast Spartacus"". "
,GLAS-EN019 ,Gladiator Beast Murmillo ,Effect Monster ,Rare ,,Water ,Fish ,3,800,400,"When this card is Special Summoned by the effect of a ""Gladiator Beast"" monster, destroy 1 face-up monster. At the end of the Battle Phase, if this card attacked of was attacked, you can return it to the Deck to Special Summon 1 ""Gladiator Beast"" monster from your Deck, except ""Gladiator Beast Murmillo"". "
,GLAS-EN020 ,Gladiator Beast Bestiari ,Effect Monster ,Common ,,Wind ,Winged Beast ,4,1500,800,"When this card is Special Summoned by the effect of a ""Gladiator Beast"" monster, destroy 1 Spell or Trap Card. At the end of the Battle Phase, if this card attacked or was attacked, you can return it to the Deck to Special Summon 1 ""Gladiator Beast"" monster from your Deck, except ""Gladiator Beast Bestiari"". "
,GLAS-EN021 ,Gladiator Beast Laquari ,Effect Monster ,Rare ,,Fire ,Beast-Warrior ,4,1800,400,"When this card is Special Summoned by the effect of a ""Gladiator Beast"" monster, it original ATK is 2100. At the end of the Battle Phase, if this card attacked or was attacked, you can return it to the Deck to Special Summon 1 ""Gladiator Beast"" monster from your Deck, except ""Gladiator Beast Laquari"". "
