Check,Card # ,Card Name ,Type ,Rarity ,Value,Attribute ,Sub Type ,Level ,ATK ,DEF ,Card Text 
,HA03-EN001 ,Fabled Urustos ,Effect Monster ,Super Rare ,,Light ,Fiend ,4,1500,200,"While you have 2 or less cards in your hand, all face-up ""Fabled"" monsters you control gain 400 ATK. "
,HA03-EN002 ,Fabled Krus ,Effect Monster ,Secret Rare ,,Light ,Fiend ,2,1000,800,"When this card is discarded to the Graveyard, select 1 Level 4 or lower ""Fabled"" monster in your Graveyard, except this card, and Special Summon it. "
,HA03-EN003 ,Fabled Topi ,Effect Monster ,Super Rare ,,Light ,Fiend ,1,500,200,"If your opponent has 2 or more cards in their hand than you do, you can reveal 1 ""Fabled"" monster in your hand and Tribute this face-up card to select 2 Spell or Trap Cards your opponent controls, and destroy them. "
,HA03-EN004 ,Fabled Soulkius ,Effect Monster ,Secret Rare ,,Light ,Fiend ,6,2200,2100,"You can send 2 cards, except ""Fabled Soulkius"", from your hand to the Graveyard to Special Summon this card from the Graveyard. "
,HA03-EN005 ,Fabled Miztoji ,Tuner Monster ,Super Rare ,,Light ,Fiend ,,,,"You can send this card from your hand to the Graveyard to select 1 face-up ""Fabled"" monster you control. The selected monster is treated as a Tuner monster while face-up on the field. "
,HA03-EN006 ,Jurrac Ptera ,Effect Monster ,Super Rare ,,Fire ,Dinosaur ,3,800,1500,"If this card is attacked, return the attacking monster to the hand after damage calculation and this card gains DEF equal to the returned monster's Level x 100. "
,HA03-EN007 ,Jurrac Iguanon ,Effect Monster ,Super Rare ,,Fire ,Dinosaur ,4,1700,700,"If this card destroys an opponent's monster by battle, you can select 1 Set card your opponent controls, and return it to the hand. "
,HA03-EN008 ,Jurrac Brachis ,Tuner Monster ,Super Rare ,,Fire ,Dinosaur ,3,1000,1000,"While another face-up ""Jurrac"" monster is on the field, this card cannot be destroyed by battle. "
,HA03-EN009 ,Jurrac Spinos ,Effect Monster ,Super Rare ,,Fire ,Dinosaur ,7,2600,1700,"When this card destroys an opponent's monster by battle and sends it to the Graveyard, Special Summon 1 ""Spinos Token"" (Dinosaur/FIRE/Level 1/ATK 300/DEF 0) in Attack Position to your opponent's side of the field. "
,HA03-EN010 ,Naturia Dragonfly ,Effect Monster ,Super Rare ,,Earth ,Insect ,4,1200,400,"This card cannot be destroyed by battle with a monster that has 2000 or more ATK. This card gains 200 ATK for each ""Naturia"" monster in your Graveyard. "
,HA03-EN011 ,Naturia Sunflower ,Effect Monster ,Super Rare ,,Earth ,Plant ,2,500,0,"You can Tribute this card and 1 other ""Naturia"" monster you control to negate the activation of an opponent's Effect Monster's effect and destroy that Effect Monster. "
,HA03-EN012 ,Naturia Cliff ,Effect Monster ,Secret Rare ,,Earth ,Rock ,4,1500,1000,"When this card is sent from the field to the Graveyard, you can Special Summon 1 Level 4 or lower ""Naturia"" monster from your Deck to your side of the field in face-up Attack Position. "
,HA03-EN013 ,Naturia Tulip ,Tuner Monster ,Super Rare ,,Earth ,Plant ,2,600,1500,"Each time your opponent activates a Spell or Trap Card, all face-up ""Naturia"" monster(s) you control gain 500 ATK until the End Phase. "
,HA03-EN014 ,R-Genex Turbo ,Effect Monster ,Super Rare ,,Wind ,Machine ,4,1500,1300,"When this card is Normal Summoned, you can select and add 1 Level 1 ""Genex"" monster from your Deck to your hand. "
,HA03-EN015 ,R-Genex Overseer ,Tuner Monster ,Super Rare ,,Dark ,Spellcaster ,2,200,100,"When this card is Normal or Special Summoned, you can Special Summon 1 Level 3 or lower ""Genex"" monster from your hand. "
,HA03-EN016 ,R-Genex Crusher ,Effect Monster ,Super Rare ,,Earth ,Machine ,2,800,800,"When this card is Normal Summoned successfully, you can add 1 Level 4 ""R-Genex"" monster from your deck to your hand. "
,HA03-EN017 ,R-Genex Magma ,Effect Monster ,Super Rare ,,Fire ,Pyro ,3,1000,200,"When this card is Normal Summoned, you can add 1 Level 2 ""R-Genex"" monster from your Deck to your hand. "
,HA03-EN018 ,Shock Troops of the Ice Barrier ,Effect Monster ,Super Rare ,,Water ,Spellcaster ,3,1500,800,"You can Tribute this card to destroy 1 face-up WATER monster on the field, and add 1 ""Ice Barrier"" monster from your Deck to your hand. "
,HA03-EN019 ,Samurai of the Ice Barrier ,Effect Monster ,Super Rare ,,Water ,Warrior ,4,1800,1500,"When this card on the field is changed from face-up Attack Position to face-up Defense Position, destroy it and draw 1 card. "
,HA03-EN020 ,Dewdark of the Ice Barrier ,Tuner Monster ,Super Rare ,,Water ,Aqua ,2,1200,800,"If the only face-up monsters you control are Level 2 or lower monsters, this card can attack your opponent directly. "
,HA03-EN021 ,Caravan of the Ice Barrier ,Effect Monster ,Super Rare ,,Water ,Sea Serpent ,1,500,200,"Once per turn, you can return 2 ""Ice Barrier"" monsters in your Graveyard to the Deck to have both players draw 1 card. "
,HA03-EN022 ,Worm Solid ,Effect Monster ,Super Rare ,,Light ,Reptile ,4,1000,1600,"This card gains 100 DEF for each Reptile-Type ""Worm"" monster in your Graveyard. If your opponent takes Battle Damage by attacking this card, select and destroy 1 Spell or Trap Card your opponent controls at the end of the Damage Step. "
,HA03-EN023 ,Worm Tentacles ,Effect Monster ,Super Rare ,,Light ,Reptile ,4,1700,700,"Once per turn, you can remove from play 1 Reptile-Type ""Worm"" monster from your Graveyard. If you do, this card can attack twice during this turn's Battle Phase. "
,HA03-EN024 ,Worm Ugly ,Effect Monster ,Super Rare ,,Light ,Reptile ,1,100,100,"If you use this card to Tribute Summon a Reptile-Type ""Worm"" monster, you can Special Summon this card from your Graveyard to your opponent's side of the field in face-up attack position. "
,HA03-EN025 ,Worm Victory ,Effect Monster ,Secret Rare ,,Light ,Reptile ,7,0,2500,"FLIP: Destroy all face-up monsters on the field, except Reptile-Type ""Worm"" monsters. This card gains 500 ATK for each Reptile-Type ""Worm"" monster in your Graveyard. "
,HA03-EN026 ,Fabled Leviathan ,Synchro/Effect Monster ,Secret Rare ,,Light ,Fiend ,10,3000,2000,"1 ""Fabled"" Tuner + 1 or more non-Tuner monster.
When this card on the field is destroyed and sent to the Graveyard, you can select up to 3 ""Fabled"" monsters in your Graveyard. Add them to your hand. "
,HA03-EN027 ,Jurrac Velphito ,Synchro/Effect Monster ,Secret Rare ,,Fire ,Dinosaur ,5,? ,? ,"1 Tuner + 1 or more non-Tuner Dinosaur monsters
This card's ATK and DEF are equal to the total original ATK of the Synchro Material Monsters used for its Synchro Summon. If this card attacks a face-down Defense Position monster, you can destroy the monster immediately with this card's effect without flipping it face-up or applying damage calculation. "
