Check,Card # ,Card Name ,Type ,Rarity ,Value,Attribute ,Sub Type ,Level ,ATK ,DEF ,Card Text 
,HA01-EN001 ,"Blizzed, Defender of the Ice Barrier ",Effect Monster ,Secret Rare ,,Water ,Aqua ,1,300,500,"When this card is destroyed by battle and sent to the Graveyard, draw 1 card. "
,HA01-EN002 ,Blizzard Warrior ,Effect Monster ,Super Rare ,,Water ,Warrior ,3,1400,400,"If this card destroys an opponent's monster by battle, look at the top card of their Deck, then return it to either the top or bottom of their Deck. "
,HA01-EN003 ,Cryomancer of the Ice Barrier ,Tuner Monster ,Secret Rare ,,Water ,Aqua ,2,1300,0,"While you control another ""Ice Barrier"" monster, Level 4 or higher monsters cannot declare an attack. "
,HA01-EN004 ,Mist Valley Thunderbird ,Effect Monster ,Secret Rare ,,Wind ,Thunder ,3,1100,700,"When this face-up card on the field returns to the hand, Special Summon it. This card cannot attack during the Turn it was Special Summoned by this effect. "
,HA01-EN005 ,Mist Valley Shaman ,Tuner Monster ,Secret Rare ,,Wind ,Winged-Beast ,3,1200,1200,"Once per turn, you can return 1 other monster you control to the hand, to have this card gain 500 ATK until the End Phase. "
,HA01-EN006 ,Mist Valley Soldier ,Tuner Monster ,Secret Rare ,,Wind ,Winged-Beast ,4,1700,300,"While you control this face-up card, any opponent's monster that battles this card, but is not destroyed by battle, returns to its owner's hand at the end of the Damage Step. "
,HA01-EN007 ,Flamvell Dragnov ,Effect Monster ,Super Rare ,,Fire ,Dragon ,2,1100,200,"When this card is destroyed by battle and sent to the Graveyard, inflict 500 damage to your opponent. You can remove from play this card in your Graveyard, along with 1 face-up FIRE monster you control, to add 1 ""Flamvell Dragnov"" from your Deck to your hand. "
,HA01-EN008 ,Flamvell Magician ,Tuner Monster ,Super Rare ,,Fire ,Spellcaster ,4,1400,200,"While you control an ""Ally of Justice"" monster(s), this card gains 400 ATK. "
,HA01-EN009 ,Flamvell Guard ,Tuner Monster ,Super Rare ,,Fire ,Dragon ,1,100,2000,A Flamvell guardian who commands fire with his will. His magma-hot barrier protects his troops from intruders. 
,HA01-EN010 ,X-Saber Axel ,Effect Monster ,Super Rare ,,Earth ,Warrior ,1,400,100,"While you control this face-up card, when a ""Saber"" monster is destroyed by battle and sent to the Graveyard, draw 1 card. "
,HA01-EN011 ,X-Saber Airbellum ,Tuner Monster ,Secret Rare ,,Earth ,Beast ,3,1600,200,"When this card inflicts Battle Damage to your opponent by a direct attack, discard 1 random card from your opponent's hand. "
