Check,Card # ,Card Name ,Type ,Rarity ,Value,Attribute ,Sub Type ,Level ,ATK ,DEF ,Card Text
,LON-000 ,Gemini Elf ,Normal Monster ,Secret Rare ,,Earth ,Spellcaster ,4,1900,900,Elf twins that alternate their attacks.
,LON-001 ,The Masked Beast ,Ritual Monster ,Ultra Rare ,,Dark ,Fiend ,8,3200,1800,"This monster can only be Ritual Summoned with the Ritual Magic Card, ""Curse of the Masked Beast"". You must also offer monsters whose total Level Stars equal 8 or more as a Tribute from the field or your hand."
,LON-002 ,Swordsman of Landstar ,Normal Monster ,Common ,,Earth ,Warrior ,3,500,1200,"An amateur with a sword, this fairy warrior relies on its mysterious powers."
,LON-003 ,Humanoid Slime ,Normal Monster ,Short-Print Com ,,Water ,Aqua ,4,800,2000,This slime apparently has some human genes in its genetic makeup.
,LON-004 ,Worm Drake ,Normal Monster ,Common ,,Earth ,Reptile ,4,1400,1500,"Once this monster wraps itself around a victim, there is no escape."
,LON-005 ,Humanoid Worm Drake ,Fusion Monster ,Short-Print Com ,,Water ,Aqua ,7,2200,2000,"Worm Drake + ""Humanoid Slime"""
,LON-006 ,Revival Jam ,Effect Monster ,Super Rare ,,Water ,Aqua ,4,1500,500,"When this card is sent to the Graveyard as a result of battle, you can Special Summon this card in face-up Defense Position at your next Standby Phase by paying 1000 Life Points. This must be declared when monster is destroyed. You cannot change its position during the same turn it is Special Summoned in this way."
,LON-007 ,Flying Fish ,Normal Monster ,Common ,,Wind ,Fish ,4,800,500,Three wishes are granted to those fortunate enough to see this monster in flight.
,LON-008 ,Amphibian Beast ,Normal Monster ,Rare ,,Water ,Fish ,6,2400,2000,"On land or in the sea, the speed of this monster is unmatchable."
,LON-009 ,Shining Abyss ,Normal Monster ,Common ,,Light ,Fairy ,4,1600,1800,This monster employs the powers of both Light and Darkness.
,LON-010 ,Gadget Soldier ,Normal Monster ,Common ,,Fire ,Machine ,6,1800,2000,A rust-free machine warrior born to battle.
,LON-011 ,Grand Tiki Elder ,Normal Monster ,Common ,,Dark ,Fiend ,4,1500,800,A masked monster that wields the most deadly of curses.
,LON-012 ,Melchid the Four-Face Beast ,Normal Monster ,Common ,,Dark ,Fiend ,4,1500,1200,This monster has four different masks for four different attacks.
,LON-013 ,Nuvia the Wicked ,Effect Monster ,Rare ,,Dark ,Fiend ,4,2000,800,"If this monster is Summoned by a Normal Summon, it is destroyed. The ATK of this card is decreased by 200 points for each monster on your opponent's side of the field."
,LON-014 ,Chosen One ,Spell ,Short-Print Com ,,,Normal ,,,,"Select 1 Monster Card and 2 non-Monster Cards from your hand. Your opponent randomly selects 1 of the 3 cards. If it is the Monster Card, it is immediately Special Summoned in face-up Attack or Defense Position and the remaining 2 cards are sent to the Graveyard. If it is not a Monster Card, all 3 cards are sent to the Graveyard."
,LON-015 ,Mask of Weakness ,Trap ,Short-Print Com ,,,Normal ,,,,This card can only be activated in the Battle Phase. Select 1 attacking monster and decrease the selected monster's ATK by 700 points during the turn this card is activated.
