Check,Card # ,Card Name ,Type ,Rarity ,Value,Attribute ,Sub Type ,Level ,ATK ,DEF ,Card Text 
,LOB-000 ,Tri-Horned Dragon ,Normal Monster ,Secret Rare ,,Dark ,Dragon ,8,2850,2350,An unworthy dragon with three sharp horns sprouting from its head. 
,LOB-001 ,Blue-Eyes White Dragon ,Normal Monster ,Ultra Rare ,,Light ,Dragon ,8,3000,2500,"This legendary dragon is a powerful engine of destruction. Virtually invincible, Very few have faced this awesome creature and lived to tell the tale. "
,LOB-002 ,Hitotsu-Me Giant ,Normal Monster ,Common ,,Earth ,Beast-Warrior ,4,1200,1000,"A one-eyed behemoth with thick, powerful arms made for delivering punishing blows. "
,LOB-003 ,Flame Swordsman ,Fusion Monster ,Super Rare ,,Fire ,Warrior ,5,1800,1600,"""Flame Manipulator"" + ""Masaki the Legendary Swordsman"" "
,LOB-004 ,Skull Servant ,Normal Monster ,Common ,,Dark ,Zombie ,1,300,200,A skeletal ghost that isn't strong but can be mean trouble in large numbers. 
,LOB-005 ,Dark Magician ,Normal Monster ,Ultra Rare ,,Dark ,Spellcaster ,7,2500,2100,The ultimate wizard in the terms of attack and defense. 
,LOB-006 ,Gaia the Fierce Knight ,Normal Monster ,Ultra Rare ,,Earth ,Warrior ,7,2300,2100,A knight whose horse travels faster than the wind. His battle-charge is a force to be reckoned with. 
,LOB-007 ,Celtic Guardian ,Normal Monster ,Super Rare ,,Earth ,Warrior ,4,1400,1200,An elf who learned to wield a sword. He baffles enemies with lightning-swift attacks. 
,LOB-008 ,Basic Insect ,Normal Monster ,Common ,,Earth ,Insect ,2,500,700,"Usually found traveling in swarms, this creature's ideal environment is the forest. "
,LOB-009 ,Mammoth Graveyard ,Normal Monster ,Common ,,Earth ,Dinosaur ,3,1200,800,A mammoth that protects the graves of its pack and is absolutely merciless when facing grave-robbers. 
,LOB-010 ,Silver Fang ,Normal Monster ,Common ,,Earth ,Beast ,3,1200,800,"A snow wolf that's beautiful to the eye, but absolutely vicious in battle. "
,LOB-011 ,Dark Grey ,Normal Monster ,Common ,,Earth ,Beast ,3,800,900,"Entirely gray, this beast has rarely been seen by mortal eyes. "
,LOB-012 ,Trial of Nightmare ,Normal Monster ,Common ,,Dark ,Fiend ,4,1300,900,This fiend passes judgment on enemies that are locked in coffins. 
,LOB-013 ,Nemuriko ,Normal Monster ,Common ,,Dark ,Spellcaster ,3,800,700,A child-like creature that controls a sleep fiend to beckon enemies into eternal slumber. 
,LOB-014 ,The 13th Grave ,Normal Monster ,Common ,,Dark ,Zombie ,3,1200,900,A zombie that suddenly appeared from plot #13 - an empty grave. 
,LOB-015 ,Charubin the Fire Knight ,Fusion Monster ,Rare ,,Fire ,Pyro ,3,1100,800,"""Monster Egg"" + ""Hinotama Soul"" "
,LOB-016 ,Flame Manipulator ,Normal Monster ,Common ,,Fire ,Spellcaster ,3,900,1000,"This Spellcaster attacks enemies with fire-related spells such as ""Sea of Flames"" and ""Wall of Fire"". "
,LOB-017 ,Monster Egg ,Normal Monster ,Common ,,Earth ,Warrior ,3,600,900,A warrior hidden within an egg that attacks enemies by flinging eggshells. 
,LOB-018 ,Firegrass ,Normal Monster ,Common ,,Earth ,Plant ,2,700,600,A fire-breathing plant found growing near volcanoes. 
,LOB-019 ,Darkfire Dragon ,Fusion Monster ,Rare ,,Dark ,Dragon ,4,1500,1250,"""Firegrass"" + ""Petit Dragon"" "
,LOB-020 ,Dark King of the Abyss ,Normal Monster ,Common ,,Dark ,Fiend ,3,1200,800,It's said that this King of the Netherworld once had the power to rule over the dark. 
,LOB-021 ,Fiend Reflection #2 ,Normal Monster ,Common ,,Light ,Winged Beast ,4,1100,1400,A bird-beast that summons reinforcements with a hand mirror. 
,LOB-022 ,Fusionist ,Fusion Monster ,Rare ,,Earth ,Beast ,3,900,700,"""Petit Angel"" + ""Mystical Sheep #2"" "
,LOB-023 ,Turtle Tiger ,Normal Monster ,Common ,,Water ,Aqua ,4,1000,1500,A tiger encased in a protective shell that attacks with razor-sharp fangs. 
