Check,Card # ,Card Name ,Type ,Rarity ,Value,Attribute ,Sub Type ,Level ,ATK ,DEF ,Card Text 
,LODT-EN000 ,Guardian of Order ,Effect Monster ,Secret Rare ,,Light ,Warrior ,8,2500,1200,"If you control 2 or more LIGHT monsters, you can Special Summon this card from your hand. You can only control 1 ""Guardian of Order"". "
,LODT-EN001 ,Honest ,Effect Monster ,Secret Rare ,,Light ,Fairy ,4,1100,1900,"During your Main Phase, you can return this card from the field to it's owner's hand. During either player's Damage Step, when a face-up LIGHT monster you control battles, you can send this card from your hand to the Graveyard to have that monster gain ATK equal to the ATK of the opponent's monster it is battling, until the End Phase. "
,LODT-EN002 ,Cross Porter ,Effect Monster ,Common ,,Dark ,Warrior ,2,400,400,"You can send 1 monster you control to the Graveyard and Special Summon 1""Neo-Spacian"" monster from your hand. When this card is sent to the Graveyard, you can add 1 ""Neo-Spacian"" monster from your Deck to your hand. "
,LODT-EN003 ,Miracle Flipper ,Effect Monster ,Common ,,Light ,Spellcaster ,2,300,500,"If you control a ""Miracle Flipper"", you cannot Summon this card. Your opponent cannot select another face-up monster as an attack target. If this card is destroyed by battle, Special Summon it to your opponent's side of the field at the end of the Battle Phase. If this card is destroyed by the effect of a Spell or Trap Card, destroy 1 monster your opponent controls. "
,LODT-EN004 ,Destiny Hero - Dread Servant ,Effect Monster ,Common ,,Dark ,Warrior ,3,400,700,"When this card is Normal Summoned, place 1 Clock Counter on ""Clock Tower Prison"". When this card is destroyed by battle and sent to the Graveyard, you can destroy 1 Spell or Trap Card you control. "
,LODT-EN005 ,Volcanic Queen ,Effect Monster ,Common ,,Fire ,Pyro ,6,2500,1200,"This card cannot be Normal Summoned or Set. This card can only be Special Summoned from your hand to your opponent?s side of the field by Tributing 1 monster your opponent controls. If you Special Summon this card, you cannot Normal Summon or Set this turn. Once per turn, you can send 1 other card you control to the Graveyard to inflict 1000 damage to your opponent. During your End Phase, either Tribute 1 other monster or take 1000 damage. "
,LODT-EN006 ,Jinzo - Returner ,Effect Monster ,Rare ,,Dark ,Machine ,3,600,1400,"This card can attack your opponent directly. When this card is sent to the Graveyard, you can Special Summon 1 ""Jinzo"" from your Graveyard. Destroy it during your End Phase. "
,LODT-EN007 ,Jinzo - Lord ,Effect Monster ,Super Rare ,,Dark ,Machine ,8,2600,1600,"This card cannot be Normal Summoned of Set. This card cannot be Special Summoned except by sending 1 face-up ""Jinzo"" you control to the Graveyard. Trap Cards cannot be activated and the effects of all Trap Cards on the field are negated. Once per turn, you can destroy all face-up Trap Cards. Inflict 300 damage to your opponent for each card destroyed by this effect. "
,LODT-EN008 ,Arcana Force 0 - The Fool ,Effect Monster ,Common ,,Light ,Fairy ,1,0,0,"This card cannot be destroyed by battle. This card cannot be changed to Defense Position, except with a card effect. When this card is Summoned toss a coin: * Heads: Negate the effects of your Spells, Traps, and Effect Monsters' effects that target this card and destroy them. * Tails: Negate the effects of your opponent's Spells, Traps and Effect Monsters' effects that target this card, and destroy them. "
,LODT-EN009 ,Arcana Force I - The Magician ,Effect Monster ,Common ,,Light ,Fairy ,4,1100,1100,"When this card is Summoned, toss a coin: * Heads: When a Spell Card is activated, this card's ATK becomes double its original ATK until the End Phase of that turn. * Tails: When a Spell Card is activated, your opponent gains 500 Life Points. "
,LODT-EN010 ,Arcana Force III - The Empress ,Effect Monster ,Common ,,Light ,Fairy ,4,1300,1300,"When this card is Summoned, toss a coin: * Heads: Each time your opponent Normal Summons or Sets a monster, you can Special Summon 1 ""Arcana Force"" monster from your hand. * Tails: Each time your opponent Normal Summons or Sets a monster, send 1 card from your hand to the Graveyard. "
,LODT-EN011 ,Arcana Force IV - The Emperor ,Effect Monster ,Common ,,Light ,Fairy ,4,1400,1400,"When this card is Summoned, toss a coin: * Heads: All ""Arcana Force"" monsters you control gain 500 ATK * Tails: All ""Arcana Force"" monsters you control lose 500 ATK. "
,LODT-EN012 ,Arcana Force VI - The Lovers ,Effect Monster ,Common ,,Light ,Fairy ,4,1600,1600,"When this card is Summoned, toss a coin: * Heads: This card can be treated as 2 Tributes for the Tribute Summon of an ""Arcana Force"" monster * Tails: You cannot Tribute Summon ""Arcana Force"" monsters. "
,LODT-EN013 ,Arcana Force VII - The Chariot ,Effect Monster ,Common ,,Light ,Fairy ,4,1700,1700,"When this card is Summoned, toss a coin: * Heads: If this card destroys an opponent's monster by battle, you can Special Summon that monster to your side of the field. * Tails: Your opponent gains control of this card. "
,LODT-EN014 ,Arcana Force XIV - Temperance ,Effect Monster ,Rare ,,Light ,Fairy ,6,2400,2400,"During either player's turn, you can discard this card to reduce the damage you take from a battle to 0. When this card is Summoned, toss a coin: * Heads: Halve all Battle Damage you take. * Tails: Halve all Battle Damage your opponent takes. "
,LODT-EN015 ,Arcana Force XVIII- The Moon ,Effect Monster ,Common ,,Light ,Fairy ,7,2800,2800,"When this card is Summoned, toss a coin: * Heads: During your Standby Phase, you can Special Summon 1 ""Moon Token"" (Fairy-Type/LIGHT/Level 1/ATK 0/DEF 0). * Tails: During each of your End Phases, select 1 monster you control and give control of it to your opponent. "
