Check,Card # ,Card Name ,Type ,Rarity ,Value,Attribute ,Sub Type ,Level ,ATK ,DEF ,Card Text 
,MRL-000 ,Blue-Eyes Toon Dragon ,Toon Monster ,Secret Rare ,,Light ,Dragon ,8,3000,2500,"This card cannot be summoned unless ""Toon World"" is on the field. This card cannot attack in the same turn that it is summoned. Pay 500 life points each time this monster attacks. When ""Toon World"" is destroyed, this card is destroyed. If your opponent doesn't control a Toon monster on the field, this card may inflict Direct Damage to your opponent's Life Points. If a Toon Monster is on your opponent's side of the field, your attacks must target the Toon Monster. "
,MRL-001 ,Penguin Knight ,Effect Monster ,Common ,,Water ,Aqua ,3,900,800,"When this card is sent directly from your Deck to the Graveyard by an opponent's card effect, combine your Graveyard card with your own Deck, shuffle them and form a new deck. "
,MRL-002 ,Axe of Despair ,Spell ,Ultra Rare ,,,Equip ,,,,"A monster equipped with this card increases its ATK by 1000 points. When this card is sent from the field to the Graveyard, you can offer 1 monster from the field as a Tribute to place it on top of your Deck. "
,MRL-003 ,Black Pendant ,Spell ,Super Rare ,,,Equip ,,,,"A monster equipped with this card increases its ATK by 500 points. When this card is sent from the Field to the Graveyard, inflict 500 points of Direct Damage to your opponent's Life Points. "
,MRL-004 ,Horn of Light ,Spell ,Common ,,,Equip ,,,,"A monster equipped with this card increases its DEF by 800 points. When this card is sent from the Field to the Graveyard, you can pay 500 Life Points to place it on top of your Deck. "
,MRL-005 ,Malevolent Nuzzler ,Spell ,Common ,,,Equip ,,,,"A monster equipped with this card increases its ATK by 700 points. When this card is sent from the Field to the Graveyard, you can pay 500 Life Points to place it on top of your Deck. "
,MRL-006 ,Spellbinding Circle ,Trap ,Ultra Rare ,,,Continuous ,,,,"Select 1 monster. As long as this card remains face-up on the Field, the selected monster cannot attack or change position except by the effect of a Magic, Trap, or Effect Monster Card, When the selected monster is destroyed, this card is also destroyed. If the selected monster is offered as a Tribute, this card is not destroyed. "
,MRL-007 ,Metal Fish ,Normal Monster ,Common ,,Water ,Machine ,5,1600,1900,A metal fish with a razor-sharp caudal fin. 
,MRL-008 ,Electric Snake ,Effect Monster ,Common ,,Light ,Thunder ,3,800,900,"When this card is sent directly from your hand to the Graveyard by your opponent's card effect, you can draw 2 cards from your deck. "
,MRL-009 ,Queen Bird ,Normal Monster ,Common ,,Wind ,Winged Beast ,5,1200,2000,This monster attacks using its huge beak. 
,MRL-010 ,Ameba ,Effect Monster ,Rare ,,Water ,Aqua ,1,300,350,"When this card is face-up on the Field and control shifts to your opponent, inflict 2000 points of Direct Damage to your opponent's Life Points. This effect can only be used once as long as this card remains face-up on the Field. "
,MRL-011 ,Peacock ,Normal Monster ,Common ,,Wind ,Winged Beast ,5,1700,1500,A large peacock that launches its feathers in a lethal attack. 
,MRL-012 ,Maha Vailo ,Effect Monster ,Super Rare ,,Light ,Spellcaster ,4,1550,1400,"In addition to the effects of Equipment Cards, the ATK of this monster is increased by 500 points for each card equipped to this monster. "
,MRL-013 ,Guardian of the Throne Room ,Normal Monster ,Common ,,Light ,Machine ,4,1650,1600,"A robot guard built to guard throne rooms, it is armed with homing missiles. "
,MRL-014 ,Fire Kraken ,Normal Monster ,Common ,,Fire ,Aqua ,4,1600,1500,A squid that thrives on fire and heat. 
,MRL-015 ,Minar ,Effect Monster ,Common ,,Earth ,Insect ,3,850,750,"When this card is sent directly from your hand to the Graveyard by your opponent's card effect, inflict 1000 points of Direct Damage to your opponent's Life Points. "
,MRL-016 ,Griggle ,Effect Monster ,Common ,,Earth ,Plant ,1,350,300,"When this card is face-up on the Field and control shifts to your opponent, you gain 3000 Life Points. This effect can only be used once as long as this card remains face-up on the Field. "
,MRL-017 ,Tyhone #2 ,Normal Monster ,Common ,,Fire ,Dragon ,6,1700,1900,A crimson dragon that spits fireballs to create a blazing sea of fire. 
,MRL-018 ,Ancient One of the Deep Forest ,Normal Monster ,Common ,,Earth ,Beast ,6,1800,1900,"This creature adopts the form of a white goat living in the forest, but is actually a Forest Elder. "
,MRL-019 ,Dark Witch ,Normal Monster ,Common ,,Light ,Fairy ,5,1800,1700,A popular creature in mythology that delivers fatal attacks with a sharp spear. 
,MRL-020 ,Weather Report ,Effect Monster ,Common ,,Water ,Aqua ,4,950,1500,"FLIP: Destroys all opponent's face-up ""Swords of Revealing Light"" on the field. If ""Swords of Revealing Light"" is destroyed, you can perform your Battle Phase twice this turn (or your next turn, if activated during your opponent's turn). "
,MRL-021 ,Mechanical Snail ,Normal Monster ,Common ,,Dark ,Machine ,3,800,1000,A cyborg snail that still travels at a slow place. 
,MRL-022 ,Giant Turtle Who Feeds on Flames ,Normal Monster ,Common ,,Water ,Aqua ,5,1400,1800,A crimson-shelled tortoise that feeds on flames. 
,MRL-023 ,Liquid Beast ,Normal Monster ,Common ,,Water ,Aqua ,3,950,800,A liquid life form that thrives on water. 
,MRL-024 ,Hiro's Shadow Scout ,Effect Monster ,Rare ,,Dark ,Fiend ,2,650,500,FLIP: Your opponent draws 3 cards. Both players check the cards and if any Magic Cards among them must be immediately discarded to the Graveyard. 
