Check,Card #  , Card Name  , Type  , Rarity  ,Value, Attribute  , Sub Type  , Level  , ATK  , DEF  , Card Text
,MFC-000  , Dark Magician Girl  , Effect Monster  , Secret Rare  ,, Dark  , Spellcaster  ,6,2000,1700," Increase the ATK of this monster by 300 points for each ""Dark Magician"" or ""Magician of Black Chaos"" in either player’s Graveyard."
,MFC-001  , People Running About  , Normal Monster  , Common  ,, Fire  , Pyro  ,2,600,600," Although they always suffer in silence, they swear an oath to inevitably revolt"
,MFC-002  , Oppressed People  , Normal Monster  , Common  ,, Water  , Aqua  ,1,400,2000," They are oppressed, but believe they will have their freedom someday."
,MFC-003  , United Resistance  , Normal Monster  , Common  ,, Wind  , Thunder  ,3,1000,400, The people that gather to swear to fight their oppressors. A revolution is cooking.
,MFC-004  , X-Head Cannon  , Normal Monster  , Super Rare  ,, Light  , Machine  ,4,1800,1500," A monster with a mighty cannon barrel, it is able to integrate its attacks. It attacks in many ways by combining and separating with other monsters."
,MFC-005  , Y-Dragon Head  , Union Monster  , Super Rare  ,, Light  , Machine  ,4,1500,1600," Once per turn during your Main Phase, if you control this monster on the field, you can equip it to your ""X-Head Cannon"" as an Equip Spell-Card OR change it back to a monster in face-up Attack Position. When equipped to a monster by this card’s effect, that monster’s ATK/DEF is increased by 400 points. (1 monster can only be equipped with 1 Union Monster at a time. If the monster that this card is equipped to is destroyed in battle this card is destroyed instead.)"
,MFC-006  , Z-Metal Tank  , Union Monster  , Super Rare  ,, Light  , Machine  ,4,1500,1300," Once per turn during your Main Phase, if you control this monster on the field, you can equip it to your ""X-Head Cannon"" or ""Y-Dragon Head"" as an Equip Spell-Card OR change it back to a monster in face-up Attack Position. When equipped to a monster by this card’s effect, that monster’s ATK/DEF is increased by 600 points. (1 monster can only be equipped with 1 Union Monster at a time. If the monster that this card is equipped to is destroyed in battle this card is destroyed instead.)"
,MFC-007  , Dark Blade  , Normal Monster  , Rare  ,, Dark  , Warrior  ,4,1800,1500," They say he is a dragon manipulating warrior from the dark world. His attack is tremendous, using his great swords with vicious power."
,MFC-008  , Pitch-Dark Dragon  , Union Monster  , Common  ,, Dark  , Dragon  ,3,900,600," Once per turn, during your Main Phase, if you control this monster on the field, you can equip it to your ""Dark Blade"" as an Equip Spell Card OR change it back to a monster in face-up Attack Position. When equipped to a monster by this card’s effect, that monster’s ATK/DEF is increased by 400 points, and when it attacks with an ATK that is higher than the DEF of a Defense Position Monster, inflict the difference as Battle Damage to your opponent’s Life Points. (1 monster can only be equipped with 1 Union Monster at a time. If the Monster that this card is equipped to is destroyed in battle, this card is destroyed instead)"
,MFC-009  , Kiryu  , Union Monster  , Common  ,, Dark  , Dragon  ,5,2000,1500," Once per turn, during your Main Phase, if you control this monster on the field, you can equip it to your ""Dark Blade"" as an Equip Spell Card OR change it back to a monster in face-up Attack Position. When equipped to a monster by this card’s effect, that monsters ATK/DEF is increased by 900 points, and you can offer this card as a Tribute to allow the equipped monster to attack the opponent’s Life Points directly this turn. (1 monster can only be equipped with 1 Union Monster at a time. If the Monster that this card is equipped to is destroyed in battle, this card is destroyed instead)"
