Check,Card # ,Card Name ,Type ,Rarity ,Value,Attribute ,Sub Type ,Level ,ATK ,DEF ,Card Text 
,MRD-000 ,Gate Guardian ,Effect Monster ,Secret Rare ,,Dark ,Warrior ,11,3750,3400,"This card can only be Special Summoned by offering ""Sanga of the Thunder"", ""Kazejin"", and ""Suijin"" on your side of the field as a Tribute. "
,MRD-001 ,Feral Imp ,Normal Monster ,Common ,,Dark ,Fiend ,4,1300,1400,"A playful little fiend that lurks in the dark, waiting to attack an unwary enemy. "
,MRD-002 ,"Winged Dragon, Guardian of the Fortress #1 ",Normal Monster ,Common ,,Wind ,Dragon ,4,1400,1200,A dragon commonly found guarding mountain fortresses. Its signature attack is a sweeping dive from out of the blue. 
,MRD-003 ,Summoned Skull ,Normal Monster ,Ultra Rare ,,Dark ,Fiend ,6,2500,1200,"A fiend with dark powers for confusing the enemy. Among the Fiend-Type monsters, this monster boasts considerable force. "
,MRD-004 ,Rock Ogre Grotto #1 ,Normal Monster ,Common ,,Earth ,Rock ,3,800,1200,"Protected by a solid body of rock, this monster throws a bone-shattering punch. "
,MRD-005 ,Armored Lizard ,Normal Monster ,Common ,,Earth ,Reptile ,4,1500,1200,A lizard with a very though hide and a vicious bite. 
,MRD-006 ,Killer Needle ,Normal Monster ,Common ,,Wind ,Insect ,4,1200,1000,A huge bee with exceptional strength that's particularly dangerous in a swarm. 
,MRD-007 ,Larvae Moth ,Effect Monster ,Common ,,Earth ,Insect ,2,500,400,"This monster can only be Special Summoned by offering ""Petit Moth"" as a tribute on the 2nd of your turns after ""Petit Moth"" has been equipped with ""Cocoon of Evolution"". "
,MRD-008 ,Harpie Lady ,Normal Monster ,Common ,,Wind ,Winged Beast ,4,1300,1400,This human-shaped animal with wings is beautiful to watch but deadly in battle. 
,MRD-009 ,Harpie Lady Sisters ,Effect Monster ,Super Rare ,,Wind ,Winged Beast ,6,1950,2100,"This monster can only be Special Summoned with the Magic Card ""Elegant Egotist"". "
,MRD-010 ,Kojikocy ,Normal Monster ,Common ,,Earth ,Warrior ,4,1500,1200,A man-hunter with powerful arms that can crush boulders. 
,MRD-011 ,Cocoon of Evolution ,Effect Monster ,Common ,,Earth ,Insect ,3,0,2000,"You may treat this card as an Equip Magic Card on a face-up ""Petit Moth"" on the field. When equipped, the ATK and DEF of ""Petit Moth"" becomes the same as ""Cocoon of Evolution"". "
,MRD-012 ,Crawling Dragon ,Normal Monster ,Common ,,Earth ,Dragon ,5,1600,1400,"This weakened dragon can no longer fly, but it is still a deadly force to be reckoned with. "
,MRD-013 ,Armored Zombie ,Normal Monster ,Common ,,Dark ,Zombie ,3,1500,0,This warrior blindly swings a deadly blade with devastating force. 
,MRD-014 ,Mask of Darkness ,Effect Monster ,Rare ,,Dark ,Fiend ,3,900,400,FLIP: Select 1 Trap Card from your Graveyard and return it to your hand. 
,MRD-015 ,Doma the Angel of Silence ,Normal Monster ,Common ,,Dark ,Fairy ,5,1600,1400,This fairy rules over the end of existence. 
,MRD-016 ,White Magical Hat ,Effect Monster ,Rare ,,Light ,Spellcaster ,3,1000,700,"When this card inflicts damage to your opponent's Life Points, 1 card must be discarded randomly from your opponent's Hand to the Graveyard. "
,MRD-017 ,Big Eye ,Effect Monster ,Common ,,Dark ,Fiend ,4,1200,1000,"FLIP: See the 5 cards from the top of your deck, arrange them in the order desired, and replace them on top of your deck. "
,MRD-018 ,B. Skull Dragon ,Fusion Monster ,Ultra Rare ,,Dark ,Dragon ,9,3200,2500,"""Summoned Skull"" + ""Red-Eyes B. Dragon"" "
,MRD-019 ,Masked Sorcerer ,Effect Monster ,Rare ,,Dark ,Spellcaster ,4,900,1400,"When you inflict damage to your opponent's Life Points with this card, draw a card from your deck. "
,MRD-020 ,Roaring Ocean Snake ,Fusion Monster ,Common ,,Water ,Aqua ,6,2100,1800,"""Mystic Lamp"" + ""Hyosube"" "
,MRD-021 ,Water Omotics ,Normal Monster ,Common ,,Water ,Aqua ,4,1400,1200,Transforms the water overflowing from a jar into attacking dragons. 
,MRD-022 ,Ground Attacker Bugroth ,Normal Monster ,Common ,,Earth ,Machine ,4,1500,1000,A surface battle robot that was once used for sea warfare. 
,MRD-023 ,Petit Moth ,Normal Monster ,Common ,,Earth ,Insect ,1,300,200,This small but deadly creature is better of avoided. 
,MRD-024 ,Elegant Egotist ,Spell ,Rare ,,,Normal ,,,,"When there are 1 or more ""Harpie Lady"" cards on the field. You can Special Summon 1 ""Harpie Lady"" or ""Harpie Lady Sisters"" from your hand or Deck. "
,MRD-025 ,Sanga of the Thunder ,Effect Monster ,Super Rare ,,Light ,Thunder ,7,2600,2200,Reduce the ATK of an opponent's monster attacking this card to 0. This effect may only be used once. The card's owner chooses when to activate the effect. 
,MRD-026 ,Kazejin ,Effect Monster ,Super Rare ,,Wind ,Spellcaster ,7,2400,2000,Reduce the ATK of an opponent's monster attacking this card to 0. This effect may only be used once. The card's owner chooses when to activate the effect. 
,MRD-027 ,Suijin ,Effect Monster ,Super Rare ,,Water ,Aqua ,7,2500,2400,Reduce the ATK of an opponent's monster attacking this card to 0. This effect may only be used once. The card's owner chooses when to activate the effect. 
,MRD-028 ,Mystic Lamp ,Effect Monster ,Common ,,Dark ,Spellcaster ,1,400,300,This monster may attack your opponent's Life Points directly. 
,MRD-029 ,Steel Scorpion ,Effect Monster ,Common ,,Earth ,Machine ,1,250,300,"A non-Machine-Type Monster attacking ""Steel Scorpion"" will be destroyed at the End Phase of your opponent's 3rd turn after the attack. "
,MRD-030 ,Ocubeam ,Normal Monster ,Common ,,Light ,Fairy ,5,1550,1650,"Frightening in appearance, this creature uses its large eyes and ears to keep track of any movement. "
,MRD-031 ,Leghul ,Effect Monster ,Common ,,Earth ,Insect ,1,300,350,This monster may attack your opponent's Life Points directly. 
,MRD-032 ,Ooguchi ,Effect Monster ,Common ,,Water ,Aqua ,1,300,250,This monster may attack your opponent's Life Points directly. 
,MRD-033 ,Leogun ,Normal Monster ,Common ,,Earth ,Beast ,5,1750,1550,Huge monster with a lion's mane similar to the King of Beasts. 
,MRD-034 ,Blast Juggler ,Effect Monster ,Common ,,Fire ,Machine ,3,800,900,Offer this card as a Tribute during your Standby Phase if face-up to destroy 2 face-up monsters with an ATK of 1000 or less. 
,MRD-035 ,Jinzo #7 ,Effect Monster ,Common ,,Dark ,Machine ,2,500,400,This monster may attack your opponent's Life Points directly. 
,MRD-036 ,Magician of Faith ,Effect Monster ,Rare ,,Light ,Spellcaster ,1,300,400,FLIP: Select 1 Magic Card from your Graveyard and return it to your hand. 
,MRD-037 ,Ancient Elf ,Normal Monster ,Common ,,Light ,Spellcaster ,4,1450,1200,This elf is rumored to have lived for thousands of years. He leads an army of spirits against his enemies. 
,MRD-038 ,Deapsea Shark ,Fusion Monster ,Common ,,Water ,Fish ,5,1900,1600,"""Bottom Dweller"" + ""Tongyo"" "
,MRD-039 ,Bottom Dweller ,Normal Monster ,Common ,,Water ,Fish ,5,1650,1700,This is one sea creature whose wrath is something monsters fear to face. 
,MRD-040 ,Destroyer Golem ,Normal Monster ,Common ,,Earth ,Rock ,4,1500,1000,A golem with a massive right hand for crushing its victims. 
,MRD-041 ,Kaminari Attack ,Fusion Monster ,Common ,,Wind ,Thunder ,5,1900,1400,"""Ocubeam"" + ""Mega Thunderball"" "
,MRD-042 ,Rainbow Flower ,Effect Monster ,Common ,,Earth ,Plant ,2,400,500,This monster may attack your opponent's Life Points directly. 
,MRD-043 ,Morinphen ,Normal Monster ,Common ,,Dark ,Fiend ,5,1550,1300,A strange fiend with long arms and razor sharp talons. 
,MRD-044 ,Mega Thunderball ,Normal Monster ,Common ,,Wind ,Thunder ,2,750,600,Rolls along the ground releasing bolts of electricity to attack its enemies. 
,MRD-045 ,Tongyo ,Normal Monster ,Common ,,Water ,Fish ,4,1350,800,This monster captures other fish with its long tongue and sucks the energy out of them. 
,MRD-046 ,Empress Judge ,Fusion Monster ,Common ,,Earth ,Warrior ,6,2100,1700,"""Queen's Double"" + ""Hibikime"" "
,MRD-047 ,Pale Beast ,Normal Monster ,Common ,,Earth ,Beast ,4,1500,1200,"With skin tinged bluish-white, this strange creature is a fearsome sight to behold. "
,MRD-048 ,Electric Lizard ,Effect Monster ,Common ,,Earth ,Thunder ,3,850,800,"A non Zombie-Type monster attacking ""Electric Lizard"" cannot attack on its following turn. "
,MRD-049 ,Hunter Spider ,Normal Monster ,Common ,,Earth ,Insect ,5,1600,1400,This monster feeds on whatever it catches in its web. 
,MRD-050 ,Ancient Lizard Warrior ,Normal Monster ,Common ,,Earth ,Reptile ,4,1400,1100,"Before the dawn of time, this lizard warrior reigned supreme. "
,MRD-051 ,Queen's Double ,Effect Monster ,Common ,,Earth ,Warrior ,1,350,300,This monster may attack your opponent's Life Points directly. 
,MRD-052 ,Trent ,Normal Monster ,Common ,,Earth ,Plant ,5,1500,1800,"A guardian of the woods, this massive tree is believed to be immortal. "
,MRD-053 ,Disk Magician ,Normal Monster ,Common ,,Dark ,Machine ,4,1350,1000,This monster hides in a saucer and only appears when executing an attack. 
,MRD-054 ,Hyosube ,Normal Monster ,Common ,,Water ,Aqua ,4,1500,900,"This amphibian is strong on the attack, but leaves much to be desired when defending. "
,MRD-055 ,Hibikime ,Normal Monster ,Common ,,Earth ,Warrior ,4,1450,1000,Confuses enemies with a noise that is harsh to the ears. 
,MRD-056 ,Fake Trap ,Trap ,Rare ,,,Normal ,,,,"When your opponent uses a Magic, Trap, or Effect Monster Card to destroy your Trap Card(s), this card can be destroyed as a substitute for your Trap Cards(s). "
,MRD-057 ,Tribute to the Doomed ,Spell ,Super Rare ,,,Normal ,,,,Discard 1 card from your hand to the Graveyard to destroy 1 Monster Card on the Field (regardless of position). 
,MRD-058 ,Soul Release ,Spell ,Common ,,,Normal ,,,,Select up to 5 cards from either you or your opponent's Graveyard and remove them from the current Duel. 
,MRD-059 ,The Cheerful Coffin ,Spell ,Common ,,,Normal ,,,,You can discard up to 3 Monster Cards from your hand to the Graveyard. 
,MRD-060 ,Change of Heart ,Spell ,Ultra Rare ,,,Normal ,,,,Select and control 1 opposing monster (regardless of position) on the field until the end of your turn. 
,MRD-061 ,Baby Dragon ,Normal Monster ,Common ,,Wind ,Dragon ,3,1200,700,"Much more than just a child, this dragon is gifted with untapped power. "
,MRD-062 ,Blackland Fire Dragon ,Normal Monster ,Common ,,Dark ,Dragon ,4,1500,800,"A dragon that dwells in the depths of darkness, its vulnerability lies in its poor eyesight. "
,MRD-063 ,Swamp Battleguard ,Effect Monster ,Common ,,Earth ,Warrior ,5,1800,1500,"Increase the ATK of this monster by 500 points for every face-up ""Lava Battleguard"" on your side of the Field. "
