Check,Card # ,Card Name ,Type ,Rarity ,Value,Attribute ,Sub Type ,Level ,ATK ,DEF ,Card Text 
,PTDN-EN000 ,Dark Grepher ,Effect Monster ,Secret Rare ,,Dark ,Warrior ,4,1700,1600,"You can discard 1 Level 5 or higher DARK monster to Special Summon this card from your hand. Once per turn, you can discard 1 DARK monster to send 1 DARK monster from your Deck to the Graveyard. "
,PTDN-EN001 ,Gladiator Beast Andal ,Normal Monster ,Common ,,Earth ,Beast-Warrior ,4,1900,1500,This one-eyed warrior bear is an aggressive hunter that strikes down its prey with the powerful wipes of its claws. No one can bear the brunt of his tremendously fast and heavy blows. 
,PTDN-EN002 ,Atlantean Pikeman ,Normal Monster ,Common ,,Water ,Sea Serpent ,2,1400,0,"The Great Ocean Lord, who reigns over the depths, is served by these lancers. Deep-sea creatures exist in fear of facing the stream of attacks their lances are capable of. "
,PTDN-EN003 ,Rainbow Dark Dragon ,Effect Monster ,Secret Rare ,,Dark ,Dragon ,10,4000,0,This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by removing from play 7 DARK monsters with different names from your Graveyard. You can remove from play all other DARK monsters you control and from your Graveyard to have this card gain 500 ATK for each card removed. 
,PTDN-EN004 ,Samsara Lotus ,Effect Monster ,Common ,,Dark ,Plant ,1,0,0,"During your End Phase, if you control no Spell or Trap Cards, you can Special Summon this card from your Graveyard in face-up Attack Position. This card's controller takes 1000 damage during each of their Standby Phases. "
,PTDN-EN005 ,Regenerating Rose ,Effect Monster ,Common ,,Dark ,Plant ,7,0,1500,"When this card is destroyed by battle and sent to the Graveyard, you can Special Summon 2 ""Regenerating Rose Tokens"" (Plant-Type/DARK/Level 3/ATK 1200/DEF 1200). "
,PTDN-EN006 ,Yubel ,Effect Monster ,Super Rare ,,Dark ,Fiend ,10,0,0,"This card cannot be destroyed by battle. You take no Battle Damage from battles involving this card. When this face-up Attack Position card is attacked by an opponent's monster, before damage calculation inflict damage to your opponent equal to that monster's ATK. During your End Phase, Tribute 1 monster or destroy this card. When this card is destroyed, except by its own effect, you can Special Summon 1 ""Yubel – Terror Incarnate"" from your hand, Deck, or Graveyard. "
,PTDN-EN007 ,Yubel - Terror Incarnate ,Effect Monster ,Ultra Rare ,,Dark ,Fiend ,11,0,0,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except with the effect of ""Yubel"". This card cannot be destroyed by battle. You take no Battle Damage from battles involving this card. When this face-up Attack Position card is attacked by an opponent's monster, before damage calculation inflict damage to your opponent equal to that monster's ATK. During your End Phase, destroy all other monsters on the field. When this face-up card is removed from the field, you can Special Summon 1 ""Yubel – The Ultimate Nightmare"" from your hand, Deck, or Graveyard. "
,PTDN-EN008 ,Yubel - The Ultimate Nightmare ,Effect Monster ,Secret Rare ,,Dark ,Fiend ,12,0,0,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except with the effect of ""Yubel – Terror Incarnate"". This card cannot be destroyed by battle. You take no Battle Damage from battles involving this card. If this face-up Attack Position card battles an opponent's monster, inflict damage equal to its ATK to your opponent and destroy that monster at the end of the Damage Step. "
,PTDN-EN009 ,Armored Cybern ,Union Monster ,Common ,,Wind ,Machine ,4,0,2000,"Once per turn, you can equip this card to a ""Cyber Dragon"" you control, or to a Fusion Monster you control that lists ""Cyber Dragon"" as a Fusion Material Monster, OR unequip it to Special Summon this card in face-up Attack Position. Once per turn, while equipped to a monster by this effect, you can decrease the equipped monster's ATK by 1000 and destroy 1 face-up monster. (A monster can only be equipped with 1 Union Monster at a time. If the equipped monster would be destroyed, destroy this card instead.) "
