Check,Card # ,Card Name ,Type ,Rarity ,Value,Attribute ,Sub Type ,Level ,ATK ,DEF ,Card Text 
,PSV-000 ,Jinzo ,Effect Monster ,Secret Rare ,,Dark ,Machine ,6,2400,1500,"As long as this card remains face-up on the field, all Trap Cards cannot be activated. The effects of all face-up Trap Cards are also negated. "
,PSV-001 ,Steel Ogre Grotto #2 ,Normal Monster ,Common ,,Earth ,Machine ,6,1900,2200,A mechanized iron doll with tremendous strength. 
,PSV-002 ,Three-Headed Geedo ,Normal Monster ,Common ,,Dark ,Fiend ,4,1200,1400,A three-headed nocturnal monster that is absolutely ruthless when fighting. 
,PSV-003 ,Parasite Paracide ,Effect Monster ,Super Rare ,,Earth ,Insect ,2,500,300,"FLIP: Put this card face-up in your opponent's Deck and shuffle it. When your opponent draws this card, it is immediately Special Summoned on your opponent's side of the field face-up in Defense Position and inflicts 1000 points of Direct Damage to your opponent's Life Points. From this point, all face-up Monster Cards on your opponent's side of the field are treated as Insect-Type monsters as long as this card remains face-up on the field. "
,PSV-004 ,7 Completed ,Spell ,Common ,,,Normal ,,,,A Machine-Type monster equipped with this card increases either its Attack or Defense by 700 points. You cannot change your choice as long as this card remains face-up on the Field. 
,PSV-005 ,Lightforce Sword ,Trap ,Rare ,,,Normal ,,,,"Select 1 card at random from your opponent's hand. Keep it face-down and place it outside of the Field. During your opponent's 4th turn, the card is returned to his/her hand in the Standby Phase. "
,PSV-006 ,Chain Destruction ,Trap ,Ultra Rare ,,,Normal ,,,,"You can activate this card when a monster with an ATK of 2000 points or less is summoned (including Special Summon). This monster is not destroyed, but all Monster Cards of the same name in the summoning player's hand and Deck are destroyed. The summoning player's Deck is then shuffled. "
,PSV-007 ,Time Seal ,Trap ,Short-Print Com ,,,Normal ,,,,Your opponent skips the Draw Phase of his/her next turn. 
,PSV-008 ,Graverobber ,Trap ,Super Rare ,,,Normal ,,,,"You can take 1 Magic Card from your opponent's Graveyard. If it is your turn and you activate it, you take 2000 points of Direct Damage. If it is your opponent's turn, you cannot activate it. The Magic Card is returned to your opponent's Graveyard at the end of this turn. "
,PSV-009 ,Gift of the Mystical Elf ,Trap ,Short-Print Com ,,,Normal ,,,,"Increase your Life Points by 300 points for each monster on the field, regardless of position. "
,PSV-010 ,The Eye of Truth ,Trap ,Short-Print Com ,,,Continuous ,,,,"As long as this card remains face-up on the field, your opponent must show his/her hand. Your opponent increases his/her Life Points by 1000 points at each of his/her Standby Phases if he/she has a Magic Card in his/her hand. "
,PSV-011 ,Dust Tornado ,Trap ,Super Rare ,,,Normal ,,,,Destroy 1 Magic or Trap Card on your opponent's side of the field. You can then Set 1 Magic or Trap Card from your hand. This card can only be activated if it is a Quick-Play Magic Card. 
,PSV-012 ,Call of the Haunted ,Trap ,Ultra Rare ,,,Continuous ,,,,"Select 1 monster from your Graveyard and Special Summon it in face-up Attack Position. When this card is destroyed or removed from the field, the summoned monster is destroyed. If the summoned monster is destroyed, this card is also destroyed. "
,PSV-013 ,Solomon's Lawbook ,Trap ,Common ,,,Normal ,,,,Skip your own Standby Phase. 
,PSV-014 ,Earthshaker ,Trap ,Common ,,,Normal ,,,,Select 2 Monster Card Attributes. Your opponent then selects 1 of the 2 Attributes and destroys all face-up monsters with that Attribute on the field. 
,PSV-015 ,Enchanted Javelin ,Trap ,Common ,,,Normal ,,,,"When your opponent's monster attacks, increase your Life Points by the attacking monster's ATK points. "
,PSV-016 ,Mirror Wall ,Trap ,Super Rare ,,,Continuous ,,,,"Decrease the ATK of all your opponent's attacking monsters by half. You must pay 2000 Life Points during each of your Standby Phases. If you cannot, this card is destroyed. "
,PSV-017 ,Gust ,Trap ,Common ,,,Normal ,,,,You can activate this card when 1 or more of your Magic Cards are destroyed and sent from the field to the Graveyard by a card effect your opponent controls. Destroy 1 Magic or Trap Card on the field. 
,PSV-018 ,Driving Snow ,Trap ,Common ,,,Normal ,,,,You can activate this card when 1 or more of your Trap Cards are destroyed and sent from the field to the Graveyard by a card effect your opponent controls. Destroy 1 Magic or Trap Card on the field. 
,PSV-019 ,Armored Glass ,Trap ,Common ,,,Normal ,,,,You can activate this card when a monster is equipped with an Equip Magic Card. Negate the effects of all Equip Magic Cards on the field during the turn this card is activated. 
,PSV-020 ,World Suppression ,Trap ,Common ,,,Normal ,,,,You can activate this card when a Field Magic Card is activated. Negate the Field Magic Card during the turn this card is activated. 
,PSV-021 ,Mystic Probe ,Trap ,Common ,,,Normal ,,,,You can activate this card when a Continuous Magic Card is activated. Negate all Continuous Magic Cards during the turn this card is activated. 
,PSV-022 ,Metal Detector ,Trap ,Common ,,,Normal ,,,,You can activate this card when a Continuous Trap Card is activated. Negate all Continuous Trap Cards during the turn this card is activated. 
,PSV-023 ,Numinous Healer ,Trap ,Super Short-Pri ,,,Normal ,,,,"You can activate this card when you take damage to your Life Points. Increase your Life Points by 1000 points. In addition, increase your Life Points by 500 points per card if there are additional ""Numinous Healer"" cards in the Graveyard. "
,PSV-024 ,Appropiate ,Trap ,Rare ,,,Continuous ,,,,You can activate this card when your opponent draws a card outside of his/her Draw Phase. Draw 2 cards from your Deck. 
,PSV-025 ,Forced Requisition ,Trap ,Rare ,,,Continuous ,,,,"You can activate this card when you discard from your hand. Every time you discard from your hand, your opponent must also discard the same number of cards from his/her hand. "
,PSV-026 ,DNA Surgery ,Trap ,Short-Print Com ,,,Continuous ,,,,"Select 1 Type of monster. As long as this card remains on the field, all face-up Monster Cards will be treated as the Type you selected. "
,PSV-027 ,The Regulation of Tribe ,Trap ,Common ,,,Continuous ,,,,"Select 1 Type of monster. Any monster of the selected Type cannot attack. To keep this card in effect, you must offer 1 monster from the field as a Tribute at each of your Standby Phases. If you cannot, this card is destroyed. "
,PSV-028 ,Backup Soldier ,Trap ,Super Rare ,,,Normal ,,,,You can activate this card when there are 5 or more Monster Cards in your Graveyard. Take up to 3 Monster Cards (except monsters with effects) with an ATK of 1500 points or less from your Graveyard and add them to your hand. 
,PSV-029 ,Major Riot ,Trap ,Super Short-Pri ,,,Normal ,,,,You can activate this card when 1 or more of your monsters are returned from the field to your hand. Return all Monster Cards on the field to your respective hands. Both you and your opponent can then Special Summon from your hand the same number of Monster Cards on the field in face-down Defense Position. 
,PSV-030 ,Ceasefire ,Trap ,Ultra Rare ,,,Normal ,,,,Flip all face-down Monster Cards on the field face-up (Flip Effects are not activated). Inflict 500 points of Direct Damage to your opponent's Life Points for each Effect Monster Card on the field. 
,PSV-031 ,Light of Intervention ,Trap ,Common ,,,Continuous ,,,,Monster Cards cannot be played face-down. Monsters Set in Defense Position are played face-up on the field and are considered summoned. 
,PSV-032 ,Respect Play ,Trap ,Common ,,,Continuous ,,,,"During their respective turns, each player must show their opponent their hand. "
,PSV-033 ,Magical Hats ,Trap ,Super Rare ,,,Normal ,,,,"You can activate this card during your opponent's Battle Phase. Take 2 non-Monster Cards from your Deck and select 1 of your Monster Cards on the field, then shuffle your Deck. Shuffle the 3 selected cards and Set them on the field in face-down Defense Position. The 2 cards selected from your Deck are treated as monsters (ATK 0/DEF 0) and are destroyed at the end of the Battle Phase. "
,PSV-034 ,Nobleman of Crossout ,Spell ,Super Rare ,,,Normal ,,,,"Destroy 1 face-down Monster Card and remove it from play. If the monster destroyed has a Flip Effect, both players must remove all Monster Cards of the same name from their respective Decks and remove them from play. The Decks are then shuffled. "
,PSV-035 ,Nobleman of Extermination ,Spell ,Rare ,,,Normal ,,,,"Destroy 1 face-down Magic or Trap Card and remove it from play. If the card is a Trap Card, both players must remove all Trap Cards of the same name from their respective Decks and remove them from play. The Decks are then shuffled. "
,PSV-036 ,The Shallow Grave ,Spell ,Rare ,,,Normal ,,,,Each player takes 1 Monster Card from his/her respective Graveyard and Special Summons them on the field in face-down Defense Position. 
,PSV-037 ,Premature Burial ,Spell ,Ultra Rare ,,,Equip ,,,,"Pay 800 Life Points. Select 1 Monster Card from your Graveyard, Special Summon it on the field in face-up Attack Position, and equip it with this card. When this card is destroyed, the monster is also destroyed. "
,PSV-038 ,Inspection ,Spell ,Short-Print Com ,,,Continuous ,,,,"During your opponent's Standby Phase, you can randomly select 1 card in your opponent's hand and look at it at the cost of 500 Life Points. "
,PSV-039 ,Prohibition ,Trap ,Rare ,,,Continuous ,,,,"When you play this card, declare the name of 1 card. As long as this card remains on the field, the declared card cannot be played. The cards which are already on the field before this card's activation are excluded. "
,PSV-040 ,Morphing Jar #2 ,Effect Monster ,Rare ,,Earth ,Rock ,3,800,700,FLIP: Return all Monster Cards on the field to their respective Decks and shuffle them. You and your opponent then pick up cards until you both have the same number of Monster Cards (Level 4 or lower) that were returned to each Deck. Special Summon the monsters on the field in face-down Defense Position. Any other cards picked up are discarded to the Graveyard. 
,PSV-041 ,Flame Champion ,Normal Monster ,Common ,,Fire ,Pyro ,5,1900,1300,A warrior protected by a flaming shield that nullifies any attack. 
,PSV-042 ,Twin-Headed Fire Dragon ,Normal Monster ,Common ,,Fire ,Pyro ,6,2200,1700,Two dragons fused as one from the effects of the Big Bang. 
,PSV-043 ,Darkfire Soldier #1 ,Normal Monster ,Common ,,Fire ,Pyro ,4,1700,1150,An explosive expert from a special elite force. 
,PSV-044 ,Mr. Volcano ,Normal Monster ,Common ,,Fire ,Pyro ,5,2100,1300,This seemingly mild-mannered creature has an extremely volatile temper. 
,PSV-045 ,Darkfire Soldier #2 ,Normal Monster ,Common ,,Fire ,Pyro ,4,1700,1100,A warrior who gained immeasurable power from the heart of a volcano. 
,PSV-046 ,Kiseitai ,Effect Monster ,Short-Print Com ,,Dark ,Fiend ,2,300,800,"When your opponent's monster attacks this card in face-down Defense Position, the attacking monster is equipped with this card (damage calculations are canceled). Treat this card as an Equip Magic Card. During each of your opponent's Standby Phases, increase your Life Points by half of the ATK of the monster equipped with this card. "
,PSV-047 ,Cyber Falcon ,Normal Monster ,Common ,,Wind ,Machine ,4,1400,1200,A jet-powered hawk that travels at the speed of sound. 
,PSV-048 ,Flying Kamakiri #2 ,Normal Monster ,Common ,,Wind ,Insect ,4,1500,800,A flying mantis that feeds primarily on insects. 
,PSV-049 ,Harpie's Brother ,Normal Monster ,Common ,,Wind ,Winged Beast ,4,1800,600,"With eyes like a hawk and a flying speed exceeding Mach 5, this monster is a master of the sky. "
,PSV-050 ,Buster Blader ,Effect Monster ,Ultra Rare ,,Earth ,Warrior ,7,2600,2300,The ATK of this card increases by 500 points for every Dragon-Type monster on your opponent's side of the field and Graveyard. 
,PSV-051 ,Michizure ,Trap ,Rare ,,,Normal ,,,,You can activate this card when your monster is sent from the field to the Graveyard. Destroy 1 monster on the field. 
,PSV-052 ,Minor Goblin Official ,Trap ,Short-Print Com ,,,Continuous ,,,,You can activate this card when your opponent's Life Points are 3000 or less. Inflict 500 points of Direct Damage to your opponent's Life Points during each of his/her Standby Phases. 
,PSV-053 ,Gamble ,Trap ,Common ,,,Normal ,,,,"You can activate this card when your opponent's hand has 6 or more cards and your hand contains 2 or less. Toss a coin and call it. If you call it right, draw until your hand has 5 cards. If you call it wrong, skip your next turn. "
,PSV-054 ,Attacks and Receive ,Trap ,Common ,,,Normal ,,,,"You can activate this card when you take damage to your Life Points. Inflict 700 points of Direct Damage to your opponent's Life Points. In addition, inflict 300 points of Direct Damage to your opponent's Life Points per card if there are additional ""Attack and Receive"" cards in your Graveyard. "
,PSV-055 ,Solemn Wishes ,Trap ,Super Short-Pri ,,,Continuous ,,,,You gain 500 Life Points when you draw a card (or cards). 
,PSV-056 ,Skull Invitation ,Trap ,Rare ,,,Continuous ,,,,"Every time a card is sent to the Graveyard, inflict 300 points of Direct Damage to its owner's Life Points per card. "
,PSV-057 ,Bubonic Vermin ,Effect Monster ,Common ,,Earth ,Beast ,3,900,600,"FLIP: You can take 1 ""Bubonic Vermin"" card from your Deck and Special Summon it on the field in face-down Defense Position. The Deck is then shuffled. "
,PSV-058 ,Dark Bat ,Normal Monster ,Common ,,Wind ,Winged Beast ,3,1000,1000,Bats from the netherworld that use their hyper senses to detect their enemies. 
,PSV-059 ,Oni Tank T-34 ,Normal Monster ,Common ,,Earth ,Machine ,4,1400,1700,An armored tank possessed by a fiend that will pursue enemies until they're crushed. 
,PSV-060 ,Overdrive ,Normal Monster ,Common ,,Earth ,Machine ,4,1600,1500,An all-terrain armored vehicle armed with a heavy-duty machine gun. 
,PSV-061 ,Burning Land ,Spell ,Common ,,,Continuous ,,,,"Destroys all Field Magic Cards on the field. In addition, both players take 500 points of Direct Damage during each of their respective Standby Phases. "
,PSV-062 ,Cold Wave ,Spell ,Common ,,,Normal ,,,,"This card can only be activated at the start of Main Phase 1. Until your next turn, neither you nor your opponent can play or Set any Magic or Trap Cards. "
,PSV-063 ,Fairy Meteor Crush ,Spell ,Super Rare ,,,Equip ,,,,"When your monster equipped with this card attacks with an ATK that is higher than the DEF of your opponent's Defense Position monster, inflict the difference as Battle Damage to your opponent's Life Points. "
,PSV-064 ,Limiter Removal ,Spell ,Super Rare ,,,Quick-Play ,,,,"Doubles the ATK of all Machine-Type monsters on your side of the field. At the end of this turn, all the Machine-Type monsters on your side of the field are destroyed. "
,PSV-065 ,Rain of Mercy ,Spell ,Common ,,,Normal ,,,,Increases the Life Points of both players by 1000 points. 
,PSV-066 ,Monster Recovery ,Spell ,Rare ,,,Quick-Play ,,,,"Select 1 of your own monsters on your side of the field and combine it with your Deck. At the same time, combine your hand and Deck together and shuffle the Deck. Draw the same number of cards that were in your hand from the shuffled Deck. "
,PSV-067 ,Shift ,Trap ,Rare ,,,Normal ,,,,"You can activate this card when your opponent designates 1 monster on your side of the field as the target of a Magic, Trap, or battle attack. Change the target to a different monster on your side of the field. "
,PSV-068 ,Insect Imitation ,Spell ,Common ,,,Normal ,,,,Offer 1 monster on your side of the field as a Tribute. Select 1 Insect-Type monster from your Deck that is 1 Level higher than the Tribute monster and Special Summon it on the field in face-up Attack Position or face-down Defense Position. The Deck is then shuffled. 
,PSV-069 ,Dimensionhole ,Spell ,Rare ,,,Normal ,,,,Remove 1 monster on your side of the field from play until your next Standby Phase. The card still counts towards the 5-card Monster Zone limit. 
,PSV-070 ,Ground Collapse ,Spell ,Common ,,,Continuous ,,,,Select 2 Monster Card Zones on the field (you cannot select a zone occupied by a Monster Card). The selected zones cannot be used as long as this card remains face-up on the field. 
,PSV-071 ,Magic Drain ,Trap ,Rare ,,,Counter ,,,,"You can activate this card when your opponent activates a Magic Card. If your opponent cannot immediately discard 1 Magic Card from his/her hand, negate the activation of the Magic Card and destroy it. "
,PSV-072 ,Infinite Dismissal ,Trap ,Common ,,,Continuous ,,,,All monsters of Level 3 or lower that are summoned to the field during this turn (excluding Special Summon) are destroyed at the End Phase of the turn. 
,PSV-073 ,Gravity Bind ,Trap ,Rare ,,,Continuous ,,,,All monsters of Level 4 or higher cannot attack. Their positions may still be changed. 
,PSV-074 ,Type Zero Magic Crusher ,Trap ,Common ,,,Continuous ,,,,"For each Magic Card that you discard from your hand, inflict 500 points of Direct Damage to your opponent's Life Points. "
,PSV-075 ,Shadow of Eyes ,Trap ,Common ,,,Normal ,,,,"When your opponent Sets a Monster Card in face-down Defense Position, change it to face-up Attack Position. If the Monster Card has a Flip Effect, it is not activated. "
,PSV-076 ,The Legendary Fisherman ,Effect Monster ,Ultra Rare ,,Water ,Warrior ,5,1850,1600,"When ""Umi"" is face-up on the field, this card is unaffected by any Magic Cards and cannot be attacked by your opponent's monsters. "
,PSV-077 ,Sword Hunter ,Effect Monster ,Short-Print Com ,,Earth ,Warrior ,7,2450,1700,"A monster destroyed by this card becomes an Equip Magic Card. Equip ""Sword Hunter"" with the card to increase the ATK of this monster by 200 points. The equipped card remains on the field until this card is destroyed. "
,PSV-078 ,Drill Bug ,Effect Monster ,Common ,,Earth ,Insect ,2,1100,200,"When this card inflicts damage to your opponent's Life Points, you may take 1 ""Parasite Paracide"" card from your Deck, shuffle the Deck, and place ""Parasite Paracide"" face-down on top of the Deck. "
,PSV-079 ,Deepsea Warrior ,Effect Monster ,Common ,,Water ,Warrior ,5,1600,1800,"When ""Umi"" is face-up on the field, this card is unaffected by any Magic Cards. "
,PSV-080 ,Bite Shoes ,Effect Monster ,Common ,,Dark ,Fiend ,2,500,300,FLIP: Change the Attack or Defense Position of 1 face-up monster on the field. The card must remain face-up. 
,PSV-081 ,Spikebot ,Normal Monster ,Common ,,Dark ,Machine ,5,1800,1700,"A mechanical soldier created by a wicked sorcerer, it attacks with the two steel balls attached to its arms. "
,PSV-082 ,Invitation to a Dark Sleep ,Effect Monster ,Common ,,Dark ,Spellcaster ,5,1500,1800,"When this monster is summoned (excluding Special Summon), select 1 of your opponent's monsters. As long as this card remains face-up on the field, the selected monster cannot attack. "
,PSV-083 ,Thousand-Eyes Idol ,Normal Monster ,Super Short-Pri ,,Dark ,Spellcaster ,1,0,0,"A wicked entity that controls the hearts of men, its thousand eyes are able to see and expand the negative influences in an individual's soul. "
,PSV-084 ,Thousand-Eyes Restrict ,Fusion/Effect Monster ,Ultra Rare ,,Dark ,Spellcaster ,1,0,0,"""Relinquished"" + ""Thousand-Eyes Idol"" As long as this card remains face-up on the field, other monsters cannot change their positions or attack. This monster can take on the ATK and DEF of 1 opponent's monster on the field (a face-down monster results in an ATK and DEF of 0). Treat the selected monster as an Equip Magic Card and use it to equip ""Thousand-Eyes Restrict"". You may use this effect only once per turn and can equip ""Thousand-Eyes Restrict"" with only 1 monster at a time. "
,PSV-085 ,Girochin Kuwagata ,Normal Monster ,Common ,,Wind ,Insect ,4,1700,1000,"Despite its small size, this monster has powerful jaws that can rip metal to shreds. "
,PSV-086 ,Hayabusa Knight ,Effect Monster ,Rare ,,Earth ,Warrior ,3,1000,700,This monster can attack twice during the same Battle Phase. 
,PSV-087 ,Bombardment Beetle ,Effect Monster ,Short-Print Com ,,Wind ,Insect ,2,400,900,"FLIP: Flip 1 face-down Defense Position Monster Card on your opponent's side of the field face-up. If the flipped card is an Effect Monster Card, immediately destroy it without activating its effect. If the card is not an Effect Monster Card, return it to its original position. "
,PSV-088 ,4-Starred Ladybug of Doom ,Effect Monster ,Short-Print Com ,,Wind ,Insect ,3,800,1200,FLIP: Destroys all face-up Level 4 monsters on your opponent's side of the field. 
,PSV-089 ,Gradius ,Normal Monster ,Short-Print Com ,,Light ,Machine ,4,1200,800,A high-performance jet fighter with power capsules for variable attack capabilities. 
,PSV-090 ,Red-Moon Baby ,Effect Monster ,Rare ,,Dark ,Zombie ,3,700,1000,A monster destroyed by this card can be Special Summoned in face-up Attack or Defense Position at the end of the Battle Phase to your side of the field. 
,PSV-091 ,Mad Sword Beast ,Effect Monster ,Rare ,,Earth ,Dinosaur ,4,1400,1200,"When this card attacks with an ATK that is higher than the DEF of your opponent's Defense Position monster, inflict the difference as Battle Damage to your opponent's Life Points. "
