Check,Card # ,Card Name ,Type ,Rarity ,Value,Attribute ,Sub Type ,Level ,ATK ,DEF ,Card Text
,PGD-000 ,Ring of Destruction ,Trap ,Secret Rare ,,,Normal ,,,,Destroy 1 face-up Monster Card and inflict Direct Damage equal to the destroyed card's ATK to the Life Points of both you and your opponent.
,PGD-001 ,Molten Behemoth ,Normal Monster ,Common ,,Fire ,Pyro ,5,1000,2200,"A giant born from magma, it attacks with a magma punch."
,PGD-002 ,Shapesnatch ,Normal Monster ,Common ,,Dark ,Machine ,5,1200,1700,"A bow tie with horrible power, it attacks an opponent by controlling others."
,PGD-003 ,Souleater ,Normal Monster ,Common ,,Earth ,Fish ,4,1200,0,A living wonder of mystery.
,PGD-004 ,King Tiger Wanghu ,Effect Monster ,Rare ,,Earth ,Beast ,4,1700,1000,"As long as this card remains face-up on the field, all monsters with an ATK equal to 1400 or less that are Normal Summoned or Special Summoned (excluding Flip Summon) are automatically destroyed."
,PGD-005 ,Birdface ,Effect Monster ,Common ,,Wind ,Winged Beast ,4,1600,1600,"When this card is sent to the Graveyard as a result of battle, you can add 1 ""Harpie Lady"" from your deck to your hand."
,PGD-006 ,Kryuel ,Effect Monster ,Common ,,Dark ,Fiend ,4,1000,1700,"When this card is sent to the Graveyard as a result of battle, toss a coin and call it. If you call it right, destroy 1 monster on your opponent’s side of the field."
,PGD-007 ,Arsenal Bug ,Effect Monster ,Common ,,Earth ,Insect ,3,2000,2000,"If there are no face-up Insect-Type monsters (except this monster) on your side of the field, both the ATK and DEF of this monster become 1000 points."
,PGD-008 ,Maiden of the Aqua ,Effect Monster ,Short-Print Com ,,Water ,Aqua ,4,700,2000,"As long as this card remains face-up on the field, the field is treated as ""Umi."" (However, there is no increasing or decreasing of ATK/DEF due to ""Umi’s"" effect.) If there is an active field card on the field, this effect is not applied."
,PGD-009 ,Jowls of Dark Demise ,Effect Monster ,Rare ,,Water ,Fiend ,2,200,100,"FLIP: Take control of 1 monster on your opponent's side of the field until the end of the turn that this card's effect is activated. When the controlled monster attacks, it may attack your opponent's Life Points directly."
,PGD-010 ,Timeater ,Effect Monster ,Common ,,Dark ,Machine ,6,1900,1700,"If this monster destroys a monster on your opponent’s side of the field in battle, your opponent skips his/her next Main Phase 1."
,PGD-011 ,Mucus Yolk ,Effect Monster ,Short-Print Com ,,Dark ,Aqua ,3,0,100,"This card may attack your opponent’s Life Points directly. Each time this card inflicts battle damage to your opponent’s Life Points, increase the ATK of this card by 1000 points during your next Standby Phase. The ATK increase lasts as long as this card remains face-up on the field."
,PGD-012 ,Servant of Catabolism ,Effect Monster ,Common ,,Light ,Aqua ,3,700,500,This monster may attack your opponent’s Life Points directly.
,PGD-013 ,Moisture Creature ,Effect Monster ,Rare ,,Light ,Fairy ,9,2800,2900,"If you Tribute Summon this monster by offering 3 monsters on the field as a Tribute, destroy all Magic and Trap Cards on your opponent's side of the field."
,PGD-014 ,Gora Turtle ,Effect Monster ,Rare ,,Water ,Aqua ,3,1100,1100,"As long as this card remains face-up on the field, monsters with an ATK equal to 1900 or more cannot attack."
,PGD-015 ,Sasuke Samurai ,Effect Monster ,Super Rare ,,Wind ,Warrior ,2,500,800,"When this monster attacks a face-down Defense Position monster, destroy the face-down monster immediately with this card's effect without flipping it face-up or damage calculation."
