Check,Card # ,Card Name ,Type ,Rarity ,Value,Attribute ,Sub Type ,Level ,ATK ,DEF ,Card Text 
,RGBT-EN000 ,Battlestorm  ,Effect Monster ,Secret Rare ,,Dark ,Winged Beast ,4,1700,1000,"This card gains 100 ATK for each face-up Winged Beast-Type monster you control. Once per turn, if you control 2 or more face-up Winged Beast-Type monsters, you can destroy 1 Spell or Trap Card your opponent controls. "
,RGBT-EN001 ,Rockstone Warrior ,Effect Monster ,Super Rare ,,Earth ,Rock ,4,1800,1600,"You take no Battle Damage from battles involving this card. When this attacking card is destroyed by battle and sent to the Graveyard, Special Summon 2 ""Rockstone Tokens"" (Rock-Type/EARTH/Level 1/ATK 0/DEF 0). These Tokens cannot be Tributed for a Tribute Summon. "
,RGBT-EN002 ,Level Warrior ,Effect Monster ,Super Rare ,,Light ,Warrior ,3,300,600,"If there are no monsters on the field, you can Normal Summon this card from your hand as a Level 2 monster. If your opponent controls a monster and you control no monsters, you can Special Summon this card from your hand as a Level 4 monster. "
,RGBT-EN003 ,Strong Wind Dragon ,Effect Monster ,Ultra Rare ,,Wind ,Dragon ,6,2400,1000,"This card cannot be destroyed by battle with a monster that has the same ATK. When this card is Tribute Summoned by Tributing a Dragon-Type monster, it gains ATK equal to half the ATK of the Tributed monster. During battle between this attacking card and a Defense Position monster whose DEF is lower than the ATK of this card, inflict the difference as Battle Damage to your opponent. "
,RGBT-EN004 ,Dark Verger ,Effect Monster ,Rare ,,Earth ,Plant ,2,0,1000,"When a Plant-Type Tuner monster is Normal Summoned to your side of the field, you can Special Summon this card from your Graveyard in Attack Position. "
,RGBT-EN005 ,Phoenixian Seed ,Effect Monster ,Common ,,Fire ,Plant ,2,800,0,"You can send this face-up card to the Graveyard to Special Summon 1 ""Phoenixian Cluster Amaryllis"" from your hand. "
,RGBT-EN006 ,Phoenixian Cluster Amaryllis ,Effect Monster ,Super Rare ,,Fire ,Plant ,8,2200,0,"This card cannot be Special Summoned except with its own effect or with ""Phoenixian Seed"". If this card attacks, it is destroyed after damage calculation. If this card you control is destroyed and sent to the Graveyard, inflict 800 damage to your opponent. During your End Phase, you can remove from play 1 Plant-Type monster from your Graveyard to Special Summon this card from your Graveyard in Defense Position. "
,RGBT-EN007 ,Rose Tentacles ,Effect Monster ,Common ,,Earth ,Plant ,6,2200,1200,"This card cannot be Special Summoned. At the beginning of your Battle Phase, this card gains 1 additional attack this turn for each face-up Plant-Type monster your opponent controls. Each time this card destroys a Plant-Type monster by battle, inflict 300 damage to your opponent. "
,RGBT-EN008 ,Hedge Guard ,Effect Monster ,Common ,,Earth ,Plant ,3,0,2100,"During damage calculation, you can send this card from your hand to the Graveyard to prevent a monster you control from being destroyed by this battle, but that monster's ATK is halved until the End Phase. "
,RGBT-EN009 ,Evil Thorn ,Effect Monster ,Common ,,Dark ,Plant ,1,100,300,"You can Tribute this card to inflict 300 damage to your opponent and Special Summon up to 2 ""Evil Thorn""(s) from your Deck in face-up Attack Position. Those monsters' effects cannot be activated. "
