Check,Card # ,Card Name ,Type ,Rarity ,Value,Attribute ,Sub Type ,Level ,ATK ,DEF ,Card Text 
,RDS-EN001 ,Woodborg Inpachi ,Normal Monster ,Common ,,Fire ,Machine ,5,500,2500,"""The new form of the enigmatic Inpachi, remodeled by cutting-edge Dark World technology. Maneuverability has been sacrificed for strong armor, which was considered more important."" "
,RDS-EN002 ,Mighty Guard ,Normal Monster ,Common ,,Earth ,Machine ,4,500,1200,A machine soldier that was developed as a guard. It is made of rust-proof metal. 
,RDS-EN003 ,Bokoichi the Freightening Car ,Normal Monster ,Common ,,Dark ,Machine ,2,500,500,"""A freight car that is exclusively for Dekoichi. It can transport anything, but most cargo arrives broken."" "
,RDS-EN004 ,Harpie Girl ,Normal Monster ,Common ,,Wind ,Winged Beast ,2,500,500,"""A Harpie chick who aspires to flit about beautifully and gorgeously, but attack sharply."" "
,RDS-EN005 ,The Creator ,Effect Monster ,Ultra Rare/Ulti ,,Light ,Thunder ,8,2300,3000,"""Select 1 monster from your Graveyard. Send 1 card from your hand to the Graveyard, and Special Summon the selected monster. You can only use this effect once per turn. This card cannot be Special Summoned from the Graveyard."" "
,RDS-EN006 ,The Creator Incarnate ,Effect Monster ,Common ,,Light ,Warrior ,4,1600,1500,"""Tribute this card to Special Summon 1 ""The Creator"" from your hand."" "
,RDS-EN007 ,Ultimate Insect LV3 ,Effect Monster ,Rare/Ultimate R ,,Wind ,Insect ,3,1400,900,"""If this card was Special Summoned by the effect of ""Ultimate Insect LV1"", as long as this card remains on the field, decrease the ATK of all your opponent's monsters by 300 points. During your Standby Phase, send this face-up card to the Graveyard to Special Summon 1 ""Ultimate Insect LV5"" from your hand or Deck. (You cannot activate this effect the turn this card is Normal Summoned, Special Summoned, or flipped face-up.) "" "
,RDS-EN008 ,Mystic Swordsman LV6 ,Effect Monster ,Ultra Rare/Ulti ,,Earth ,Warrior ,6,2300,1700,"""If you Normal Summon this card, you must place it in face-down Defense Position. If this card attacks a face-down Defense Position monster, destroy the monster immediately with this card's effect without flipping it face-up or applying damage calculation. You can return the monster destroyed with this effect to the top of your opponent's Deck instead of sending it to the Graveyard."" "
,RDS-EN009 ,Silent Swordsman LV3 ,Effect Monster ,Ultra Rare/Ulti ,,Light ,Warrior ,3,1000,1000,"""Negate the effects of your opponent's Spell Cards that designate this card. During your Standby Phase, send this face-up card to the Graveyard to Special Summon 1 ""Silent Swordsman LV5"" from your hand or Deck. (You cannot activate this effect the turn this card is Normal Summoned, Special Summoned, or flipped face-up.)"" "
,RDS-EN010 ,Nightmare Penguin ,Effect Monster ,Common ,,Water ,Aqua ,4,900,1800,"""When this card is flipped face-up, return 1 card on your opponent's side of the field to the owner's hand. As long as this card remains face-up on the field, increase the ATK of all WATER monsters on your side of the field by 200 points."" "
