Check,Card # ,Card Name ,Type ,Rarity ,Value,Attribute ,Sub Type ,Level ,ATK ,DEF ,Card Text 
,SOI-EN001 ,"Uria, Lord of Searing Flames ",Effect Monster ,Ultra Rare ,,Fire ,Pyro ,10,0,0,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by sending 3 face-up Trap Cards from your side of the field to the Graveyard. Increase the ATK of this card by 1000 points for each Continuous Trap Card in your Graveyard. Once per turn, you can destroy 1 Set Spell or Trap Card on your opponent's side of the field. Spell and Trap Cards cannot be activated in response to this effect's activation. "
,SOI-EN002 ,"Hamon, Lord of Striking Thunder ",Effect Monster ,Ultra Rare ,,Light ,Thunder ,10,4000,4000,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by sending 3 face-up Continuous Spell Cards from your side of the field to the Graveyard. When this card destroys your opponent's monster as a result of battle and sends it to the Graveyard, inflict 1000 points of damage to your opponent's Life Points. While this card is in face-up Defense Position on your side of the field, your opponent cannot select another monster as an attack target. "
,SOI-EN003 ,"Raviel, Lord of Phantasms ",Effect Monster ,Ultra Rare ,,Dark ,Fiend ,10,4000,4000,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by Tributing 3 Fiend-Type monsters on your side of the field. Each time your opponent Normal Summons a monster(s), Special Summon 1 ""Phantasm Token"" (Fiend-Type/DARK/Level 1/ATK 1000/DEF 1000) on your side of the field. This token cannot declare an attack. Once per turn, by Tributing 1 monster on your side of the field, increase the ATK of this card by the original ATK of the Tributed monster, until the End Phase of this turn. "
,SOI-EN004 ,Elemental Hero Neo Bubbleman ,Effect Monster ,Common ,,Water ,Warrior ,4,800,1200,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by sending ""Elemental Hero Bubbleman"" on your side of the field and ""Metamorphosis"" in your hand to the Graveyard. This card's name is treated as ""Elemental Hero Bubbleman"" while it is face-up on the field. Destroy an opponent's monster that battles this card at the end of the Damage Step. "
,SOI-EN005 ,Hero Kid ,Effect Monster ,Common ,,Earth ,Warrior ,2,300,600,"When this card is Special Summoned, you can Special Summon any number of ""Hero Kid""(s) from your Deck. "
,SOI-EN006 ,Cyber Barrier Dragon ,Effect Monster ,Super Rare ,,Light ,Machine ,6,800,2800,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by the effect of ""Attack Reflector Unit"". Once per turn, while this card is in Attack Position, negate your opponent's first attack. "
,SOI-EN007 ,Cyber Laser Dragon ,Effect Monster ,Ultra Rare ,,Light ,Machine ,7,2400,1800,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by the effect of ""Photon Generator Unit"". You can destroy 1 monster with ATK or DEF equal to or higher than the ATK of this card. You can only use this effect once per turn. "
,SOI-EN008 ,Ancient Gear ,Effect Monster ,Common ,,Earth ,Machine ,2,100,800,"While an ""Ancient Gear"" is face-up on your side of the field, you can Special Summon this card from your hand in Attack Position. "
,SOI-EN009 ,Ancient Gear Cannon ,Effect Monster ,Common ,,Earth ,Machine ,2,500,500,"By Tributing this card, inflict 500 points of damage to your opponent's Life Points, and then neither player can activate Trap Cards during the Battle Phase of this turn. "
,SOI-EN010 ,Proto-Cyber Dragon ,Effect Monster ,Rare ,,Light ,Machine ,3,1100,600,"This card's name is treated as ""Cyber Dragon"" while it is face-up on the field. "
