Check,Card # ,Card Name ,Type ,Rarity ,Value,Attribute ,Sub Type ,Level ,ATK ,DEF ,Card Text 
,SOD-EN001 ,Charcoal Inpachi ,Normal Monster ,Ultimate Rare ,,Fire ,Pyro ,1,100,2100,A wicked wooden spirit that has burned out. The barbecue grilled with this charcoal is so awesome that everybody thinks it's priceless. 
,SOD-EN002 ,Neo Aqua Madoor ,Normal Monster ,Common ,,Water ,Spellcaster ,6,1200,3000,"""The true nature of this wizard, who rules all water. It defends itself with a vast, impenetrable wall of ice."" "
,SOD-EN003 ,Skull Dog Marron ,Normal Monster ,Common ,,Earth ,Beast ,4,1350,2000,A lost dog that wandered off 100 years ago. He's still waiting for his master to come for him. 
,SOD-EN004 ,Goblin Calligrapher ,Normal Monster ,Common ,,Dark ,Fiend ,1,400,400,"A Goblin who devotes himself to perfect calligraphy of the word ""False"". He gives his all to each stroke. "
,SOD-EN005 ,Ultimate Insect LV1 ,Effect Monster ,Ultimate Rare ,,Wind ,Insect ,1,0,0,"""As long as this card remains face-up on your side of the field, it is unaffected by any Spell Cards. During your Standby Phase, send this face-up card to the Graveyard to Special Summon 1 ""Ultimate Insect LV3"" from your hand or Deck. (You cannot activate this effect the turn this card is Normal Summoned, Special Summoned or flipped face-up.)"" "
,SOD-EN006 ,Horus the Black Flame Dragon LV4 ,Effect Monster ,Ultimate Rare ,,Fire ,Dragon ,4,1600,1000,"""As long as this card remains face-up on your side of the field, control of this card cannot switch. During the End Phase of a turn that this card destroyed a monster as a result of battle, send this card to the Graveyard to Special Summon 1 ""Horus the Black Flame Dragon LV6"" from your hand or Deck."" "
,SOD-EN007 ,Horus the Black Flame Dragon LV6 ,Effect Monster ,Super Rare ,,Fire ,Dragon ,6,2300,1600,"""As long as this card remains face-up on your side of the field, it is unaffected by any Spell Cards. During the End Phase of a turn that this card destroyed a monster as a result of battle, send this card to the Graveyard to Special Summon 1 ""Horus the Black Flame Dragon LV8"" from your hand or Deck."" "
,SOD-EN008 ,Horus the Black Flame Dragon LV8 ,Effect Monster ,Ultra Rare ,,Fire ,Dragon ,8,3000,1800,"""This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by the effect of ""Horus the Black Flame Dragon LV6"". As long as this card remains face-up on your side of the field, you can negate the activation and effect of any Spell Cards and destroy them."" "
,SOD-EN009 ,Dark Mimic LV1 ,Effect Monster ,Common ,,Dark ,Fiend ,1,100,1000,"""FLIP: Draw 1 card from your deck. Also, during your Standby Phase, send this face-up card to the Graveyard to Special Summon 1 ""Dark Mimic LV3"" from your hand or Deck."" "
,SOD-EN010 ,Dark Mimic LV3 ,Effect Monster ,Rare ,,Dark ,Fiend ,3,1000,1000,"""If this card is sent to the Graveyard as a result of battle, the controller of this card draws 1 card from his/her Deck. If this card was Special Summoned by the effect of  ""Dark Mimic LV1"", he/she draws 2 cards instead."" "
,SOD-EN011 ,Mystic Swordsman LV2 ,Effect Monster ,Common ,,Earth ,Warrior ,2,900,0,"If this card attacks a face-down Defense Position monster, destroy the monster immediately with this card's effect without flipping it face-up or applying damage calculation. During the End Phase of a turn that this card destroyed a monster as a result of battle, by sending this card to the Graveyard, Special Summon 1 ""Mystic Swordsman LV4"" from your hand or Deck. "
,SOD-EN012 ,Mystic Swordsman LV4 ,Effect Monster ,Ultra Rare ,,Earth ,Warrior ,4,1900,1600,"""If you Normal Summon this card, you must place it in face-down Defense Position. If this card attacks a face-down Defense Position monster, destroy the monster immediately with this card's effect without flipping it face-up or applying damage calculation. During the End Phase of a turn that this card destroyed a monster as a result of battle, send this card to the Graveyard to Special Summon 1 ""Mystic Swordsman LV6"" from your hand or deck."" "
,SOD-EN013 ,Armed Dragon LV3 ,Effect Monster ,Common ,,Wind ,Dragon ,3,1200,900,"""During your Standby Phase, send this face-up card to the Graveyard to Special Summon 1 ""Armed Dragon LV5"" from your hand or Deck."" "
,SOD-EN014 ,Armed Dragon LV5 ,Effect Monster ,Rare ,,Wind ,Dragon ,5,2400,1700,"""Send 1 Monster Card from your hand to the Graveyard to destroy 1 face-up monster on your opponent's side of the field with an ATK equal to or less than the ATK of the sent monster. During the End Phase of a turn that this card destroyed a monster as a result of battle, send this card to the Graveyard to Special Summon 1 ""Armed Dragon LV7"" from your hand or Deck."" "
,SOD-EN015 ,Armed Dragon LV7 ,Effect Monster ,Ultra Rare ,,Wind ,Dragon ,7,2800,1000,"""This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by the effect of ""Armed Dragon LV5"". Send 1 monster card from your hand to the Graveyard to destroy all face-up monsters on your opponent's side of the field with an ATK equal to or less than the ATK of the sent monster."" "
,SOD-EN016 ,Horus' Servant ,Effect Monster ,Common ,,Fire ,Beast-Warrior ,1,100,100,"""As long as this card remains face-up on your side of the field, your opponent cannot designate ""Horus the Black Flame Dragon"" of any LV as the target of the effect of a Spell, Trap, or Monster Card"" "
,SOD-EN017 ,Red-Eyes B. Chick ,Effect Monster ,Common ,,Dark ,Dragon ,1,800,500,"Send this face-up card on your side of the field to the Graveyard to Special Summon 1 ""Red-Eyes B. Dragon"" from your hand. "
,SOD-EN018 ,Malice Doll of Demise ,Effect Monster ,Common ,,Dark ,Fiend ,4,1600,1700,"""If this card is sent from the field to the Graveyard by the effect of a Continuous Spell Card, Special Summon this card from the Graveyard during the Standby Phase of your turn."" "
,SOD-EN019 ,Ninja Grandmaster Sasuke ,Effect Monster ,Rare ,,Light ,Warrior ,4,1800,1000,"""If this card attacks a face-up Defense Position monster, destroy the monster with this card's effect without applying damage calculation."" "
,SOD-EN020 ,Rafflesia Seduction ,Effect Monster ,Rare ,,Earth ,Plant ,2,300,900,FLIP: Take control of 1 face-up monster on your opponent's side of the field until the end of the turn. 
,SOD-EN021 ,Ultimate Baseball Kid ,Effect Monster ,Common ,,Fire ,Warrior ,3,500,1000,Increase the ATK of this card by 1000 points for each FIRE monster on the field other than this card. Send a FIRE Monster other than this card to the Graveyard to inflict 500 points of damage to your opponent's Life Points. 
,SOD-EN022 ,Mobius the Frost Monarch ,Effect Monster ,Super Rare ,,Water ,Aqua ,6,2400,1000,"""When this card is Tribute Summoned successfully, you can destroy up to 2 Spell or Trap cards on the field."" "
,SOD-EN023 ,Element Dragon ,Effect Monster ,Common ,,Light ,Dragon ,4,1500,1200,"""This monster gets the following effect(s) while there are monster(s) with the following Attributes(s) on the field. * FIRE: Increase the ATK of this card by 500 points. * WIND: If this card destroyed you opponent's monster as a result of battle, it can attack once again in a row."" "
,SOD-EN024 ,Element Soldier ,Effect Monster ,Common ,,Dark ,Fiend ,4,1500,1200,This monster gets the following effect(s) while there are monster(s) with the following Attributes(s) on the field. * WATER: Control of this card cannot switch. * EARTH: Negate the effect of an Effect Monster that is destroyed by this monster as a result of battle. 
,SOD-EN025 ,Howling Insect ,Effect Monster ,Common ,,Earth ,Insect ,3,1200,1300,"""When this card is destroyed and sent to the Graveyard as a result of battle, you can Special Summon 1 Insect-Type monster with an ATK of 1500 or less to your side of the field from your Deck. Then shuffle your Deck."" "
,SOD-EN026 ,Masked Dragon ,Effect Monster ,Common ,,Fire ,Dragon ,3,1400,1100,"""When this card is destroyed and sent to the Graveyard as a result of battle, you can Special Summon 1 Dragon-Type monster with an ATK of 1500 or less to your side of the field from you Deck. Then shuffle your Deck"" "
,SOD-EN027 ,Mind on Air ,Effect Monster ,Rare ,,Dark ,Spellcaster ,6,1000,1600,"""As long as this card remains face-up on the field, your opponent must continue to show his/her hand."" "
,SOD-EN028 ,Unshaven Angler ,Effect Monster ,Common ,,Water ,Fish ,4,1500,1600,"""If you Tribute Summon an WATER monster, you can treat this 1 monster as 2 Tribute Monsters for the Tribute Summon."" "
