Check,Card # ,Card Name ,Type ,Rarity ,Value,Attribute ,Sub Type ,Level ,ATK ,DEF ,Card Text 
,SOVR-EN000 ,Koa'ki Meiru Beetle ,Effect Monster ,Super Rare ,,Earth ,Insect ,4,1900,1500,"During each of your End Phases, destroy this card unless you send 1 ""Iron Core of Koa'ki Meiru"" from your Hand to the Graveyard or reveal 1 Insect-Type Monster in your hand. When a LIGHT or DARK monster is Special Summoned in face-up Attack Position, change the Summoned monster to Defense Position. "
,SOVR-EN001 ,Majestic Dragon ,Tuner Monster ,Super Rare ,,Light ,Dragon ,1,0,0,"This card cannot be used as a Synchro Material Monster, except for the Synchro Summon of a ""Majestic"" monster. "
,SOVR-EN002 ,Stardust Xiaolong ,Effect Monster ,Rare ,,Light ,Dragon ,1,100,100,"When you Synchro Summon ""Stardust Dragon"", you can Special Summon this card from your Graveyard in face-up Attack Position. Once per turn, if this card would be destroyed by battle, it is not destroyed. "
,SOVR-EN003 ,Max Warrior ,Effect Monster ,Super Rare ,,Wind ,Warrior ,4,1800,800,"When this card attacks an opponent's monster, it gains 400 ATK during damage calculation only. If this card destroys an opponent's monster by battle, this card's Level becomes 2 and its original ATK and DEF are halved until your next Standby Phase. "
,SOVR-EN004 ,Quickdraw Synchron ,Tuner Monster ,Common ,,Wind ,Machine ,5,700,1400,"You can send 1 monster from your hand to the Graveyard and Special Summon this card from your hand. You can substitute this card for any 1 ""Synchron"" Tuner for a Synchro Summon. This card cannot be used as a Synchro Material Monster, except for the Synchro Summon of a monster that lists a ""Synchron"" monster as a Tuner monster. "
,SOVR-EN005 ,Level Eater ,Effect Monster ,Common ,,Dark ,Insect ,1,600,0,"If this card is in the Graveyard, you can activate its effect by selecting 1 face-up Level 5 or higher monster you control. Reduce that monster's Level by 1. Special Summon this card from the Graveyard. This card cannot be Tributed except for a Tribute Summon. "
,SOVR-EN006 ,Zero Gardna ,Effect Monster ,Rare ,,Earth ,Warrior ,4,0,0,"You can Tribute this card to activate its effect. If you do, monsters you control cannot be destroyed by battle, and you take no Battle Damage, during this turn. This effect can be activated during either player's turn. "
,SOVR-EN007 ,Regulus ,Effect Monster ,Common ,,Light ,Beast ,4,1700,1000,"Once per turn, you can select 1 Field Spell Card in your Graveyard. Return it to the Deck. "
,SOVR-EN008 ,Infernity Necromancer ,Effect Monster ,Common ,,Dark ,Fiend ,3,0,2000,"When this card is Normal Summoned, it is changed to Defense Position. While you have no cards in your hand, this card gains the following effect: Once per turn, you can Special Summon 1 ""Infernity"" monster from your Graveyard, except ""Infernity Necromancer"". "
,SOVR-EN009 ,Fortune Lady Wind ,Effect Monster ,Rare ,,Wind ,Spellcaster ,3,? ,? ,"This card's ATK and DEF are equal to its Level x 300. During each of your Standby Phases, increase the Level of this card by 1 (max 12). When this card is Normal Summoned, you can destroy a number of Spell or Trap Cards your opponent controls equal to the number of face-up ""Fortune Lady"" monsters you control. "
,SOVR-EN010 ,Fortune Lady Water ,Effect Monster ,Rare ,,Water ,Spellcaster ,4,? ,? ,"This card's ATK and DEF are equal to its Level x 300. During each of your Standby Phases, increase the Level of this card by 1 (max 12). When this card is Special Summoned while you control a face-up ""Fortune Lady"" monster except ""Fortune Lady Water"", draw 2 cards. "
,SOVR-EN011 ,Fortune Lady Dark ,Effect Monster ,Rare ,,Dark ,Spellcaster ,5,? ,? ,"This card's ATK and DEF are equal to its Level x 400. During each of your Standby Phases, increase the Level of this card by 1 (max 12). When a face-up ""Fortune Lady"" monster you control destroys an opponent's monster by battle and sends it to the Graveyard, you can select and Special Summon 1 ""Fortune Lady"" monster from your Graveyard. "
,SOVR-EN012 ,Fortune Lady Earth ,Effect Monster ,Rare ,,Earth ,Spellcaster ,6,? ,? ,"This card's ATK and DEF are equal to its Level x 400. During each of your Standby Phases, increase the Level of this card by 1 (max 12). When the Level of this card increases, inflict 400 damage to your opponent. "
,SOVR-EN013 ,Solitaire Magician ,Effect Monster ,Common ,,Light ,Spellcaster ,4,1600,1300,"Once per turn, you can select 1 face-up ""Fortune Lady"" monster you control and 1 other face-up monster on the field. Reduce the Level of the selected ""Fortune Lady"" monster by 3, and destroy the other selected monster. "
