Check,Card # ,Card Name ,Type ,Rarity ,Value,Attribute ,Sub Type ,Level ,ATK ,DEF ,Card Text 
,STBL-EN000 ,Archfiend Empress ,Effect Monster ,Super Rare ,,Dark ,Fiend ,8,2900,2100,"If (exactly) 1 face-up DARK Fiend-Type monster on the field, except this card, would be destroyed, you can remove from play 1 DARK Fiend-Type monster from your Graveyard, instead. When this card is destroyed and sent from the field to the Graveyard, you can select 1 Level 6 or higher DARK Fiend-Type monster in your Graveyard, except ""Archfiend Empress"", and Special Summon it. "
,STBL-EN001 ,Swift Scarecrow ,Effect Monster ,Common ,,Earth ,Machine ,1,0,0,"When your opponent's monster declares a direct attack, you can discard this card to negate that attack and end the Battle Phase. "
,STBL-EN002 ,Mirror Ladybug ,Effect Monster ,Common ,,Light ,Insect ,1,100,100,"If you control at least 1 face-up monster and have no monsters in your Graveyard, you can Special Summon this card from your hand. When this card is Special Summoned this way, this card's Level becomes equal to the total Levels of all other monsters you control. If the Level of this card is higher than 12, destroy this card. "
,STBL-EN003 ,Reed Butterfly ,Effect Monster ,Common ,,Wind ,Insect ,1,300,600,"If your opponent controls a face-up Synchro Monster(s) and you control no face-up Synchro Monsters, you can Special Summon this card from your hand. "
,STBL-EN004 ,Needle Soldier ,Effect Monster ,Common ,,Earth ,Machine ,1,100,100,"If this card is used as a Synchro Material Monster for a Synchro Monster, during battle between that Synchro Monster and a Defense Position monster whose DEF is lower than the ATK of that Synchro Monster, inflict the difference as Battle Damage to your opponent. "
,STBL-EN005 ,Necro Linker ,Effect Monster ,Common ,,Dark ,Fiend ,2,600,0,"You can Tribute this card to select 1 ""Synchron"" Tuner monster in your Graveyard. Special Summon that monster. It cannot be used as a Synchro Material Monster during the turn it is Special Summoned by this effect. "
,STBL-EN006 ,Rescue Warrior ,Effect Monster ,Common ,,Earth ,Warrior ,4,1600,1700,"You take no Battle Damage from battles involving this card. If this card is destroyed by battle, select 1 face-up monster your opponent controls that you own, and take control of it. "
,STBL-EN007 ,Power Giant ,Effect Monster ,Ultimate Rare ,,Earth ,Rock ,6,2200,0,"You can send 1 Level 4 or lower monster from your hand to the Graveyard to Special Summon this card from your hand, and decrease this card's Level by the Level of that monster. If this card attacks or is attacked, until the end of the Damage Step any effect damage you take becomes 0. "
,STBL-EN008 ,Vice Berserker ,Effect Monster ,Common ,,Dark ,Fiend ,4,1000,1000,"If this card is sent to the Graveyard as a Synchro Material Monster, inflict 2000 damage to the player that Synchro Summoned, and the Synchro Monster that used this card as a Synchro Material Monster gains 2000 ATK until the End Phase. "
,STBL-EN009 ,Lancer Archfiend ,Effect Monster ,Rare ,,Dark ,Fiend ,4,1600,1400,"Once per turn, when a monster you control declares an attack targeting a Defense Position monster your opponent controls, you can activate this effect. If you do, during this battle, if the ATK of the attacking monster is greater than the DEF of the Defense Position monster it battles, inflict the difference as Battle Damage to your opponent. "
,STBL-EN010 ,Power Breaker ,Effect Monster ,Super Rare ,,Earth ,Warrior ,4,1900,0,"When this card is destroyed by your opponent's attack or card effect and sent to the Graveyard, select 1 face-up Spell/Trap Card your opponent controls, and destroy it. If this card attacks, it is changed to Defense Position at the end of the Damage Step. "
,STBL-EN011 ,Extra Veiler ,Effect Monster ,Common ,,Light ,Spellcaster ,2,600,200,"When your opponent Special Summons a monster(s), you can Special Summon this card from your hand. During the turn this card is Special Summoned by this effect, your opponent takes any effect damage you would have taken from their card effects, instead. "
,STBL-EN012 ,Synchro Soldier ,Effect Monster ,Common ,,Earth ,Machine ,1,0,0,"Once per turn, during your Main Phase 1, you can select 1 face-up Synchro Monster you control. Remove that face-up Synchro Monster you control from play and inflict 600 damage to your opponent. If you use this effect, during your next Standby Phase the removed from play monster returns to the field. "
,STBL-EN013 ,Creation Resonator ,Tuner Monster ,Rare ,,Wind ,Fiend ,3,800,600,"If you control a face-up Level 8 or higher Synchro Monster, you can Special Summon this card from your hand. "
,STBL-EN014 ,Attack Gainer ,Tuner Monster ,Common ,,Earth ,Warrior ,1,0,0,"If this card is sent to the Graveyard as a Synchro Material Monster, select 1 face-up monster your opponent controls. The selected opponent's monster loses 1000 ATK until the End Phase. "
,STBL-EN015 ,Blackwing - Etesian of Two Swords ,Effect Monster ,Common ,,Dark ,Winged Beast ,3,400,1600,"If a ""Blackwing"" monster you control battles an opponent's monster, and that opponent's monster is still on the field at the end of the Damage Step, you can send this card from your hand to the Graveyard to inflict 1000 damage to your opponent. "
,STBL-EN016 ,Blackwing - Aurora the Northern Lights ,Effect Monster ,Rare ,,Light ,Winged Beast ,10,? ,0,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by removing from play 2 face-up monsters you control (1 ""Blackwing"" Tuner and 1 non-Tuner). Once per turn, you can remove from play 1 ""Blackwing"" Synchro Monster from your Extra Deck. This card's name, ATK, and effects become the same as that monster's, until the End Phase. "
,STBL-EN017 ,Blackwing - Abrolhos the Megaquake ,Effect Monster ,Rare ,,Dark ,Winged Beast ,7,2600,1800,"This card cannot be Special Summoned. Any monsters that battles with this card is not destroyed by that battle, and returns to the hand after damage calculation. Once per turn, during your Main Phase 1, you can have this card lose 1000 ATK, and return all cards in your opponent's Spell and Trap Card Zone to the hand. "
,STBL-EN018 ,Glow-Up Bulb ,Tuner Monster ,Ultimate Rare ,,Earth ,Plant ,1,100,100,"You can send the top card of your Deck to the Graveyard and Special Summon this card from the Graveyard. Each player can only use the effect of ""Glow-Up Bulb"" once per Duel. "
,STBL-EN019 ,"Karakuri Soldier mdl 236 ""Nisamu"" ",Effect Monster ,Common ,,Earth ,Machine ,4,1400,200,"This card must attack if able. When this face-up Attack Position card on the field is selected as an attack target, change it to Defense Position. When this card is destroyed by battle and sent to the Graveyard, you can Special Summon 1 Level 4 or lower ""Karakuri"" monster from your Deck in face-up Attack Position. "
,STBL-EN020 ,"Karakuri Merchant mdl 177 ""Inashichi"" ",Effect Monster ,Rare ,,Earth ,Machine ,2,500,1500,"This card must attack if able. When this face-up Attack Position card on the field is selected as an attack target, change it to Defense Position. When this card is Normal Summoned, you can add 1 ""Karakuri"" card from your Deck to your hand. "
,STBL-EN021 ,"Karakuri Strategist mdl 248 ""Nishipachi"" ",Effect Monster ,Common ,,Earth ,Machine ,3,500,1600,"This card must attack if able. When this face-up Attack Position card is selected as an attack target, change it to Defense Position. When this card is Normal or Special Summoned, select 1 monster on the field and change its battle position. "
,STBL-EN022 ,"Karakuri Ninja mdl 339 ""Sazank"" ",Effect Monster ,Super Rare ,,Earth ,Machine ,3,1200,1200,"This card must attack if able. When this face-up Attack Position card is selected as an attack target, change it to Defense Position. When this card is flipped face-up, select 1 face-up monster on the field, and send it to the Graveyard. During the turn this card is flipped face-up, it can attack your opponent directly. "
,STBL-EN023 ,"Karakuri Bushi mdl 6318 ""Muzanichiha"" ",Effect Monster ,Rare ,,Earth ,Machine ,4,1800,600,"This card must attack if able. When this face-up Attack Position card on the field is selected as an attack target, change it to Defense Position. If another ""Karakuri"" monster on the field is destroyed, this card gains 400 ATK. "
,STBL-EN024 ,Scrap Soldier ,Tuner Monster ,Rare ,,Earth ,Warrior ,5,2100,700,"This card cannot be used as a Synchro Material Monster, except for the Synchro Summon of a ""Scrap"" monster. If this face-up Defense Position card is selected as an attack target, destroy this card at the end of the Battle Phase. If this card is destroyed by the effect of a ""Scrap"" card and sent to the Graveyard, you can select 1 ""Scrap"" monster in your Graveyard, except ""Scrap Soldier"", and add it to your hand. "
,STBL-EN025 ,Scrap Searcher ,Effect Monster ,Common ,,Earth ,Winged Beast ,1,100,300,"When a ""Scrap"" monster you control, except ""Scrap Searcher"", is destroyed and sent to the Graveyard while this card is in the Graveyard, you can Special Summon this card from your Graveyard. When this card is Special Summoned, destroy all face-up monsters you control, except ""Scrap"" monsters. "
,STBL-EN026 ,Wattkiwi ,Tuner Monster ,Common ,,Light ,Thunder ,3,600,100,"""Watt"" monsters you control cannot be destroyed by battle while they are attacking. "
,STBL-EN027 ,Watthopper ,Effect Monster ,Common ,,Light ,Thunder ,1,0,0,"Your opponent cannot select another face-up ""Watt"" monster on the field as an attack target, or target them with card effects. "
,STBL-EN028 ,Wattdragonfly ,Effect Monster ,Common ,,Light ,Thunder ,2,900,100,"If this card is destroyed by your opponent's card (either by battle or by card effect), you can Special Summon 1 ""Watt"" monster from your Deck. "
,STBL-EN029 ,Wattsquirrel ,Effect Monster ,Rare ,,Light ,Thunder ,3,700,100,"This card can attack twice during each Battle Phase. If this card battles, negate the effects of the monster it battled after damage calculation (including in the Graveyard). "
,STBL-EN030 ,Naturia Cherries ,Tuner Monster ,Super Rare ,,Earth ,Plant ,1,200,200,"If this card is sent from the field to the Graveyard by your opponent's card (including by battle, card effect, or by being destroyed), you can Special Summon up to 2 ""Naturia Cherries"" from your Deck in face-down Defense Position. "
,STBL-EN031 ,Naturia Pumpkin ,Effect Monster ,Common ,,Earth ,Plant ,4,1400,800,"When this card is Normal Summoned, if your opponent controls a monster, you can Special Summon 1 ""Naturia"" monster from your Hand. "
,STBL-EN032 ,Naturia Stag Beetle ,Effect Monster ,Common ,,Earth ,Insect ,6,2200,1500,"Once per turn, during the Battle Step or Damage Step of this card's attack, when your opponent activates a card or effect, you can select 1 ""Naturia"" monster in your Graveyard. Special Summon that monster from the Graveyard. "
,STBL-EN033 ,Dance Princess of the Ice Barrier ,Effect Monster ,Super Rare ,,Water ,Spellcaster ,4,1700,900,"Once per turn, if you control another face-up ""Ice Barrier"" monster, you can reveal any number of “Ice Barrier” monsters in your hand to select an equal number of Set Spell/Trap cards your opponent controls. Return the selected Set Spell/Trap cards your opponent controls to the hand. "
,STBL-EN034 ,Chain Dog ,Effect Monster ,Rare ,,Earth ,Beast ,4,1600,1100,"This card cannot be used as a Synchro Material Monster, except for the Synchro Summon of a Beast-Type monster. If you control 2 face-up Beast-Type monsters, you can Special Summon this card from the Graveyard. If this card is Special Summoned this way, remove it from play when it is removed from the field. "
,STBL-EN035 ,Wightmare ,Effect Monster ,Common ,,Dark ,Zombie ,1,300,200,"While it is in the Graveyard, this card's name is treated as ""Skull Servant"". You can discard this card to activate 1 of the following effects: 
Select 1 of your removed from play ""Skull Servant"" or ""Wightmare"", and return it to your Graveyard. 
Select 1 of your removed from play ""The Lady in Wight"" or ""King of the Skull Servants"", and Special Summon it. "
,STBL-EN036 ,Anarchist Monk Ranshin ,Effect Monster ,Super Rare ,,Earth ,Spellcaster ,4,1800,100,"When this card is sent from the field to the Graveyard by your opponent's card (including by battle, card effect, or by being destroyed), select 1 monster in your opponent's Graveyard and remove it from play. "
,STBL-EN037 ,Delg the Dark Monarch ,Effect Monster ,Super Rare ,,Dark ,Spellcaster ,6,2400,1000,"When this card is Normal or Special Summoned, you can select up to 2 cards in your opponent's Graveyard, remove them from play. Then send the same number of cards from the top of their Deck to the Graveyard. During the turn it is Normal or Special Summoned, this card cannot attack. "
,STBL-EN038 ,Supreme Arcanite Magician ,Fusion/Effect Monster ,Ultimate Rare ,,Light ,Spellcaster ,10,1400,2800,"1 Spellcaster-Type Synchro Monster + 1 Spellcaster-Type monster
This monster can only be Special Summoned by Fusion Summon (from the Extra Deck). When this card is Fusion Summoned, place 2 Spell Counters on it. This card gains 1000 ATK for each Spell Counter on it. Once per turn, you can remove 1 Spell Counter from your side of the field to activate one of the following effects:
Select 1 card on the field, and destroy it.
Draw 1 card. "
