Check,Card # ,Card Name ,Type ,Rarity ,Value,Attribute ,Sub Type ,Level ,ATK ,DEF ,Card Text 
,STON-EN001 ,Gene-Warped Warwolf ,Normal Monster ,Super Rare ,,Earth ,Beast-Warrior ,4,2000,100,"This warewolf was given the incalculable strength through horrific genetic manipulation. Its gentle nature was completely wiped out, and it now lives only to unleash destruction. "
,STON-EN002 ,Frostosaurus ,Normal Monster ,Rare ,,Water ,Dinosaur ,6,2600,1700,"This monster's metabolism enables it to endure long periods of cold, harnessing the power to become a creature of solid ice! Nothing else can withstand such temperatures, especially victims of its glacial rampage. "
,STON-EN003 ,Sprial Serpent ,Normal Monster ,Rare ,,Water ,Sea Serpent ,8,2900,2900,"When huge whirlpools lay cities asunder, it is the hunger of this sea serpent at work. No one has ever escaped its dreaded Spiral Wave to accurately describe the terror they experienced. "
,STON-EN004 ,Neo-Spacian Air Hummingbird ,Effect Monster ,Super Rare ,,Wind ,Winged Beast ,3,800,600,"Once per turn during your Main Phase, you can gain 500 Life Points for each card in your opponent's hand. "
,STON-EN005 ,Neo-Spacian Grand Mole ,Effect Monster ,Rare ,,Earth ,Rock ,3,900,600,"If this card attacks or is attacked by an opponent's monster, you can return both monsters to their owners' hands at the start of the Damage Step (without damage calculation). "
,STON-EN006 ,Neo-Spacian Glow Moss ,Effect Monster ,Common ,,Light ,Plant ,3,300,900,"When this card attacks or is attacked, your opponent draws 1 card. Reveal that card, and based on its type apply the proper effect: ? Monster: End the Battle Phase. ? Spell: You can change this attack to a direct attack instead. ? Trap: This monster is changed to Defense Position. "
,STON-EN007 ,The Six Samurai - Yaichi ,Effect Monster ,Common ,,Water ,Warrior ,3,1300,800,"Once per turn, while you control another ""Six Samurai"" monster with a different name, you can destroy 1 Set Spell or Trap Card. This monster cannot declare an attack during the turn this effect is used. If this card would be destroyed, you can destroy another ""Six Samurai"" monster you control instead. "
,STON-EN008 ,The Six Samurai - Kamon ,Effect Monster ,Common ,,Fire ,Warrior ,3,1500,1000,"Once per turn, while you control another ""Six Samurai"" monster with a different name, you can destroy 1 face-up Spell or Trap Card. This monster cannot declare an attack during the turn this effect is used. If this card would be destroyed, you can destroy another ""Six Samurai"" monster you control instead. "
,STON-EN009 ,The Six Samurai - Yariza ,Effect Monster ,Common ,,Earth ,Warrior ,3,1000,500,"While you control another ""Six Samurai"" monster with a different name, this card can attack your opponent directly. If this card would be destroyed, you can destroy another ""Six Samurai"" monster you control instead. "
,STON-EN010 ,The Six Samurai - Nisashi ,Effect Monster ,Common ,,Wind ,Warrior ,4,1400,700,"While you control another ""Six Samurai"" monster with a different name, this card can attack twice during the same Battle Phase. If this card would be destroyed, you can destroy another ""Six Samurai"" monster you control instead. "
,STON-EN011 ,The Six Samurai - Zanji ,Effect Monster ,Common ,,Light ,Warrior ,4,1800,1300,"While you control another ""Six Samurai"" monster with a different name, destroy any monster this card attacks at the end of the Damage Step. If this card would be destroyed, you can destroy another ""Six Samurai"" monster you control instead. "
