Check,Card # ,Card Name ,Type ,Rarity ,Value,Attribute ,Sub Type ,Level ,ATK ,DEF ,Card Text 
,TAEV-EN000 ,Gemini Summoner ,Effect Monster ,Secret Rare ,,Water ,Spellcaster ,4,1500,0,"Once per turn during your opponent's End Phase you can pay 500 Life Points to Normal Summon or Set 1 Gemini monster from you hand or Normal Summon 1 face-up Gemini monster you control. Once per turn, if this card would be destroyed by battle, it is not destroyed. (Damage calculation is applied normally). "
,TAEV-EN001 ,Alien Shocktrooper ,Normal Monster ,Common ,,Earth ,Reptile ,4,1900,800,
,TAEV-EN002 ,Volcanic Rat ,Normal Monster ,Common ,,Fire ,Pyro ,1,500,500,
,TAEV-EN003 ,"Renge, Gatekeeper of Dark World ",Normal Monster ,Common ,,Dark ,Fiend ,4,100,2100,
,TAEV-EN004 ,Hunter Dragon ,Normal Monster ,Rare ,,Dark ,Dragon ,3,1700,100,
,TAEV-EN005 ,Venom Cobra ,Normal Monster ,Common ,,Earth ,Reptile ,4,100,2000,
,TAEV-EN006 ,Rainbow Dragon ,Effect Monster ,"Ghost Rare, Sec ",,Light ,Dragon ,10,4000,0,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned, except from your hand while you have 7 ""Crystal Beast"" cards with different names on the field or in your Graveyard. This card cannot activate its effects the turn it is Special Summoned. Send all ""Crystal Beast"" monster you control to the Graveyard, this card gains 1000 ATK for each card sent. You can activate this effect during either player's turn. You can remove from play all ""Crystal Beast"" Monster Cards in your Graveyard to return all cards on the field to their owner's Decks. "
,TAEV-EN007 ,Chrysalis Pantail ,Effect Monster ,Common ,,Dark ,Beast ,2,800,300,"You can Tribute this card while ""Neo Space"" is on the field to Special Summon 1 ""Neo-Spacian Dark Panther"" from your hand or Deck. "
,TAEV-EN008 ,Chrysalis Chicky ,Effect Monster ,Common ,,Wind ,Winged Beast ,2,600,400,"You can Tribute this card while ""Neo Space"" is on the field to Special Summon 1 ""Neo-Spacian Air Hummingbird"" from your hand or Deck. "
,TAEV-EN009 ,Chrysalis Pinny ,Effect Monster ,Common ,,Light ,Plant ,2,100,700,"You can Tribute this card while ""Neo Space"" is on the field to Special Summon 1 ""Neo-Spacian Glow Moss"" from your hand or Deck. "
,TAEV-EN010 ,Chrysalis Larva ,Effect Monster ,Common ,,Fire ,Insect ,2,300,300,"You can Tribute this card while ""Neo Space"" is on the field to Special Summon 1 ""Neo-Spacian Flare Scarab"" from your hand or Deck. "
