Check,Card # ,Card Name ,Type ,Rarity ,Value,Attribute ,Sub Type ,Level ,ATK ,DEF ,Card Text 
,TDGS-EN000 ,Avenging Knight Parshath ,Synchro/Effect Monster ,Secret Rare ,,Light ,Fairy ,8,2600,2100,"1 Tuner + 1 or more non-Tuner Light monsters
Once per turn, you can change the battle position of 1 face-up monster your opponent controls. During battle between the attacking card and a Defense position monster whose DEF is lower than the ATK of this card inflict the difference in Battle Damage tor your opponent. "
,TDGS-EN001 ,Turbo Booster  ,Effect Monster ,Common ,,Earth ,Machine ,1,0,0,"If you have Normal Summoned a monster this turn, you can Special Summon this card from your hand. You can Tribute this card to destroy 1 monster your opponent controls that battled one of your monsters this turn. "
,TDGS-EN002 ,Nitro Synchron ,Tuner Monster ,Super Rare ,,Fire ,Machine ,2,300,200,"If this card is sent to the Graveyard for the Synchro Summon of a ""Nitro"" Synchro monster, draw 1 card. "
,TDGS-EN003 ,Quillbolt Hedgehog ,Effect Monster ,Common ,,Earth ,Machine ,2,800,800,"If you control a face-up Tuner monster, you can Special Summon this card from your Graveyard. If this card was Summoned this way, remove it from play when it is removed from the field. "
,TDGS-EN004 ,Ghost Gardna ,Effect Monster ,Common ,,Dark ,Warrior ,4,0,1900,"When a face-up monster you control is selected as an attack target, you can change the target to this card. When this card is destroyed and sent to the Graveyard, 1 face-up monster your opponent controls loses 1000 ATK until the End Phase. "
,TDGS-EN005 ,Shield Warrior ,Effect Monster ,Rare ,,Earth ,Warrior ,3,800,1600,"During damage calculation, you can remove from play this card from you Graveyard to prevent monster you control from being destroyed by this battle. "
,TDGS-EN006 ,Small Piece Golem ,Effect Monster ,Common ,,Earth ,Rock ,3,1100,0,"When this card is Summoned, if you control a ""Big Piece Golem"", you can Special Summon 1 ""Medium Piece Golem"" from your Deck. That monster's effect is negated while it is face-up on the field. "
,TDGS-EN007 ,Medium Piece Golem ,Effect Monster ,Common ,,Earth ,Rock ,4,1600,0,"When this card is Summoned, if you control a ""Big Piece Golem"", you can Special Summon 1 ""Small Piece Golem"" from you Deck. That monster's effect is negated while it is face-up on the field. "
,TDGS-EN008 ,Big Piece Golem ,Effect Monster ,Rare ,,Earth ,Rock ,5,2100,0,"If your opponent controls a monster and you control no monster, you can Normal Summon this card without Tributing. "
,TDGS-EN009 ,Sinister Sprocket ,Tuner Monster ,Super Rare ,,Dark ,Fiend ,1,400,0,"If this card is sent to the Graveyard for the Synchro Summon of a DARK Synchro monster, you can destroy 1 face-up Spell or Trap card. "
,TDGS-EN010 ,Dark Resonator ,Tuner Monster ,Rare ,,Dark ,Fiend ,3,1300,300,"Once per turn, if this card would be destroyed by battle, it is not destroyed. (Damage calculation is applied normally.) "
,TDGS-EN011 ,Twin-Shield Defender ,Effect Monster ,Common ,,Earth ,Warrior ,4,700,1600,"When this card you control is destroyed by battle and sent to your Graveyard, you can halve the current ATK of 1 face-up monster your opponent controls, until the End Phase. "
,TDGS-EN012 ,Jutte Fighter  ,Tuner Monster ,Common ,,Earth ,Warrior ,2,700,900,"Once per turn, you can change 1 face-up Attack Position monster your opponent controls to face-up Defense Position. "
