Check,Card # ,Card Name ,Type ,Rarity ,Value,Attribute ,Sub Type ,Level ,ATK ,DEF ,Card Text 
,TLM-EN001 ,Elemental Hero Avian ,Normal Monster ,Common ,,Wind ,Warrior ,3,1000,1000,"""A winged Elemental Hero who wheels through the sky and manipulates the wind. His signature move, Featherbreak, gives villainy a blow from sky-high."" "
,TLM-EN002 ,Elemental Hero Burstinatrix ,Normal Monster ,Common ,,Fire ,Warrior ,3,1200,800,A flame manipulator who is the only woman among the Elemental Heroes. Her Burstfire burns away villainy. 
,TLM-EN003 ,Elemental Hero Clayman ,Normal Monster ,Common ,,Earth ,Warrior ,4,800,2000,An Elemental Hero with a clay body built-to-last. He'll preserve his Elemental Hero colleagues at any cost. 
,TLM-EN004 ,Elemental Hero Sparkman ,Normal Monster ,Common ,,Light ,Warrior ,4,1600,1400,An Elemental Hero and a warrior of light who proficiently wields many kinds of armaments. His Shining Surge Flash cuts off the path of villainy. 
,TLM-EN005 ,Winged Kuriboh ,Effect Monster ,Super Rare ,,Light ,Fairy ,1,300,200,"""When this card on the field is destroyed and sent to the Graveyard, its effect is activated. After activation, during this turn, any Battle Damage that the controller of this card takes becomes 0."" "
,TLM-EN006 ,Ancient Gear Golem ,Effect Monster ,Ultra Rare ,,Earth ,Machine ,8,3000,3000,"""This card cannot be Special Summoned. When this card attacks with an ATK that is higher than the DEF of a Defense Position monster, inflict the difference as Battle Damage to your opponent's Life Points. If this card attacks, your opponent cannot activate any Spell or Trap Cards until the end of the Damage Step."" "
,TLM-EN007 ,Ancient Gear Beast ,Effect Monster ,Rare ,,Earth ,Machine ,6,2000,2000,"""This card cannot be Special Summoned. The effects of your opponent's Effect Monster that this monster destroys as a result of battle are negated. If this card attacks, your opponent cannot activate any Spell or Trap Cards until the end of the Damage Step."" "
,TLM-EN008 ,Ancient Gear Soldier ,Effect Monster ,Common ,,Earth ,Machine ,4,1300,1300,"""If this card attacks, your opponent cannot activate Spell or Trap Cards during the Battle Phase."" "
,TLM-EN009 ,Millenium Scorpion ,Effect Monster ,Rare ,,Earth ,Insect ,5,2000,1800,"""Each time this card destroys 1 monster on your opponent's side of the field and sends it to the Graveyard as a result of battle, increase the ATK of this card by 500 points."" "
,TLM-EN010 ,Ultimate Insect LV7 ,Effect Monster ,Super Rare ,,Wind ,Insect ,7,2600,1500,"""If this card was Special Summoned by the effect of ""Ultimate Insect LV5"", as long as this card remains face-up on your side of the field, decrease the ATK and DEF of all your opponent's monsters by 700 points."" "
