Check,Card # ,Card Name ,Type ,Rarity ,Value,Attribute ,Sub Type ,Level ,ATK ,DEF ,Card Text 
,TSHD-EN000 ,XX-Saber Boggart Knight ,Effect Monster ,Super Rare ,,Earth ,Beast-Warrior ,4,1900,1000,"When this card is Normal Summoned, you can Special Summon 1 Level 4 or lower ""X-Saber"" monster from your hand. This card cannot be used as a Synchro Material Monster, except for the Synchro Summon of a ""X-Saber"" monster. "
,TSHD-EN001 ,Blackwing - Ghibli the Searing Wind ,Effect Monster ,Common ,,Dark ,Winged Beast ,3,0,1600,"When your opponent declares a Direct attack, you can Special Summon this card from your hand. Once per turn, you can switch this card's original ATK and DEF until the End Phase. "
,TSHD-EN002 ,Blackwing - Gust the Backblast ,Effect Monster ,Rare ,,Dark ,Winged Beast ,2,900,1400,"If you control no cards, you can Special Summon this card from your hand. While this card is face-up on the field, if your opponent's monster attacks a ""Blackwing"" monster you control, the attacking monster loses 300 ATK during the Damage Step only. "
,TSHD-EN003 ,Blackwing - Breeze the Zephyr ,Tuner Monster ,Ultra Rare ,,Dark ,Winged Beast ,3,1100,300,"If this card is added from the Deck to your hand by a Spell, Trap, or Effect Monster's effect, you can Special Summon this card. This card cannot be used to Synchro Summon a Synchro Monster except a ""Blackwing"" monster. "
,TSHD-EN004 ,Changer Synchron ,Tuner Monster ,Common ,,Dark ,Machine ,1,0,0,"If this card is sent to the Graveyard for a Synchro Summon, select 1 monster your opponent controls and change its battle position. "
,TSHD-EN005 ,Card Breaker ,Effect Monster ,Common ,,Light ,Warrior ,2,100,900,"This card cannot be Normal Summoned or Set. This card can only be Special Summoned, in face-up Attack Position, by sending 1 card from your Spell & Trap Card Zone to the Graveyard. "
,TSHD-EN006 ,Second Booster ,Effect Monster ,Common ,,Fire ,Machine ,3,1000,500,You can Tribute this card to select 1 face-up Attack Position monster you control. The selected monster gains 1500 ATK until the End Phase. 
,TSHD-EN007 ,Archfiend Interceptor ,Effect Monster ,Common ,,Dark ,Fiend ,4,1400,1600,"While you control this face-up Attack Position card, when an opponent's monster declares an attack, inflict 500 damage to your opponent. "
,TSHD-EN008 ,Dread Dragon ,Tuner Monster ,Rare ,,Fire ,Dragon ,2,1100,400,"When this card is destroyed by battle and sent to the Graveyard, you can add 1 Level 3 or lower Dragon-Type monster from your Deck to your hand. "
,TSHD-EN009 ,Trust Guardian ,Tuner Monster ,Super Rare ,,Light ,Fairy ,3,0,800,"This card cannot be used as a Synchro Material Monster, except for the Synchro Summon of a Level 7 or higher Synchro Monster. Once per turn, that Synchro Monster cannot be destroyed by battle. Each time this effect is applied, that Synchro Monster loses 400 ATK and DEF at the end of the Damage Step. "
,TSHD-EN010 ,Flare Resonator ,Tuner Monster ,Common ,,Fire ,Fiend ,3,300,1300,The Synchro Monster that used this card as a Synchro Material Monster gains 300 ATK. 
,TSHD-EN011 ,Synchro Magnet ,Tuner Monster ,Common ,,Earth ,Machine ,3,1000,600,"This card cannot be Normal Summoned or Set. When you Synchro Summon a Synchro Monster, you can Special Summon this card from your hand. "
,TSHD-EN012 ,Infernity Mirage ,Effect Monster ,Super Rare ,,Dark ,Fiend ,1,0,0,"This card cannot be Special Summoned from the Graveyard. If you have no cards in your hand, you can Tribute this card to select 2 ""Infernity"" monsters in your Graveyard. Special Summon those monsters. "
,TSHD-EN013 ,Infernity Randomizer ,Effect Monster ,Common ,,Dark ,Warrior ,1,900,0,"Once per turn, while you have no cards in your hand, you can draw 1 card and reveal it. For a Monster Card drawn with this effect, inflict damage to your opponent equal to the Level of that monster x 200. For a Spell or Trap Card, you take 500 damage. "
,TSHD-EN014 ,Infernity Beetle ,Tuner Monster ,Rare ,,Dark ,Insect ,2,1200,0,"While you have no cards in your hand, you can Tribute this card to Special Summon up to 2 ""Infernity Beetle"" from your Deck. "
,TSHD-EN015 ,Infernity Avenger ,Tuner Monster ,Rare ,,Dark ,Fiend ,1,0,0,"When a monster you control, except ""Infernity Avenger"", is destroyed by battle with an opponent's monster and sent to the Graveyard, while you have no cards in your hand, you can Special Summon this card from your Graveyard. In that case, the Level of this card is equal to the Level of your destroyed monster. "
,TSHD-EN016 ,Revival Rose ,Effect Monster ,Rare ,,Dark ,Plant ,4,1300,1300,"If a Level 5 or higher Plant-type monster you control is destroyed, you can Special Summon this card from your Graveyard. "
,TSHD-EN017 ,Morphtronic Vacuumen ,Effect Monster ,Common ,,Wind ,Machine ,1,0,0,"While in Attack Position: You can send 1 card equipped to this card to the Graveyard to inflict 500 damage to your opponent.
While in Defense Position: Once per turn, you can equip 1 face-up Attack Position monster your opponent controls to this card. (You can only equip 1 monster at a time to this card.) "
,TSHD-EN018 ,Bird of Roses ,Effect Monster ,Super Rare ,,Wind ,Plant ,4,1800,1500,"When this face-up Attack Position card is attacked, and it is destroyed as a result of battle and sent to the Graveyard, you can Special Summon 2 Plant-Type Tuner monsters from your Deck in face-up Defense Position. "
,TSHD-EN019 ,Spore ,Tuner Monster ,Common ,,Wind ,Plant ,1,400,800,"If this card is in your Graveyard, you can remove from play 1 other Plant-Type monster from your Graveyard to Special Summon this card from your Graveyard, and increase its Level by the Level of the monster removed from play to activate this effect. Each player can only use the effect of ""Spore"" once per Duel. "
,TSHD-EN020 ,Fairy Archer ,Effect Monster ,Common ,,Light ,Fairy ,3,1400,600,"During your Main Phase, you can inflict 400 damage to your opponent for each face-up LIGHT monster you control. This card cannot attack during the same turn you activate this effect. Only one ""Fairy Archer"" can have its effect activated per turn. "
,TSHD-EN021 ,Biofalcon ,Effect Monster ,Common ,,Light ,Machine ,4,1700,1200,"When a Machine-Type monster you control is destroyed by battle and sent to the Graveyard while this card is face-up on the field, you can add 1 Machine-Type monster with 1000 or less ATK from your Deck to your hand. "
,TSHD-EN022 ,Cherry Inmato ,Tuner Monster ,Rare ,,Dark ,Plant ,2,700,400,"When this card is destroyed by battle and sent to the Graveyard, you can Special Summon up to 2 ""Inmato"" monsters from your Deck. The monster(s) Special Summoned by this effect cannot be used as Synchro Material Monsters this turn. "
